model,pair_model_id,sources,target,baseline_source,added_source,pair_auc,singleton_auc,impact_pp,target_in_pair
PRODIGY / NM,nmpair_ukr_rus_suspended__cp_hk,"cp_hk_twitter,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,cp_hk_twitter,0.46966552734375,0.47119140625,-0.152587890625,True
PRODIGY / NM,nmpair_cp_hk__facebook_page_reference,"cp_hk_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,cp_hk_twitter,0.50262451171875,0.474273681640625,2.8350830078125,False
PRODIGY / NM,nmpair_ukr_rus_suspended__facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",ukr_rus_suspended,facebook_page_reference,ukr_rus_suspended,0.47491455078125,0.474273681640625,0.0640869140625,True
PRODIGY / NM,nmpair_election2020__cp_hk,"cp_hk_twitter,election2020",ukr_rus_suspended,election2020,cp_hk_twitter,0.499755859375,0.4840087890625,1.57470703125,False
PRODIGY / NM,nmpair_election2020__facebook_page_reference,"election2020,facebook_page_reference",ukr_rus_suspended,election2020,facebook_page_reference,0.490081787109375,0.4840087890625,0.6072998046875,False
PRODIGY / NM,nmpair_election2020__ukr_rus_suspended,"election2020,ukr_rus_suspended",ukr_rus_suspended,election2020,ukr_rus_suspended,0.5042724609375,0.4840087890625,2.0263671875,True
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,covid19_twitter,cp_hk_twitter,0.49896240234375,0.49700927734375,0.1953125,False
PRODIGY / NM,nmpair_covid__facebook_page_reference,"covid19_twitter,facebook_page_reference",ukr_rus_suspended,covid19_twitter,facebook_page_reference,0.50439453125,0.49700927734375,0.738525390625,False
PRODIGY / NM,nmpair_covid__election2020,"covid19_twitter,election2020",ukr_rus_suspended,covid19_twitter,election2020,0.47979736328125,0.49700927734375,-1.72119140625,False
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,"covid19_twitter,ukr_rus_suspended",ukr_rus_suspended,covid19_twitter,ukr_rus_suspended,0.49591064453125,0.49700927734375,-0.10986328125,True
PRODIGY / NM,nmpair_ukr_rus__covid,"covid19_twitter,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,covid19_twitter,0.503173828125,0.49755859375,0.5615234375,False
PRODIGY / NM,nmpair_ukr_rus__cp_hk,"cp_hk_twitter,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,cp_hk_twitter,0.47406005859375,0.49755859375,-2.349853515625,False
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,"ukr_rus_suspended,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,ukr_rus_suspended,0.54656982421875,0.49755859375,4.901123046875,True
PRODIGY / NM,nmpair_ukr_rus__election2020,"election2020,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,election2020,0.50885009765625,0.49755859375,1.129150390625,False
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,"facebook_page_reference,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,facebook_page_reference,0.52197265625,0.49755859375,2.44140625,False
PRODIGY / NM,nmpair_covid__twibot20,"covid19_twitter,twibot20",ukr_rus_suspended,twibot20,covid19_twitter,0.4930419921875,0.51171875,-1.86767578125,False
PRODIGY / NM,nmpair_election2020__twibot20,"election2020,twibot20",ukr_rus_suspended,twibot20,election2020,0.462158203125,0.51171875,-4.9560546875,False
PRODIGY / NM,nmpair_ukr_rus_suspended__twibot20,"twibot20,ukr_rus_suspended",ukr_rus_suspended,twibot20,ukr_rus_suspended,0.45404052734375,0.51171875,-5.767822265625,True
PRODIGY / NM,nmpair_twibot20__cp_hk,"cp_hk_twitter,twibot20",ukr_rus_suspended,twibot20,cp_hk_twitter,0.5006103515625,0.51171875,-1.11083984375,False
PRODIGY / NM,nmpair_twibot20__facebook_page_reference,"facebook_page_reference,twibot20",ukr_rus_suspended,twibot20,facebook_page_reference,0.4603271484375,0.51171875,-5.13916015625,False
PRODIGY / NM,nmpair_ukr_rus__twibot20,"twibot20,ukr_rus_twitter",ukr_rus_suspended,twibot20,ukr_rus_twitter,0.5072021484375,0.51171875,-0.45166015625,False
GraphSAGE / LP,pair_election2020__cp_hk_twitter,"cp_hk_twitter,election2020",ukr_rus_suspended,election2020,cp_hk_twitter,0.5318968980764297,0.5150915653275271,1.6805332748902613,False
GraphSAGE / GraphMAE,pair_covid_political__ukr_rus_suspended,"covid_political,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,covid_political,0.520958067286778,0.5161136269697535,0.48444403170244676,True
GraphSAGE / LP,pair_election2020__facebook_page_reference,"election2020,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,election2020,0.5217180661816376,0.5177015001586351,0.4016566023002488,False
GraphSAGE / LP,pair_cp_hk_twitter__facebook_page_reference,"cp_hk_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,cp_hk_twitter,0.5208959665453559,0.5177015001586351,0.3194466386720718,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__covid_political,"covid_political,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,covid_political,0.5221811303990873,0.5183264491693791,0.38546812297082234,False
