model,pair_model_id,target,baseline_source,added_source,singleton_value,pair_value,impact,metric
PRODIGY / NM,nmpair_ukr_rus__covid_political,ukr_rus_suspended,ukr_rus_twitter,covid_political,0.8301447180495864,0.8226065310938606,-0.0075381869557258,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,midterm,ukr_rus_twitter,covid_political,0.8465061035649529,0.8499613833153384,0.0034552797503855,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,election2020,ukr_rus_twitter,covid_political,0.8333388860198272,0.8216401712647801,-0.0116987147550471,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid_political,cp_hk_twitter,ukr_rus_twitter,covid_political,0.7141873241841108,0.722833967756951,0.0086466435728401,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,facebook_page_reference,ukr_rus_twitter,ukr_rus_suspended,0.8652459566620575,0.8518801553495998,-0.0133658013124576,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,covid19_twitter,ukr_rus_twitter,ukr_rus_suspended,0.959857883946649,0.9543517286750092,-0.0055061552716397,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,twibot20,ukr_rus_twitter,ukr_rus_suspended,0.8968699151072009,0.8953918721484043,-0.0014780429587966,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,covid_political,ukr_rus_twitter,ukr_rus_suspended,0.8324350785935061,0.8297374370454372,-0.0026976415480688,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,midterm,ukr_rus_twitter,ukr_rus_suspended,0.8465061035649529,0.8487712805298554,0.0022651769649024,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,election2020,ukr_rus_twitter,ukr_rus_suspended,0.8333388860198272,0.8303686017277598,-0.0029702842920673,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__ukr_rus_suspended,cp_hk_twitter,ukr_rus_twitter,ukr_rus_suspended,0.7141873241841108,0.7193176816249716,0.0051303574408607,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,covid19_twitter,ukr_rus_twitter,facebook_page_reference,0.959857883946649,0.9492224058885684,-0.0106354780580805,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,twibot20,ukr_rus_twitter,facebook_page_reference,0.8968699151072009,0.8940899652996283,-0.0027799498075726,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,covid_political,ukr_rus_twitter,facebook_page_reference,0.8324350785935061,0.8348972761768035,0.0024621975832974,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,ukr_rus_suspended,ukr_rus_twitter,facebook_page_reference,0.8301447180495864,0.8123987796662867,-0.0177459383832997,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,midterm,ukr_rus_twitter,facebook_page_reference,0.8465061035649529,0.8388395734216975,-0.0076665301432554,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,election2020,ukr_rus_twitter,facebook_page_reference,0.8333388860198272,0.8398451069305682,0.006506220910741,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__facebook_page_reference,cp_hk_twitter,ukr_rus_twitter,facebook_page_reference,0.7141873241841108,0.7174436791189787,0.0032563549348678,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,facebook_page_reference,ukr_rus_twitter,midterm,0.8652459566620575,0.8543292629307715,-0.010916693731286,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,covid19_twitter,ukr_rus_twitter,midterm,0.959857883946649,0.9496570852981217,-0.0102007986485272,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,twibot20,ukr_rus_twitter,midterm,0.8968699151072009,0.8933863427447177,-0.0034835723624832,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,covid_political,ukr_rus_twitter,midterm,0.8324350785935061,0.8293487352886418,-0.0030863433048642,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,ukr_rus_suspended,ukr_rus_twitter,midterm,0.8301447180495864,0.8165074762256663,-0.0136372418239201,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,election2020,ukr_rus_twitter,midterm,0.8333388860198272,0.8375907658160417,0.0042518797962145,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__midterm,cp_hk_twitter,ukr_rus_twitter,midterm,0.7141873241841108,0.7214712670479699,0.0072839428638591,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,facebook_page_reference,covid19_twitter,ukr_rus_twitter,0.8340093752433513,0.8610595667499236,0.0270501915065722,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,twibot20,covid19_twitter,ukr_rus_twitter,0.904076775463148,0.9052923741011782,0.0012155986380302,macro ROC-AUC
