model,pair_model_id,sources,target,baseline_source,added_source,pair_auc,singleton_auc,impact_pp,target_in_pair
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",covid_political,covid19_twitter,covid_political,0.940198262532552,0.9334575511791088,0.674071135344323,True
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",covid_political,covid_political,covid19_twitter,0.940198262532552,0.897971824363426,4.222643816912597,True
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",election2020,covid19_twitter,covid_political,0.9794921875,0.98760986328125,-0.811767578125,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",election2020,covid_political,covid19_twitter,0.9794921875,0.986480712890625,-0.6988525390625,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",facebook_page_reference,covid19_twitter,covid_political,0.7571144104003906,0.7663536071777344,-0.923919677734375,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",facebook_page_reference,covid_political,covid19_twitter,0.7571144104003906,0.7047500610351562,5.2364349365234375,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",twibot20,covid19_twitter,covid_political,0.625830332438151,0.5972194671630858,2.861086527506518,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",twibot20,covid_political,covid19_twitter,0.625830332438151,0.5382698906792535,8.756044175889755,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid19_twitter,covid_political,0.5089111328125,0.49700927734375,1.190185546875,False
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid_political,covid19_twitter,0.5089111328125,0.52362060546875,-1.470947265625,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",covid_political,covid19_twitter,cp_hk_twitter,0.9267094930013022,0.9334575511791088,-0.6748058177806548,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",covid_political,cp_hk_twitter,covid19_twitter,0.9267094930013022,0.7489378187391492,17.7771674262153,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",election2020,covid19_twitter,cp_hk_twitter,0.98846435546875,0.98760986328125,0.08544921875,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",election2020,cp_hk_twitter,covid19_twitter,0.98846435546875,0.933349609375,5.511474609375,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",facebook_page_reference,covid19_twitter,cp_hk_twitter,0.7352638244628906,0.7663536071777344,-3.108978271484375,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",facebook_page_reference,cp_hk_twitter,covid19_twitter,0.7352638244628906,0.6773834228515625,5.7880401611328125,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",twibot20,covid19_twitter,cp_hk_twitter,0.5755447811550564,0.5972194671630858,-2.1674686008029465,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",twibot20,cp_hk_twitter,covid19_twitter,0.5755447811550564,0.5914132859971789,-1.5868504842122544,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,covid19_twitter,cp_hk_twitter,0.49896240234375,0.49700927734375,0.1953125,False
PRODIGY / NM,nmpair_covid__cp_hk,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,cp_hk_twitter,covid19_twitter,0.49896240234375,0.46270751953125,3.62548828125,False
