model,mean,median,win_fraction,n
PRODIGY / NM,0.0038847967979573654,0.00027572629095495,0.5158730158730159,252
GraphSAGE / LP,-0.006588965318270172,-0.005935969387755147,0.2976190476190476,168
SAMGPT / GraphCL,0.004774144481098834,0.00014641880989074707,0.7777777777777778,252
