stream,model,mean_accuracy,mean_auc,mean_u1_agreement
fresh,ss_covid,0.7181640625,0.7531830822979962,0.8791666666666667
fresh,ss_covid_political,0.701953125,0.7283857981363933,0.7870442708333333
fresh,ss_cp_hk,0.6535807291666667,0.6996954176161024,0.7856119791666667
fresh,ss_election2020,0.718359375,0.7482666156910084,0.815234375
fresh,ss_facebook_page_reference,0.615625,0.6527451833089193,0.6692708333333333
fresh,ss_midterm,0.6832682291666667,0.7311622337058739,0.8042317708333334
fresh,ss_twibot20,0.7111979166666667,0.7546180301242404,0.866796875
fresh,ss_ukr_rus,0.7347005208333333,0.7735445234510634,0.8680989583333334
fresh,ss_ukr_rus_suspended,0.6542317708333333,0.6789389998824509,0.7761067708333333
original,ss_covid,0.7266276041666666,0.7563297836868851,0.8875651041666666
original,ss_covid_political,0.6951822916666667,0.7302187884295428,0.7983723958333333
original,ss_cp_hk,0.6391927083333334,0.6827579780861184,0.7903645833333334
original,ss_election2020,0.7065104166666667,0.734534016361943,0.8131510416666666
original,ss_facebook_page_reference,0.6257161458333333,0.6561027526855469,0.6723307291666667
original,ss_midterm,0.6879557291666667,0.7308362183747468,0.7995442708333333
original,ss_twibot20,0.723828125,0.7635425002486618,0.868359375
original,ss_ukr_rus,0.7279947916666667,0.7677897841842085,0.8722005208333334
original,ss_ukr_rus_suspended,0.6458984375,0.6766885969373915,0.783203125
