metric,comparison,mean_delta,median_delta,positive_episode_fraction,bootstrap_95_lower,bootstrap_95_upper,episodes
roc_auc,r2-r1,0.019055555555555558,0.01388888888888895,0.634,0.015041666666666674,0.023256944444444448,500
roc_auc,r3-r2,-0.0008402777777777782,0.0,0.456,-0.003868055555555556,0.0021321180555555455,500
roc_auc,r4-r3,0.00748611111111111,0.00694444444444442,0.556,0.005236111111111109,0.00969444444444444,500
roc_auc,r5-r4,0.003680555555555557,0.0,0.47,0.0018611111111111135,0.005513888888888893,500
roc_auc,r5-r1,0.029381944444444443,0.02777777777777779,0.65,0.02291666666666667,0.035819444444444445,500
accuracy,r2-r1,0.016666666666666666,0.0,0.416,0.01116666666666667,0.022083333333333337,500
accuracy,r3-r2,-0.003500000000000001,0.0,0.252,-0.007583333333333334,0.0006666666666666669,500
accuracy,r4-r3,0.005250000000000002,0.0,0.268,0.0017499999999999983,0.008750000000000003,500
accuracy,r5-r4,0.003666666666666668,0.0,0.256,0.0005833333333333331,0.006833333333333332,500
accuracy,r5-r1,0.022083333333333337,0.0,0.478,0.014833333333333334,0.029333333333333336,500
