rung,n_sources,train_graph,added,sampling,order,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference
1,1,ukr,ukr_rus_twitter,within_balanced,D,0.9480,0.9730,0.8740,0.8490,0.8280,0.7710,0.9210,0.7240,0.9741223876436782
2,2,ukr+cov,covid19_twitter,within_balanced,D,0.9450,0.9800,0.8850,0.8430,0.8280,0.7750,0.9250,0.7260,0.9762998310344829
3,3,ukr+cov+mid,midterm,within_balanced,D,0.9410,0.9780,0.9150,0.8300,0.8150,0.7770,0.9270,0.7200,0.9762834364942529
4,4,+cov_pol,covid_political,within_balanced,D,0.9344,0.9753,0.9093,0.9113,0.8297,0.7768,0.9234,0.7235,0.9744287459770113
5,5,+elec20,election2020,within_balanced,D,0.9346,0.9754,0.9086,0.9102,0.9259,0.7693,0.9254,0.7261,0.9725665056034482
6,6,+facebook,facebook_page_reference,within_balanced,D,0.9358381200989782,0.9750447235472542,0.9106468026181355,0.9099195053959132,0.9279090781609196,0.7732721563218390,0.9258632905810984,0.7235354913793103,0.9954072885057471
7,7,+ukr_susp,ukr_rus_suspended,within_balanced,D,0.9333118681832695,0.9737471195881225,0.9082262395913153,0.9079460721902938,0.9215655402298848,0.9292248758620690,0.9245062374680714,0.7276890814655173,0.9939190712643678
8,8,+twibot20,twibot20,within_balanced,D,0.9332294034642402,0.9744747264208174,0.9076018352490419,0.9100276989303957,0.9211355816091954,0.9276741632183908,0.9378747997765006,0.7278068176724137,0.9937087375000000
9,9,all9,cp_hk_twitter,within_balanced,D,0.9278522461685825,0.9727887437739463,0.9017509033205618,0.9043889388569604,0.9158387103448274,0.9235084091954023,0.9351572728448276,0.8579221943965518,0.9920880479885059
