architecture	model_id	sources	training_seed	evaluation_seed	checkpoint_step	task	dataset	episodes	queries	episode_fingerprint	roc_auc
prodigy	ss_covid_political	covid_political	2	0	2500	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.871989780002
prodigy	ss_covid_political	covid_political	2	0	2500	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.983245849609
prodigy	ss_covid_political	covid_political	2	0	2500	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.697814941406
prodigy	ss_covid_political	covid_political	2	0	2500	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.517264684041
prodigy	ss_covid_political	covid_political	2	0	2500	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.472839355469
prodigy	ss_election2020	election2020	2	0	2500	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.941344367133
prodigy	ss_election2020	election2020	2	0	2500	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.988159179688
prodigy	ss_election2020	election2020	2	0	2500	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.621673583984
prodigy	ss_election2020	election2020	2	0	2500	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.602432462904
prodigy	ss_election2020	election2020	2	0	2500	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.525390625000
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	2500	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.679024025246
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	2500	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.981140136719
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	2500	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.736242294312
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	2500	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.536100811428
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	2500	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.488220214844
prodigy	ss_twibot20	twibot20	2	0	2500	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.905945954499
prodigy	ss_twibot20	twibot20	2	0	2500	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.983093261719
prodigy	ss_twibot20	twibot20	2	0	2500	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.794971466064
prodigy	ss_twibot20	twibot20	2	0	2500	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.612546496921
prodigy	ss_twibot20	twibot20	2	0	2500	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.504089355469
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	2500	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.756746362757
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	2500	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.970458984375
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	2500	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.656696319580
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	2500	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.614573372735
prodigy	ss_ukr_rus_suspended	ukr_rus_suspended	2	0	2500	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.475219726562
