dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,msc_all8_MIX,degree_matched,encoder_cosine,0.5216543367346939,0.48367366188760114,0.26,1,2800,1400,0.501106875,0.9994988724630418,0.0
cp_hk_twitter,msc_all8_MIX,random,encoder_cosine,0.635069387755102,0.5746705841975894,0.62,1,2800,1400,0.509471,0.9984984984984985,0.0
cp_hk_twitter,msc_all8_MIX,hard_2hop,encoder_cosine,0.8545321428571429,0.7673559497033404,0.6,-1,2800,1400,0.50643475,0.9997496871088861,0.0
cp_hk_twitter,msc_all8_NM,degree_matched,encoder_cosine,0.5425994897959183,0.4987273939652095,0.26,1,2800,1400,0.50295375,0.9994988724630418,0.0
cp_hk_twitter,msc_all8_NM,random,encoder_cosine,0.754319387755102,0.6997574592364453,0.7,1,2800,1400,0.517181625,0.9984984984984985,0.0
cp_hk_twitter,msc_all8_NM,hard_2hop,encoder_cosine,0.8056494897959183,0.7241324776805196,0.72,-1,2800,1400,0.51399225,0.9997496871088861,0.0
cp_hk_twitter,msc_cov_CL,degree_matched,encoder_cosine,0.5523413265306123,0.5305040221440555,0.38,-1,2800,1400,0.49453725,0.9994988724630418,0.0
cp_hk_twitter,msc_cov_CL,random,encoder_cosine,0.7019081632653061,0.7225473763938409,0.62,-1,2800,1400,0.49990675,0.9984984984984985,0.0
cp_hk_twitter,msc_cov_CL,hard_2hop,encoder_cosine,0.858459693877551,0.8441096728437554,0.94,-1,2800,1400,0.493048375,0.9997496871088861,0.0
cp_hk_twitter,msc_cov_FP,degree_matched,encoder_cosine,0.5277573979591836,0.7325382051119002,1.0,-1,2800,1400,0.49984975,0.7702330243046855,0.0
cp_hk_twitter,msc_cov_FP,random,encoder_cosine,0.6057836734693878,0.756823022966959,1.0,-1,2800,1400,0.494991,0.6516516516516516,0.0
cp_hk_twitter,msc_cov_FP,hard_2hop,encoder_cosine,0.7078602040816326,0.7982408791751661,1.0,-1,2800,1400,0.4940685,0.785982478097622,0.0
cp_hk_twitter,msc_cov_MIX,degree_matched,encoder_cosine,0.5152660714285714,0.4850214531029381,0.22,1,2800,1400,0.499763,0.9994988724630418,0.0
cp_hk_twitter,msc_cov_MIX,random,encoder_cosine,0.49071020408163263,0.4857720759998681,0.56,1,2800,1400,0.50658575,0.9984984984984985,0.0
cp_hk_twitter,msc_cov_MIX,hard_2hop,encoder_cosine,0.8699770408163265,0.8019608687036344,0.62,-1,2800,1400,0.504054625,0.9997496871088861,0.0
cp_hk_twitter,msc_cov_NM,degree_matched,encoder_cosine,0.5477880102040816,0.49936468625878294,0.26,1,2800,1400,0.50203475,0.9994988724630418,0.0
cp_hk_twitter,msc_cov_NM,random,encoder_cosine,0.742879081632653,0.6826485386464167,0.62,1,2800,1400,0.517715625,0.9984984984984985,0.0
cp_hk_twitter,msc_cov_NM,hard_2hop,encoder_cosine,0.8097061224489795,0.729938216087783,0.78,-1,2800,1400,0.510320125,0.9997496871088861,0.0
