source,node_count,supervision_edges,sampled_isolate_fraction,edge_cosine_mean,nonedge_cosine_mean,edge_similarity_auc,edge_nonedge_ks,node_neighbor_cosine_mean
ukr_rus_twitter,500000,1968241,0.38705,0.5420961380004883,0.49610787630081177,0.6790906099999999,0.26898,0.3705320656299591
covid19_twitter,500000,917880,0.4094,0.5507153868675232,0.4956342577934265,0.7096061069999999,0.31367999999999996,0.3555792570114136
midterm,274361,251756,0.487,0.5785454511642456,0.5299729108810425,0.670694409,0.25908,0.3126266598701477
covid_political,78672,63325,0.58615,0.6017381548881531,0.5659125447273254,0.629933604,0.19907999999999998,0.2648022472858429
ukr_rus_suspended,44157,84002,0.31995,0.547553300857544,0.5070568919181824,0.642650917,0.21372000000000002,0.4194267988204956
twibot20,144274,613259,0.15745,0.5781974196434021,0.5118521451950073,0.732297009,0.34516,0.5651155114173889
cp_hk_twitter,256798,292719,0.5603,0.5541569590568542,0.49951261281967163,0.6768428590000001,0.27455999999999997,0.24916638433933258
facebook_page_reference,149514,57785,0.61085,0.5653905272483826,0.4754851460456848,0.7680478289999999,0.40513999999999994,0.23601457476615906
