first,second,normalized_sliced_w1,within_graph_reference,ratio_to_reference
ukr_rus_twitter,covid19_twitter,0.06719981878995895,0.010189358610659838,6.595098019188007
ukr_rus_twitter,midterm,0.1449829488992691,0.010485064703971148,13.827568354857915
ukr_rus_twitter,covid_political,0.2340448945760727,0.010493321809917688,22.304175819221214
ukr_rus_twitter,ukr_rus_suspended,0.10352202504873276,0.010052090510725975,10.298556796546022
ukr_rus_twitter,twibot20,0.16986314952373505,0.009828694630414248,17.28237125183488
ukr_rus_twitter,cp_hk_twitter,0.1572125107049942,0.010430253110826015,15.07274167122718
ukr_rus_twitter,facebook_page_reference,0.2453044205904007,0.01057202834635973,23.203155776144552
covid19_twitter,midterm,0.13585388660430908,0.010519185103476048,12.914867954877645
covid19_twitter,covid_political,0.2350698709487915,0.010527442209422588,22.329248289617034
covid19_twitter,ukr_rus_suspended,0.14124442636966705,0.010086210910230875,14.003715332424468
covid19_twitter,twibot20,0.18834033608436584,0.009862815029919147,19.09600205550137
covid19_twitter,cp_hk_twitter,0.14531740546226501,0.010464373510330915,13.886871040946783
covid19_twitter,facebook_page_reference,0.23615100979804993,0.01060614874586463,22.265481604727253
midterm,covid_political,0.15144728124141693,0.010823148302733898,13.992904560234267
midterm,ukr_rus_suspended,0.16282767057418823,0.010381917003542185,15.683776947805823
midterm,twibot20,0.2246684581041336,0.010158521123230457,22.116256429330335
midterm,cp_hk_twitter,0.18033547699451447,0.010760079603642225,16.75967870474415
midterm,facebook_page_reference,0.28067660331726074,0.01090185483917594,25.74576596898412
covid_political,ukr_rus_suspended,0.24687360227108002,0.010390174109488726,23.76029503159385
covid_political,twibot20,0.2793692946434021,0.010166778229176998,27.478645480990007
covid_political,cp_hk_twitter,0.2581002414226532,0.010768336709588766,23.968440844984485
covid_political,facebook_page_reference,0.3180003762245178,0.01091011194512248,29.14730644598788
ukr_rus_suspended,twibot20,0.18124401569366455,0.009725546929985285,18.63586870727678
ukr_rus_suspended,cp_hk_twitter,0.20897819101810455,0.010327105410397053,20.235892122076233
ukr_rus_suspended,facebook_page_reference,0.28608110547065735,0.010468880645930767,27.3268093453579
twibot20,cp_hk_twitter,0.27394506335258484,0.010103709530085325,27.11331541518211
twibot20,facebook_page_reference,0.3511418104171753,0.01024548476561904,34.27283515129594
cp_hk_twitter,facebook_page_reference,0.2591710686683655,0.010847043246030807,23.893245632924195
