first,second,domain_auc
ukr_rus_twitter,covid19_twitter,0.69974275
ukr_rus_twitter,midterm,0.8373695000000001
ukr_rus_twitter,covid_political,0.94439325
ukr_rus_twitter,ukr_rus_suspended,0.799092375
ukr_rus_twitter,twibot20,0.8459915
ukr_rus_twitter,cp_hk_twitter,0.901326875
ukr_rus_twitter,facebook_page_reference,0.9599068750000002
covid19_twitter,midterm,0.822588125
covid19_twitter,covid_political,0.9303352500000002
covid19_twitter,ukr_rus_suspended,0.878315125
covid19_twitter,twibot20,0.8054954999999999
covid19_twitter,cp_hk_twitter,0.9022761249999999
covid19_twitter,facebook_page_reference,0.9591114999999999
midterm,covid_political,0.87023675
midterm,ukr_rus_suspended,0.87093375
midterm,twibot20,0.8874275
midterm,cp_hk_twitter,0.9117451250000002
midterm,facebook_page_reference,0.978483
covid_political,ukr_rus_suspended,0.9536357500000001
covid_political,twibot20,0.927582
covid_political,cp_hk_twitter,0.96239775
covid_political,facebook_page_reference,0.9882665
ukr_rus_suspended,twibot20,0.9426045000000001
ukr_rus_suspended,cp_hk_twitter,0.92923
ukr_rus_suspended,facebook_page_reference,0.97652225
twibot20,cp_hk_twitter,0.96647925
twibot20,facebook_page_reference,0.9735825
cp_hk_twitter,facebook_page_reference,0.9825263750000001
