seed,arm,source,additional_step,added_ukraine_supervised_updates,validation_auc_pct,validation_bce,hard_label_training_probe_bce,retains_both_source_validation,checkpoint,supervised_updates,kd_updates,positive_examples,negative_examples,supervised_positive_examples,supervised_negative_examples,kd_positive_examples,kd_negative_examples
2,ukraine_only,ukr_rus_twitter,0,0,98.67685093879699,0.09421323016285897,0.09405395314097402,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_000000.pt,16000,0,16376712,81883560,16376712,81883560,0,0
2,ukraine_only,facebook_page_reference,0,0,96.02873582839966,0.1790962234139442,0.1422430545091629,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_000000.pt,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_only,ukr_rus_twitter,2000,2000,98.70837709903718,0.08689629659056664,0.08496912829577921,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_002000.pt,18000,0,18423801,92119005,18423801,92119005,0,0
2,ukraine_only,facebook_page_reference,2000,2000,95.17669970989229,0.2056631460785866,0.16814361736178401,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_002000.pt,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_only,ukr_rus_twitter,4000,4000,98.79175577163696,0.08479473963379859,0.08306625336408614,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_004000.pt,20000,0,20470890,102354450,20470890,102354450,0,0
2,ukraine_only,facebook_page_reference,4000,4000,94.80200257301331,0.21526371240615844,0.18318721652030948,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_004000.pt,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_only,ukr_rus_twitter,6000,6000,98.81182277202608,0.0832565166056156,0.08085336461663246,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_006000.pt,22000,0,22517979,112589895,22517979,112589895,0,0
2,ukraine_only,facebook_page_reference,6000,6000,94.4346186876297,0.22941926866769785,0.19966946616768835,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_006000.pt,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_only,ukr_rus_twitter,8000,8000,98.81849002838136,0.08294053822755815,0.08008747920393944,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_008000.pt,24000,0,24565068,122825340,24565068,122825340,0,0
2,ukraine_only,facebook_page_reference,8000,8000,94.34351727962495,0.23598815575242044,0.21050205379724504,False,/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2/node_neighbors/lp/ukraine_only/checkpoints/additional_008000.pt,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
