seed,run_id,arm,source,selection,provenance,additional_step,validation_auc_pct,start_fallback,validation_bce,hard_label_training_probe_bce,own_singleton_validation_auc_pct,delta_own_singleton_validation_pp,retains_own_singleton_validation,supervised_updates,kd_updates,positive_examples,negative_examples,supervised_positive_examples,supervised_negative_examples,kd_positive_examples,kd_negative_examples
2,kd_w010_fixed,kd_w010,ukr_rus_twitter,fixed added-update horizon,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",60000.0,98.93345510959625,False,0.079652563855052,0.07489149607717992,98.96764585971832,-0.03419075012206507,False,46000,0,47083047,235415235,47083047,235415235,0,0
2,kd_w010_fixed,kd_w010,facebook_page_reference,fixed added-update horizon,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",60000.0,95.53139212131501,False,0.18241953402757644,0.15150457099080086,95.31494824886322,0.2164438724517881,True,5000,41000,46633519,233167595,5069279,25346395,41564240,207821200
2,kd_w010_selected,kd_w010,ukr_rus_twitter,max Ukraine validation AUC subject to seed-specific Facebook singleton AUC; common exposure grid,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",56000.0,98.94463059902192,False,0.07916809879243375,0.07522269301116466,98.96764585971832,-0.023015260696390705,False,44000,0,45035958,225179790,45035958,225179790,0,0
2,kd_w010_selected,kd_w010,facebook_page_reference,max Ukraine validation AUC subject to seed-specific Facebook singleton AUC; common exposure grid,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",56000.0,95.708021235466,False,0.1771385796368122,0.14663620069622996,95.31494824886322,0.3930729866027938,True,5000,39000,44606507,223032535,5069279,25346395,39537228,197686140
2,singleton_ukraine,singleton,ukr_rus_twitter,seed-specific minimum source-validation BCE,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",,98.96764585971832,False,0.07781017243662551,,98.96764585971832,0.0,True,38000,0,38894691,194473455,38894691,194473455,0,0
2,singleton_facebook,singleton,facebook_page_reference,seed-specific minimum source-validation BCE,"{""kind"": ""reused"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed_replication_s12/seed2/evaluation""}",,95.31494824886322,False,0.18078030006166163,,95.31494824886322,0.0,True,6000,0,6082785,30413925,6082785,30413925,0,0
2,ukraine_exposure_fixed,ukraine_only,ukr_rus_twitter,match Ukraine exposure to frozen kd_w010_fixed; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",30000.0,98.95298826694489,False,0.0777229905128479,0.07256463877856731,98.96764585971832,-0.014657592773426042,False,46000,0,47083047,235415235,47083047,235415235,0,0
2,ukraine_exposure_fixed,ukraine_only,facebook_page_reference,match Ukraine exposure to frozen kd_w010_fixed; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",30000.0,92.49881927967073,False,0.27176976501941674,0.25709981322288517,95.31494824886322,-2.8161289691924885,False,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_updates_fixed,ukraine_only,ukr_rus_twitter,match optimizer updates to frozen kd_w010_fixed; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",60000.0,99.012553358078,False,0.07471727728843688,0.06793565545231105,98.96764585971832,0.044907498359680886,True,76000,0,77788471,388942355,77788471,388942355,0,0
2,ukraine_updates_fixed,ukraine_only,facebook_page_reference,match optimizer updates to frozen kd_w010_fixed; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",60000.0,92.05999681949615,False,0.29060226678848267,0.2818721026182175,95.31494824886322,-3.25495142936707,False,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_exposure_selected,ukraine_only,ukr_rus_twitter,match Ukraine exposure to frozen kd_w010_selected; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",28000.0,98.96370387077332,False,0.07741601355373859,0.07262715175747872,98.96764585971832,-0.0039419889449998635,False,44000,0,45035958,225179790,45035958,225179790,0,0
2,ukraine_exposure_selected,ukraine_only,facebook_page_reference,match Ukraine exposure to frozen kd_w010_selected; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",28000.0,92.82223222255708,False,0.2649856626987458,0.2505826421082019,95.31494824886322,-2.492716026306141,False,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_updates_selected,ukraine_only,ukr_rus_twitter,match optimizer updates to frozen kd_w010_selected; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",56000.0,98.98417699337006,False,0.07570012174546717,0.06802139617502688,98.96764585971832,0.016531133651742635,True,72000,0,73694293,368471465,73694293,368471465,0,0
2,ukraine_updates_selected,ukraine_only,facebook_page_reference,match optimizer updates to frozen kd_w010_selected; optimizer updates are not compute,"{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",56000.0,92.09651823043824,False,0.2940960451960564,0.28524192273616794,95.31494824886322,-3.218430018424989,False,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
2,ukraine_only_selected,ukraine_only,ukr_rus_twitter,"max Ukraine validation AUC subject to original seed2 Facebook floor; <=30k added Ukraine updates, 2k grid","{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",0.0,98.67685093879699,True,0.09421323016285897,0.09405395314097402,98.96764585971832,-0.2907949209213223,False,16000,0,16376712,81883560,16376712,81883560,0,0
2,ukraine_only_selected,ukraine_only,facebook_page_reference,"max Ukraine validation AUC subject to original seed2 Facebook floor; <=30k added Ukraine updates, 2k grid","{""kind"": ""new"", ""evaluation_root"": ""/dataMeR1/phil/gfm/mixture-scaling/state/async_seed2_control_s2""}",0.0,96.02873582839966,True,0.1790962234139442,0.1422430545091629,95.31494824886322,0.7137875795364401,True,5000,11000,16220760,81103800,5069279,25346395,11151481,55757405
