seed,comparison,target,kd_minus_control_auc_pp
2,fixed_equal_ukraine_exposure,covid19_twitter,-0.08650000000000047
2,fixed_equal_ukraine_exposure,covid_political,-0.4212551020408406
2,fixed_equal_ukraine_exposure,cp_hk_twitter,-0.3847448979591661
2,fixed_equal_ukraine_exposure,midterm,-0.3270816326530479
2,fixed_equal_ukraine_exposure,twibot20,0.13431632653061465
2,fixed_equal_ukraine_exposure,ukr_rus_suspended,0.02493877551021928
2,fixed_equal_optimizer_updates,covid19_twitter,-0.056632653061239324
2,fixed_equal_optimizer_updates,covid_political,-0.17612244897959872
2,fixed_equal_optimizer_updates,cp_hk_twitter,-0.2918571428571215
2,fixed_equal_optimizer_updates,midterm,-0.27164285714283976
2,fixed_equal_optimizer_updates,twibot20,0.220158163265316
2,fixed_equal_optimizer_updates,ukr_rus_suspended,0.21387244897957958
2,selected_equal_ukraine_exposure,covid19_twitter,0.05673469387755814
2,selected_equal_ukraine_exposure,covid_political,-0.4164336734693852
2,selected_equal_ukraine_exposure,cp_hk_twitter,-0.5756377551020431
2,selected_equal_ukraine_exposure,midterm,-0.168193877551015
2,selected_equal_ukraine_exposure,twibot20,0.09487244897959934
2,selected_equal_ukraine_exposure,ukr_rus_suspended,-0.03805102040815855
2,selected_equal_optimizer_updates,covid19_twitter,0.12249999999999206
2,selected_equal_optimizer_updates,covid_political,-0.14393367346936525
2,selected_equal_optimizer_updates,cp_hk_twitter,-0.35160714285714656
2,selected_equal_optimizer_updates,midterm,-0.11749999999999261
2,selected_equal_optimizer_updates,twibot20,0.27479081632654223
2,selected_equal_optimizer_updates,ukr_rus_suspended,0.15816326530612157
2,source_selected_recipes,covid19_twitter,0.26242857142855236
2,source_selected_recipes,covid_political,-0.5128112244898064
2,source_selected_recipes,cp_hk_twitter,0.1847602040816132
2,source_selected_recipes,midterm,0.7517244897959241
2,source_selected_recipes,twibot20,0.6740357142857034
2,source_selected_recipes,ukr_rus_suspended,0.15962244897960165
