seed_left,seed_right,target,donor_rank_spearman
0,1,covid19_twitter,0.9523809523809524
0,1,covid_political,0.9047619047619048
0,1,cp_hk_twitter,0.9761904761904763
0,1,election2020,0.8571428571428572
0,1,facebook_page_reference,0.9047619047619048
0,1,midterm,0.9761904761904763
0,1,twibot20,0.9761904761904763
0,1,ukr_rus_suspended,0.9761904761904763
0,1,ukr_rus_twitter,1.0
0,2,covid19_twitter,0.9761904761904763
0,2,covid_political,0.8095238095238096
0,2,cp_hk_twitter,0.9761904761904763
0,2,election2020,1.0
0,2,facebook_page_reference,0.9523809523809524
0,2,midterm,1.0
0,2,twibot20,0.9761904761904763
0,2,ukr_rus_suspended,0.9761904761904763
0,2,ukr_rus_twitter,0.9523809523809524
1,2,covid19_twitter,0.9761904761904763
1,2,covid_political,0.8333333333333335
1,2,cp_hk_twitter,1.0
1,2,election2020,0.8571428571428572
1,2,facebook_page_reference,0.9047619047619048
1,2,midterm,0.9761904761904763
1,2,twibot20,1.0
1,2,ukr_rus_suspended,1.0
1,2,ukr_rus_twitter,0.9523809523809524
