arm,step,task,dataset,target,metric,value,shots,model
ukr,10000,classification,twibot20,,roc_auc,0.6578746249999999,10,sat_ukr_s010000
ukr,10000,classification,ukr_rus_suspended,,roc_auc,0.50871,10,sat_ukr_s010000
ukr,40000,classification,covid_political,,roc_auc,0.9053978194444444,10,sat_ukr_s040000
ukr,40000,classification,election2020,,roc_auc,0.981414,10,sat_ukr_s040000
ukr,40000,classification,twibot20,,roc_auc,0.631574486111111,10,sat_ukr_s040000
ukr,40000,classification,ukr_rus_suspended,,roc_auc,0.511902,10,sat_ukr_s040000
all8,100,regression,covid19_twitter,account_age_days,spearman,-0.0474780698551854,10,sat_all8_s000100
all8,100,regression,covid19_twitter,followers_count,spearman,-0.2205013835510127,10,sat_all8_s000100
all8,100,regression,midterm,account_age_days,spearman,-0.0562996649350045,10,sat_all8_s000100
all8,100,regression,midterm,followers_count,spearman,-0.1963798423418094,10,sat_all8_s000100
all8,100,regression,twibot20,account_age_days,spearman,-0.1118399487837315,10,sat_all8_s000100
all8,100,regression,twibot20,followers_count,spearman,-0.1893142120317513,10,sat_all8_s000100
all8,100,regression,ukr_rus_twitter,account_age_days,spearman,-0.0736429202615603,10,sat_all8_s000100
all8,100,regression,ukr_rus_twitter,followers_count,spearman,-0.1691909507902267,10,sat_all8_s000100
all8,500,regression,covid19_twitter,account_age_days,spearman,-0.002092497391807,10,sat_all8_s000500
all8,500,regression,covid19_twitter,followers_count,spearman,-0.0693671090188985,10,sat_all8_s000500
all8,500,regression,midterm,account_age_days,spearman,0.1550867326442959,10,sat_all8_s000500
all8,500,regression,midterm,followers_count,spearman,-0.1036075359853118,10,sat_all8_s000500
all8,500,regression,twibot20,account_age_days,spearman,-0.0036758838811575,10,sat_all8_s000500
all8,500,regression,twibot20,followers_count,spearman,-0.3703718963805781,10,sat_all8_s000500
all8,500,regression,ukr_rus_twitter,account_age_days,spearman,-0.0003765462327916,10,sat_all8_s000500
all8,500,regression,ukr_rus_twitter,followers_count,spearman,-0.042415134083903,10,sat_all8_s000500
all8,1000,regression,covid19_twitter,account_age_days,spearman,-0.0901510223235236,10,sat_all8_s001000
all8,1000,regression,covid19_twitter,followers_count,spearman,-0.0160295642517891,10,sat_all8_s001000
all8,1000,regression,midterm,account_age_days,spearman,-0.2203842421867081,10,sat_all8_s001000
all8,1000,regression,midterm,followers_count,spearman,-0.0813241360217478,10,sat_all8_s001000
all8,1000,regression,twibot20,account_age_days,spearman,-0.1965286560372998,10,sat_all8_s001000
all8,1000,regression,twibot20,followers_count,spearman,-0.1660215841811589,10,sat_all8_s001000
all8,1000,regression,ukr_rus_twitter,account_age_days,spearman,-0.0834726986763656,10,sat_all8_s001000
all8,1000,regression,ukr_rus_twitter,followers_count,spearman,-0.0185825303514935,10,sat_all8_s001000
all8,2000,regression,covid19_twitter,account_age_days,spearman,-0.0983468589426927,10,sat_all8_s002000
all8,2000,regression,covid19_twitter,followers_count,spearman,-0.0827565230341379,10,sat_all8_s002000
all8,2000,regression,midterm,account_age_days,spearman,-0.2196504817019049,10,sat_all8_s002000
all8,2000,regression,midterm,followers_count,spearman,-0.1335551054307017,10,sat_all8_s002000
all8,2000,regression,twibot20,account_age_days,spearman,-0.1876046035410587,10,sat_all8_s002000
all8,2000,regression,twibot20,followers_count,spearman,-0.3437747467970577,10,sat_all8_s002000
all8,2000,regression,ukr_rus_twitter,account_age_days,spearman,-0.0801158158599175,10,sat_all8_s002000
all8,2000,regression,ukr_rus_twitter,followers_count,spearman,-0.0509120335185182,10,sat_all8_s002000
all8,10000,regression,covid19_twitter,account_age_days,spearman,-0.0996650951170348,10,sat_all8_s010000
all8,10000,regression,covid19_twitter,followers_count,spearman,-0.0146731216111866,10,sat_all8_s010000
all8,10000,regression,midterm,account_age_days,spearman,-0.1190688304530579,10,sat_all8_s010000
all8,10000,regression,midterm,followers_count,spearman,-0.0609462918747658,10,sat_all8_s010000
all8,10000,regression,twibot20,account_age_days,spearman,-0.0600692863369156,10,sat_all8_s010000
all8,10000,regression,twibot20,followers_count,spearman,-0.2134690183603842,10,sat_all8_s010000
all8,10000,regression,ukr_rus_twitter,account_age_days,spearman,-0.072517155563294,10,sat_all8_s010000
all8,10000,regression,ukr_rus_twitter,followers_count,spearman,-0.0271409053735976,10,sat_all8_s010000
all8,40000,regression,covid19_twitter,account_age_days,spearman,-0.0256347423552375,10,sat_all8_s040000
all8,40000,regression,covid19_twitter,followers_count,spearman,0.0553793652575169,10,sat_all8_s040000
all8,40000,regression,midterm,account_age_days,spearman,-0.0693007055729586,10,sat_all8_s040000
all8,40000,regression,midterm,followers_count,spearman,0.0690107956837531,10,sat_all8_s040000
all8,40000,regression,twibot20,account_age_days,spearman,-0.0463920399879827,10,sat_all8_s040000
all8,40000,regression,twibot20,followers_count,spearman,-0.0296376299480926,10,sat_all8_s040000
all8,40000,regression,ukr_rus_twitter,account_age_days,spearman,-0.0479940722638336,10,sat_all8_s040000
all8,40000,regression,ukr_rus_twitter,followers_count,spearman,0.0101441608246632,10,sat_all8_s040000
covid,100,regression,covid19_twitter,account_age_days,spearman,-0.0154211541807214,10,sat_covid_s000100
covid,100,regression,covid19_twitter,followers_count,spearman,0.0818407067078174,10,sat_covid_s000100
covid,100,regression,midterm,account_age_days,spearman,-0.0075112090453926,10,sat_covid_s000100
covid,100,regression,midterm,followers_count,spearman,0.0675971939687858,10,sat_covid_s000100
covid,100,regression,twibot20,account_age_days,spearman,0.1679845399636708,10,sat_covid_s000100
covid,100,regression,twibot20,followers_count,spearman,0.4837417808386082,10,sat_covid_s000100
covid,100,regression,ukr_rus_twitter,account_age_days,spearman,-0.0026493293243652,10,sat_covid_s000100
covid,100,regression,ukr_rus_twitter,followers_count,spearman,0.0278943682046233,10,sat_covid_s000100
covid,500,regression,covid19_twitter,account_age_days,spearman,0.096398311609125,10,sat_covid_s000500
covid,500,regression,covid19_twitter,followers_count,spearman,0.0718400902252378,10,sat_covid_s000500
covid,500,regression,midterm,account_age_days,spearman,0.1893407831568674,10,sat_covid_s000500
covid,500,regression,midterm,followers_count,spearman,0.068036739389401,10,sat_covid_s000500
covid,500,regression,twibot20,account_age_days,spearman,0.1794832626515697,10,sat_covid_s000500
covid,500,regression,twibot20,followers_count,spearman,0.2825474534700141,10,sat_covid_s000500
covid,500,regression,ukr_rus_twitter,account_age_days,spearman,0.0921498347835988,10,sat_covid_s000500
covid,500,regression,ukr_rus_twitter,followers_count,spearman,0.0495154775205022,10,sat_covid_s000500
covid,1000,regression,covid19_twitter,account_age_days,spearman,-0.1854195824340225,10,sat_covid_s001000
covid,1000,regression,covid19_twitter,followers_count,spearman,-0.0544279052238459,10,sat_covid_s001000
covid,1000,regression,midterm,account_age_days,spearman,-0.2964332789220751,10,sat_covid_s001000
