run_id	kind	target	sources	seed
specialist_covid_political_s0	specialist	covid_political	covid_political	0
loo_covid_political_s0	leave_one_out	covid_political	ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed	0
specialist_ukr_rus_suspended_s0	specialist	ukr_rus_suspended	ukr_rus_suspended	0
loo_ukr_rus_suspended_s0	leave_one_out	ukr_rus_suspended	covid_political,election2020,twibot20,facebook_page_reference,cora,pubmed	0
specialist_election2020_s0	specialist	election2020	election2020	0
loo_election2020_s0	leave_one_out	election2020	covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed	0
specialist_twibot20_s0	specialist	twibot20	twibot20	0
loo_twibot20_s0	leave_one_out	twibot20	covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora,pubmed	0
specialist_facebook_page_reference_s0	specialist	facebook_page_reference	facebook_page_reference	0
loo_facebook_page_reference_s0	leave_one_out	facebook_page_reference	covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed	0
specialist_cora_s0	specialist	cora	cora	0
loo_cora_s0	leave_one_out	cora	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed	0
specialist_pubmed_s0	specialist	pubmed	pubmed	0
loo_pubmed_s0	leave_one_out	pubmed	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora	0
