model,available_targets,expected_targets,complete,mean_transfer_auc_pct
kd_extended_selected,6,6,True,95.70925510204081
kd_fixed,6,6,True,95.53270153061224
ukraine_exposure,6,6,True,95.6088537414966
ukraine_only_selected,6,6,True,95.69229591836734
ukraine_updates,6,6,True,95.6317619047619
original_async_kd,6,6,True,95.55583503401363
original_extended_bce,6,6,True,94.93052806122449
original_extended_bce_matched,6,6,True,94.60595408163266
singleton_ukr_rus_twitter,6,6,True,95.76420238095238
singleton_facebook_page_reference,6,6,True,88.01231887755102
