graph,n_way,n_shot,condition,accuracy,roc_auc,chance,model_nm_accuracy
twibot20,30,3,feature_only_real,0.1691,0.6569,0.0333,0.4062
twibot20,30,3,feature_only_permute,0.0351,0.5002,0.0333,0.4062
midterm,30,3,feature_only_real,0.1026,0.6071,0.0333,0.3126
midterm,30,3,feature_only_permute,0.0319,0.4987,0.0333,0.3126
