target,stream,model,n,accuracy,auc,u1_accuracy,raw_accuracy,u1_agreement_rate,accuracy_when_healthy,accuracy_when_unhealthy,error_rate_ratio_unhealthy_to_healthy
covid_political,original,ss_covid,3072,0.8684895833333334,0.9280008386682581,0.9091796875,0.7389322916666666,0.9332682291666666,0.9166376002790373,0.1951219512195122,9.655168894785179
covid_political,original,ss_covid_political,3072,0.82421875,0.8948782461660879,0.8997395833333334,0.7389322916666666,0.876953125,0.9127691165553081,0.1931216931216931,9.249915569064509
covid_political,original,ss_cp_hk,3072,0.6305338541666666,0.7372945149739583,0.7936197916666666,0.7389322916666666,0.7600911458333334,0.7790149892933619,0.16010854816824965,3.800671589199878
covid_political,original,ss_election2020,3072,0.8860677083333334,0.9369351422345196,0.9046223958333334,0.7389322916666666,0.9456380208333334,0.9180722891566265,0.32934131736526945,8.185980979218037
covid_political,original,ss_facebook_page_reference,3072,0.6103515625,0.6881982308846931,0.8284505208333334,0.7389322916666666,0.6458333333333334,0.8397177419354839,0.19209558823529413,5.040510543840178
covid_political,original,ss_midterm,3072,0.7701822916666666,0.887857507776331,0.88671875,0.7389322916666666,0.84375,0.8892746913580247,0.12708333333333333,7.883623693379794
covid_political,original,ss_twibot20,3072,0.7799479166666666,0.9172699539749709,0.8961588541666666,0.7389322916666666,0.8629557291666666,0.8917389664277631,0.07600950118764846,8.53483906742698
covid_political,original,ss_ukr_rus,3072,0.8759765625,0.9311088279441551,0.9049479166666666,0.7389322916666666,0.9462890625,0.912624699002408,0.23030303030303031,8.809090909090905
covid_political,original,ss_ukr_rus_suspended,3072,0.6949869791666666,0.7260612205222801,0.7242838541666666,0.7389322916666666,0.76953125,0.772419627749577,0.4364406779661017,2.4763089912418876
covid_political,fresh,ss_covid,3072,0.875,0.9409996315285012,0.921875,0.73828125,0.9381510416666666,0.92470506592644,0.12105263157894737,11.673393160320154
covid_political,fresh,ss_covid_political,3072,0.8245442708333334,0.9104261045102721,0.9049479166666666,0.73828125,0.8740234375,0.9173184357541899,0.18087855297157623,9.906941825546474
covid_political,fresh,ss_cp_hk,3072,0.6243489583333334,0.7720992476851851,0.818359375,0.73828125,0.732421875,0.8022222222222222,0.13746958637469586,4.36110883293693
covid_political,fresh,ss_election2020,3072,0.8919270833333334,0.9409784387659145,0.9176432291666666,0.73828125,0.9469401041666666,0.927466483327604,0.25766871165644173,10.234320937400046
covid_political,fresh,ss_facebook_page_reference,3072,0.6018880208333334,0.7002927992078993,0.8274739583333334,0.73828125,0.6396484375,0.8356234096692112,0.18699186991869918,4.946009212414106
covid_political,fresh,ss_midterm,3072,0.7750651041666666,0.910175464771412,0.9065755208333334,0.73828125,0.8346354166666666,0.9083463338533542,0.10236220472440945,9.793801306751552
covid_political,fresh,ss_twibot20,3072,0.7952473958333334,0.9388193201135706,0.9091796875,0.73828125,0.869140625,0.9052434456928838,0.06467661691542288,9.870804082355017
covid_political,fresh,ss_ukr_rus,3072,0.8873697916666666,0.9441850450303819,0.9287109375,0.73828125,0.9443359375,0.932092381937263,0.1286549707602339,12.831329593018069
covid_political,fresh,ss_ukr_rus_suspended,3072,0.6936848958333334,0.7427718551070601,0.7220052083333334,0.73828125,0.7620442708333334,0.7727466894489534,0.44049247606019154,2.46204344650957
election2020,original,ss_covid,256,0.98046875,0.98675537109375,0.984375,0.91015625,0.99609375,0.984313725490196,0.0,63.74999999999977
election2020,original,ss_covid_political,256,0.97265625,0.97552490234375,0.97265625,0.91015625,0.9921875,0.9763779527559056,0.5,21.166666666666703
election2020,original,ss_cp_hk,256,0.921875,0.96746826171875,0.95703125,0.91015625,0.94921875,0.9629629629629629,0.15384615384615385,22.846153846153815
election2020,original,ss_election2020,256,0.97265625,0.986083984375,0.9765625,0.91015625,0.99609375,0.9764705882352941,0.0,42.49999999999995
election2020,original,ss_facebook_page_reference,256,0.96875,0.97900390625,0.96875,0.91015625,0.96875,0.9838709677419355,0.5,31.00000000000003
election2020,original,ss_midterm,256,0.984375,0.98211669921875,0.984375,0.91015625,1.0,0.984375,,
election2020,original,ss_twibot20,256,0.97265625,0.989990234375,0.984375,0.91015625,0.98828125,0.9841897233201581,0.0,63.24999999999992
election2020,original,ss_ukr_rus,256,0.98046875,0.9853515625,0.984375,0.91015625,0.99609375,0.984313725490196,0.0,63.74999999999977
election2020,original,ss_ukr_rus_suspended,256,0.92578125,0.97344970703125,0.94140625,0.91015625,0.90625,0.978448275862069,0.4166666666666667,27.066666666666645
election2020,fresh,ss_covid,256,0.9765625,0.98956298828125,0.9765625,0.87890625,1.0,0.9765625,,
election2020,fresh,ss_covid_political,256,0.97265625,0.9791259765625,0.96875,0.87890625,0.99609375,0.9725490196078431,1.0,0.0
election2020,fresh,ss_cp_hk,256,0.91796875,0.95892333984375,0.90625,0.87890625,0.93359375,0.9414225941422594,0.5882352941176471,7.029411764705877
election2020,fresh,ss_election2020,256,0.96875,0.97296142578125,0.96875,0.87890625,0.9921875,0.9724409448818898,0.5,18.142857142857174
election2020,fresh,ss_facebook_page_reference,256,0.94921875,0.971923828125,0.94921875,0.87890625,0.984375,0.9563492063492064,0.5,11.454545454545466
election2020,fresh,ss_midterm,256,0.9765625,0.98272705078125,0.9765625,0.87890625,1.0,0.9765625,,
election2020,fresh,ss_twibot20,256,0.9765625,0.98193359375,0.9765625,0.87890625,0.9921875,0.9803149606299213,0.5,25.400000000000045
election2020,fresh,ss_ukr_rus,256,0.9765625,0.988525390625,0.98046875,0.87890625,0.99609375,0.9803921568627451,0.0,50.99999999999989
election2020,fresh,ss_ukr_rus_suspended,256,0.90625,0.95086669921875,0.875,0.87890625,0.859375,0.9545454545454546,0.6111111111111112,8.555555555555562
facebook_page_reference,original,ss_covid,1024,0.6787109375,0.7590980529785156,0.7265625,0.82421875,0.8642578125,0.7344632768361582,0.3237410071942446,2.5467625899280577
facebook_page_reference,original,ss_covid_political,1024,0.6484375,0.6887168884277344,0.705078125,0.82421875,0.705078125,0.7506925207756233,0.40397350993377484,2.390728476821192
facebook_page_reference,original,ss_cp_hk,1024,0.62890625,0.6828460693359375,0.716796875,0.82421875,0.80078125,0.7158536585365853,0.27941176470588236,2.5359757636960363
facebook_page_reference,original,ss_election2020,1024,0.599609375,0.6411781311035156,0.6845703125,0.82421875,0.7099609375,0.7001375515818432,0.35353535353535354,2.155870632934853
facebook_page_reference,original,ss_facebook_page_reference,1024,0.654296875,0.716400146484375,0.728515625,0.82421875,0.69140625,0.7768361581920904,0.379746835443038,2.779362281685627
facebook_page_reference,original,ss_midterm,1024,0.6435546875,0.7097396850585938,0.728515625,0.82421875,0.7490234375,0.7483702737940026,0.33073929961089493,2.6597044414427127
facebook_page_reference,original,ss_twibot20,1024,0.708984375,0.783599853515625,0.734375,0.82421875,0.880859375,0.7516629711751663,0.39344262295081966,2.4424765807962534
facebook_page_reference,original,ss_ukr_rus,1024,0.669921875,0.7413578033447266,0.7041015625,0.82421875,0.8837890625,0.7116022099447514,0.35294117647058826,2.2436330854180753
facebook_page_reference,original,ss_ukr_rus_suspended,1024,0.607421875,0.6451835632324219,0.634765625,0.82421875,0.7734375,0.6565656565656566,0.4396551724137931,1.6315922920892494
facebook_page_reference,fresh,ss_covid,1024,0.6845703125,0.7441787719726562,0.7197265625,0.83203125,0.880859375,0.729490022172949,0.3524590163934426,2.3937785541521093
facebook_page_reference,fresh,ss_covid_political,1024,0.6416015625,0.6878948211669922,0.6865234375,0.83203125,0.712890625,0.7301369863013699,0.4217687074829932,2.1426844849614977
