state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
initial,0,mixed,ukr_rus_suspended,-0.2932835008445994,True,0.07257473826187998,1.0405305285890398,0.008303917944431305,0.159637475758791,0.0009310677647590415,0.9597534322738648,0.17064738273621094
initial,0,mixed,covid_political,-0.2932835008445994,True,0.07257473826187998,1.0405305285890398,-0.05691647529602051,0.3257745638489724,-0.061848311126232236,0.8787058432102204,2.312015175819382
initial,0,corrected,ukr_rus_suspended,-0.2932835008445994,True,0.07551623076584518,1.0405305285890398,0.0011017173528671265,0.159637475758791,0.0007063739001750835,0.9597534322738648,0.051694130897517176
initial,0,corrected,covid_political,-0.2932835008445994,True,0.07551623076584518,1.0405305285890398,-0.05418172478675842,0.3257745638489724,-0.058139640092849776,0.8787058432102204,2.0720995903015016
initial,0,mixed_norm_matched,ukr_rus_suspended,-0.2932835008445994,True,0.07551623320944163,1.0405305285890398,0.008969984948635101,0.159637475758791,0.0013329498469829282,0.9597534322738648,0.17353155612944704
initial,0,mixed_norm_matched,covid_political,-0.2932835008445994,True,0.07551623320944163,1.0405305285890398,-0.057402729988098145,0.3257745638489724,-0.0626781940460206,0.8787058432102204,2.3843954086303687
initial,1,mixed,ukr_rus_suspended,-0.5954219389489749,True,0.071219847227954,1.2011938276659424,0.014440782368183136,0.159637475758791,0.0009816773235797605,0.9597534322738648,0.17975935935974352
initial,1,mixed,covid_political,-0.5954219389489749,True,0.071219847227954,1.2011938276659424,-0.066017746925354,0.3257745638489724,-0.06145956367254268,0.8787058432102204,2.2616492033004754
initial,1,corrected,ukr_rus_suspended,-0.5954219389489749,True,0.08554884089752973,1.2011938276659424,-0.0016014352440834045,0.159637475758791,0.0037595413625239604,0.9597534322738648,-0.12423281669617925
initial,1,corrected,covid_political,-0.5954219389489749,True,0.08554884089752973,1.2011938276659424,-0.05262717604637146,0.3257745638489724,-0.0495817169547082,0.8787058432102204,1.5262337684631255
initial,1,mixed_norm_matched,ukr_rus_suspended,-0.5954219389489749,True,0.08554883960325246,1.2011938276659424,0.01971663534641266,0.159637475758791,0.003353226929902975,0.9597534322738648,0.193745684623714
initial,1,mixed_norm_matched,covid_political,-0.5954219389489749,True,0.08554883960325246,1.2011938276659424,-0.07022777199745178,0.3257745638489724,-0.06422136500477799,0.8787058432102204,2.605955386161818
initial,2,mixed,ukr_rus_suspended,-0.33073106889122245,True,0.0717798748244053,1.1160719782242143,0.00869528204202652,0.159637475758791,0.000920050591230348,0.9597534322738648,0.19083080291746324
initial,2,mixed,covid_political,-0.33073106889122245,True,0.0717798748244053,1.1160719782242143,-0.06205403804779053,0.3257745638489724,-0.06104862689971935,0.8787058432102204,2.2347507238388076
initial,2,corrected,ukr_rus_suspended,-0.33073106889122245,True,0.0801115068919605,1.1160719782242143,6.866455078125e-05,0.159637475758791,-9.045004844671078e-05,0.9597534322738648,0.07977206707000528
initial,2,corrected,covid_political,-0.33073106889122245,True,0.0801115068919605,1.1160719782242143,-0.05871400237083435,0.3257745638489724,-0.0566438749432564,0.8787058432102204,1.914892458915718
initial,2,mixed_norm_matched,ukr_rus_suspended,-0.33073106889122245,True,0.08011150410863711,1.1160719782242143,0.0108112171292305,0.159637475758791,0.0022060163319110315,0.9597534322738648,0.20114407539367773
initial,2,mixed_norm_matched,covid_political,-0.33073106889122245,True,0.08011150410863711,1.1160719782242143,-0.06407821178436279,0.3257745638489724,-0.06298185288906111,0.8787058432102204,2.435056591033935
initial,3,mixed,ukr_rus_suspended,-0.5478425101527512,True,0.07237217059206093,1.174036090067332,0.013485565781593323,0.159637475758791,0.001267097890377017,0.9597534322738648,0.18089268207550635
initial,3,mixed,covid_political,-0.5478425101527512,True,0.07237217059206093,1.174036090067332,-0.06868469715118408,0.3257745638489724,-0.061318136751651875,0.8787058432102204,2.2642353534698345
initial,3,corrected,ukr_rus_suspended,-0.5478425101527512,True,0.08496754019158916,1.174036090067332,-0.0017014145851135254,0.159637475758791,0.00218867063522335,0.9597534322738648,-0.07780783176423167
initial,3,corrected,covid_political,-0.5478425101527512,True,0.08496754019158916,1.174036090067332,-0.05907443165779114,0.3257745638489724,-0.05234213173389446,0.8787058432102204,1.6703761577606002
initial,3,mixed_norm_matched,ukr_rus_suspended,-0.5478425101527512,True,0.0849675441800916,1.174036090067332,0.017787672579288483,0.159637475758791,0.0034434571862220764,0.9597534322738648,0.19292576313018062
initial,3,mixed_norm_matched,covid_political,-0.5478425101527512,True,0.0849675441800916,1.174036090067332,-0.07188767194747925,0.3257745638489724,-0.06358932107687004,0.8787058432102204,2.562921881675706
initial,4,mixed,ukr_rus_suspended,-0.3897053470295662,True,0.07206862100817092,1.0709557229476518,0.011573992669582367,0.159637475758791,0.0010946437716483903,0.9597534322738648,0.19001071453095264
initial,4,mixed,covid_political,-0.3897053470295662,True,0.07206862100817092,1.0709557229476518,-0.060222625732421875,0.3257745638489724,-0.06180734634399421,0.8787058432102204,2.2957314729690537
initial,4,corrected,ukr_rus_suspended,-0.3897053470295662,True,0.07718230211364602,1.0709557229476518,0.0012761279940605164,0.159637475758791,0.000575356185436221,0.9597534322738648,0.03747889995574516
initial,4,corrected,covid_political,-0.3897053470295662,True,0.07718230211364602,1.0709557229476518,-0.05519118905067444,0.3257745638489724,-0.05688999146223073,0.8787058432102204,1.9687630176544069
