run,display_name,test_roc_auc,test_average_precision,test_f1,test_accuracy,test_balanced_accuracy,validation_threshold,train_examples,validation_examples,test_examples,feature_dim
degree-logistic,Degree baseline,0.761065550184162,0.7433962323516227,0.7654485049833887,0.7016060862214708,0.6838858195211787,0.35000000000000003,8278,2365,1183,16
step-0,step-0,0.7616525667587477,0.7444461820182349,0.7647831800262812,0.6973795435333897,0.6784444060773481,0.33,8278,2365,1183,64
step-100,step-100,0.7613950276243093,0.7450391364253786,0.7628032345013477,0.702451394759087,0.6862022329650093,0.36000000000000004,8278,2365,1183,64
step-20,step-20,0.7607029811233885,0.7436077029670818,0.7631754503002002,0.6999154691462384,0.6826024401473296,0.35000000000000003,8278,2365,1183,64
step-2000,step-2000,0.7599720879373849,0.7417254078468604,0.7688098495212038,0.7142857142857143,0.6996518186003684,0.38,8278,2365,1183,64
step-300,step-300,0.7591404811233886,0.7420405955076366,0.7687074829931972,0.7125950972104819,0.6973915170349908,0.39,8278,2365,1183,64
step-60,step-60,0.7609504488950277,0.7435374054453365,0.7698686938493434,0.7185122569737954,0.7049536717311233,0.39,8278,2365,1183,64
step-900,step-900,0.7599102209944751,0.7404658359117202,0.7666214382632293,0.7092138630600169,0.6937082757826888,0.39,8278,2365,1183,64
