target,stream,model,n,accuracy,auc,u1_accuracy,raw_accuracy,u1_agreement_rate,accuracy_when_healthy,accuracy_when_unhealthy,error_rate_ratio_unhealthy_to_healthy
covid_political,original,ss_covid,3072,0.8427734375,0.9154894793475116,0.9088541666666666,0.7389322916666666,0.9150390625,0.9107079331198862,0.1111111111111111,9.954847277556443
covid_political,original,ss_covid_political,3072,0.7789713541666666,0.8719897800021701,0.900390625,0.7389322916666666,0.8310546875,0.9087348217783,0.14065510597302505,9.415912079188267
covid_political,original,ss_cp_hk,3072,0.7444661458333334,0.8231794569227431,0.8271484375,0.7389322916666666,0.8444010416666666,0.838473400154202,0.23430962343096234,4.740336126062253
covid_political,original,ss_election2020,3072,0.8723958333333334,0.9413443671332467,0.9085286458333334,0.7389322916666666,0.9313151041666666,0.9192590003495281,0.23696682464454977,9.450380583082003
covid_political,original,ss_facebook_page_reference,3072,0.6022135416666666,0.6790243078161169,0.8040364583333334,0.7389322916666666,0.662109375,0.8067846607669616,0.20134874759152216,4.133477474297313
covid_political,original,ss_midterm,3072,0.8151041666666666,0.905024493182147,0.8902994791666666,0.7389322916666666,0.8902994791666666,0.8961608775137112,0.1572700296735905,8.115727002967363
covid_political,original,ss_twibot20,3072,0.7724609375,0.9059459544994215,0.9016927083333334,0.7389322916666666,0.8518880208333334,0.8956820787160871,0.06373626373626373,8.975099625649072
covid_political,original,ss_ukr_rus,3072,0.8987630208333334,0.9429863823784722,0.9166666666666666,0.7389322916666666,0.9638671875,0.922998986828774,0.25225225225225223,9.710881934566139
covid_political,original,ss_ukr_rus_suspended,3072,0.677734375,0.7567463627567996,0.6858723958333334,0.7389322916666666,0.7978515625,0.7278661770705834,0.47987117552334946,1.911297974201305
covid_political,fresh,ss_covid,3072,0.8466796875,0.9368091159396702,0.9244791666666666,0.73828125,0.9078776041666666,0.92470419505199,0.07773851590106007,12.248510853104495
covid_political,fresh,ss_covid_political,3072,0.7887369791666666,0.8828198468243633,0.9075520833333334,0.73828125,0.8362630208333334,0.9163098481899572,0.13717693836978131,10.309732303851312
covid_political,fresh,ss_cp_hk,3072,0.7350260416666666,0.8582859745732061,0.8326822916666666,0.73828125,0.8313802083333334,0.841425215348473,0.21042471042471042,4.9791982458649136
covid_political,fresh,ss_election2020,3072,0.8821614583333334,0.9463450113932292,0.9212239583333334,0.73828125,0.9264322916666666,0.9335910049191848,0.2345132743362832,11.526853022428238
covid_political,fresh,ss_facebook_page_reference,3072,0.6331380208333334,0.7265729550962094,0.8115234375,0.73828125,0.67578125,0.8289980732177264,0.2248995983935743,4.532699813337859
covid_political,fresh,ss_midterm,3072,0.8180338541666666,0.9230154531973379,0.8961588541666666,0.73828125,0.8873697916666666,0.9024211298606016,0.1531791907514451,8.678321526359253
covid_political,fresh,ss_twibot20,3072,0.7880859375,0.9343897501627604,0.9251302083333334,0.73828125,0.8440755208333334,0.9224836097184728,0.060542797494780795,12.119465303960359
covid_political,fresh,ss_ukr_rus,3072,0.912109375,0.9584647284613715,0.9326171875,0.73828125,0.9586588541666666,0.9405772495755518,0.25196850393700787,12.58830146231721
covid_political,fresh,ss_ukr_rus_suspended,3072,0.7021484375,0.7804175482855904,0.6975911458333334,0.73828125,0.7936197916666666,0.7518457752255947,0.5110410094637224,1.9703835023594123
election2020,original,ss_covid,256,0.984375,0.98675537109375,0.984375,0.91015625,1.0,0.984375,,
election2020,original,ss_covid_political,256,0.97265625,0.983245849609375,0.97265625,0.91015625,1.0,0.97265625,,
election2020,original,ss_cp_hk,256,0.9765625,0.9853515625,0.9765625,0.91015625,0.984375,0.9841269841269841,0.5,31.49999999999989
election2020,original,ss_election2020,256,0.98046875,0.9881591796875,0.9765625,0.91015625,0.99609375,0.9803921568627451,1.0,0.0
election2020,original,ss_facebook_page_reference,256,0.9609375,0.98114013671875,0.94921875,0.91015625,0.96484375,0.97165991902834,0.6666666666666666,11.761904761904745
election2020,original,ss_midterm,256,0.98046875,0.984832763671875,0.9765625,0.91015625,0.99609375,0.9803921568627451,1.0,0.0
election2020,original,ss_twibot20,256,0.96484375,0.98309326171875,0.984375,0.91015625,0.98046875,0.9840637450199203,0.0,62.75000000000006
election2020,original,ss_ukr_rus,256,0.984375,0.98834228515625,0.984375,0.91015625,1.0,0.984375,,
election2020,original,ss_ukr_rus_suspended,256,0.9375,0.970458984375,0.83984375,0.91015625,0.84765625,0.9585253456221198,0.8205128205128205,4.327635327635324
election2020,fresh,ss_covid,256,0.9765625,0.98431396484375,0.9765625,0.87890625,1.0,0.9765625,,
election2020,fresh,ss_covid_political,256,0.96875,0.97735595703125,0.96875,0.87890625,0.9921875,0.9724409448818898,0.5,18.142857142857174
election2020,fresh,ss_cp_hk,256,0.96484375,0.9901123046875,0.953125,0.87890625,0.97265625,0.9718875502008032,0.7142857142857143,10.163265306122442
election2020,fresh,ss_election2020,256,0.9765625,0.96978759765625,0.96875,0.87890625,0.9921875,0.9763779527559056,1.0,0.0
election2020,fresh,ss_facebook_page_reference,256,0.953125,0.9771728515625,0.9453125,0.87890625,0.953125,0.9713114754098361,0.5833333333333334,14.523809523809534
election2020,fresh,ss_midterm,256,0.98046875,0.97607421875,0.9765625,0.87890625,0.99609375,0.9803921568627451,1.0,0.0
election2020,fresh,ss_twibot20,256,0.9765625,0.98382568359375,0.9765625,0.87890625,1.0,0.9765625,,
election2020,fresh,ss_ukr_rus,256,0.9765625,0.9853515625,0.9765625,0.87890625,1.0,0.9765625,,
election2020,fresh,ss_ukr_rus_suspended,256,0.89453125,0.96270751953125,0.8359375,0.87890625,0.83984375,0.9348837209302325,0.6829268292682927,4.869337979094074
facebook_page_reference,original,ss_covid,1024,0.6767578125,0.7511940002441406,0.7236328125,0.82421875,0.8671875,0.7308558558558559,0.3235294117647059,2.513413733694315
facebook_page_reference,original,ss_covid_political,1024,0.6552734375,0.6978168487548828,0.7060546875,0.82421875,0.73828125,0.7447089947089947,0.40298507462686567,2.338566236176629
facebook_page_reference,original,ss_cp_hk,1024,0.623046875,0.6762313842773438,0.73046875,0.82421875,0.80078125,0.7207317073170731,0.23039215686274508,2.755801010360476
facebook_page_reference,original,ss_election2020,1024,0.5791015625,0.621673583984375,0.69140625,0.82421875,0.6884765625,0.6964539007092199,0.31974921630094044,2.241013095831014
facebook_page_reference,original,ss_facebook_page_reference,1024,0.669921875,0.7362422943115234,0.734375,0.82421875,0.72265625,0.7797297297297298,0.38380281690140844,2.7974596042512747
facebook_page_reference,original,ss_midterm,1024,0.6484375,0.7129554748535156,0.7158203125,0.82421875,0.7900390625,0.73053152039555,0.3395348837209302,2.450992105824621
facebook_page_reference,original,ss_twibot20,1024,0.7236328125,0.7949714660644531,0.7451171875,0.82421875,0.873046875,0.7684563758389261,0.4153846153846154,2.5248606465997763
facebook_page_reference,original,ss_ukr_rus,1024,0.701171875,0.7700119018554688,0.7275390625,0.82421875,0.8798828125,0.7436182019977803,0.3902439024390244,2.378312744166403
facebook_page_reference,original,ss_ukr_rus_suspended,1024,0.6083984375,0.6566963195800781,0.658203125,0.82421875,0.7744140625,0.6721311475409836,0.38961038961038963,1.8616883116883114
facebook_page_reference,fresh,ss_covid,1024,0.6748046875,0.7369155883789062,0.7177734375,0.83203125,0.84765625,0.7315668202764977,0.358974358974359,2.3880268515461642
facebook_page_reference,fresh,ss_covid_political,1024,0.6240234375,0.6629047393798828,0.6923828125,0.83203125,0.703125,0.725,0.3848684210526316,2.2368421052631575
facebook_page_reference,fresh,ss_cp_hk,1024,0.6513671875,0.7205963134765625,0.748046875,0.83203125,0.8076171875,0.747279322853688,0.24873096446700507,2.9727248439511333
facebook_page_reference,fresh,ss_election2020,1024,0.6220703125,0.6598091125488281,0.70703125,0.83203125,0.7099609375,0.7317744154057771,0.35353535353535354,2.41015281015281
