stream,model,mean_accuracy,mean_auc,mean_u1_agreement
fresh,ss_covid,0.70859375,0.7550888909233942,0.8708333333333333
fresh,ss_covid_political,0.6739583333333333,0.7050714987295645,0.7368489583333334
fresh,ss_cp_hk,0.7013020833333333,0.7523262165210866,0.82734375
fresh,ss_election2020,0.7210286458333334,0.7461451636420355,0.772265625
fresh,ss_facebook_page_reference,0.6536458333333334,0.6913552319561994,0.7128255208333333
fresh,ss_midterm,0.6942057291666666,0.7325081860577619,0.7759114583333333
fresh,ss_twibot20,0.6995442708333333,0.7518151177300347,0.8604817708333334
fresh,ss_ukr_rus,0.7365885416666667,0.7651352352566189,0.8879557291666667
fresh,ss_ukr_rus_suspended,0.6597005208333333,0.7075744205050999,0.7911458333333333
original,ss_covid,0.7223958333333333,0.7539975201642072,0.8705729166666666
original,ss_covid_political,0.676953125,0.7086312611897786,0.7421875
original,ss_cp_hk,0.6944661458333334,0.7242677900526259,0.84140625
original,ss_election2020,0.7025390625,0.7357998318142361,0.7696614583333333
original,ss_facebook_page_reference,0.6567708333333333,0.6841453834816262,0.7106770833333333
original,ss_midterm,0.6915364583333333,0.7311860967565466,0.8
original,ss_twibot20,0.705078125,0.7601292221634477,0.8440755208333334
original,ss_ukr_rus,0.7310546875,0.7654036627875433,0.8868489583333334
original,ss_ukr_rus_suspended,0.6557291666666667,0.6947389955873843,0.803515625
