predictor,spearman_with_final_core_test_score,absolute_spearman
old_mean_foreign_auc,0.7999999999999999,0.7999999999999999
feature_effective_dim,0.7999999999999999,0.7999999999999999
exact_edge_metrics_subsampled,0.7245688373094719,0.7245688373094719
degree_assortativity,0.7,0.7
largest_scc_frac,0.7,0.7
avg_clustering_approx,-0.5833333333333334,0.5833333333333334
reciprocity,0.5272012675161055,0.5272012675161055
in_degree_max,0.5166666666666667,0.5166666666666667
feature_homophily,-0.5,0.5
dirichlet_energy,0.5,0.5
n_edges,0.4666666666666666,0.4666666666666666
n_nodes,0.39999999999999997,0.39999999999999997
n_strongly_connected,0.39999999999999997,0.39999999999999997
isolated_fraction,-0.38340579025361626,0.38340579025361626
density,-0.38333333333333336,0.38333333333333336
n_weakly_connected,0.35,0.35
in_degree_mean,0.3,0.3
out_degree_mean,0.3,0.3
largest_wcc_frac,0.2833333333333333,0.2833333333333333
edge_bio_coverage,-0.2761530448893886,0.2761530448893886
feature_homophily_random,-0.21666666666666667,0.21666666666666667
feature_norm_mean,0.19999999999999998,0.19999999999999998
out_degree_gini,-0.19999999999999998,0.19999999999999998
missing_bio_rate,0.19247030401381632,0.19247030401381632
has_labels,-0.1732050807568877,0.1732050807568877
in_degree_gini,0.16666666666666669,0.16666666666666669
out_degree_max,-0.09999999999999999,0.09999999999999999
