target	n_validation_nodes	mask_replicates	mean_pairwise_error_spearman	mean_pairwise_hardest_20pct_jaccard	mean_shared_hard_lift	fraction_hard_for_all_9	fraction_hard_for_majority	fraction_hard_for_none	mean_model_error	best_single_model_mean_error	oracle_per_node_mean_error	oracle_error_reduction_vs_best_single
covid19_twitter	10000	10	0.9227356706574168	0.9881923260566298	4.970277777777777	0.1975	0.1997	0.7952	0.21856673267719906	0.21503814510430674	0.21324474954032338	0.008339895059611191
covid_political	10000	10	0.8773990533245621	0.6488332457095713	3.9145833333333337	0.0929	0.1934	0.6676	0.01710987706703729	0.013661303212412167	0.012562344372854568	0.08044319216625873
cp_hk_twitter	10000	10	0.9343579425352413	0.7674647463340022	4.337361111111111	0.0949	0.2147	0.76	0.2609560884985012	0.25610122052694206	0.25470152192362583	0.005465411685412036
election2020	10000	10	0.8981689477576738	0.649032758017126	3.918055555555555	0.0995	0.1933	0.6741	0.01681221343189051	0.011319968715269352	0.010791118117648876	0.046718379787314857
facebook_page_reference	10000	10	0.8680241669924835	0.6213902382947338	3.796249999999999	0.0824	0.1897	0.6415	0.036950067168313804	0.025272532139066606	0.024145729112741536	0.04458607551173088
midterm	10000	10	0.9274935040255254	0.9867325709536688	4.966597222222221	0.1979	0.1992	0.7945	0.21416613033711007	0.2118234984556213	0.20982530168715166	0.009433310199473799
twibot20	10000	10	0.9036950208484819	0.7729825407264754	4.350347222222222	0.1397	0.1944	0.7119	0.13593499774922124	0.1328286711049499	0.13087510457081952	0.014707416086296776
ukr_rus_suspended	8466	10	0.932841871973235	0.8600936145079703	4.62148823056304	0.1198913300259863	0.21674935034254666	0.7826600519725962	0.235404942179689	0.23249518687072496	0.230788193552337	0.007342058738347479
ukr_rus_twitter	10000	10	0.9378293089985726	0.7876990177285691	4.400694444444444	0.1281	0.211	0.7585	0.26062460016380457	0.2579312858773861	0.25594079206002646	0.007717147652673284
