target	model_a	model_b	error_spearman	hardest_20pct_jaccard	shared_hard_fraction	independent_expected_shared_hard_fraction	shared_hard_lift
covid19_twitter	ss_ukr_rus_twitter	ss_covid19_twitter	0.9903056690933351	0.9940179461615155	0.1994	0.04000000000000001	4.9849999999999985
covid19_twitter	ss_ukr_rus_twitter	ss_midterm	0.9776700645238914	0.9960079840319361	0.1996	0.04000000000000001	4.989999999999999
covid19_twitter	ss_ukr_rus_twitter	ss_covid_political	0.9365962179521923	0.9910403185664509	0.1991	0.04000000000000001	4.977499999999999
covid19_twitter	ss_ukr_rus_twitter	ss_election2020	0.890216859090035	0.9841269841269841	0.1984	0.04000000000000001	4.959999999999999
covid19_twitter	ss_ukr_rus_twitter	ss_ukr_rus_suspended	0.9737952586734271	0.9960079840319361	0.1996	0.04000000000000001	4.989999999999999
covid19_twitter	ss_ukr_rus_twitter	ss_twibot20	0.969829118163476	0.9920318725099602	0.1992	0.04000000000000001	4.979999999999999
covid19_twitter	ss_ukr_rus_twitter	ss_cp_hk_twitter	0.9563210992966427	0.9900497512437811	0.199	0.04000000000000001	4.975
covid19_twitter	ss_ukr_rus_twitter	ss_facebook_page_reference	0.8801056410793702	0.9851116625310173	0.1985	0.04000000000000001	4.9624999999999995
covid19_twitter	ss_covid19_twitter	ss_midterm	0.9762658554151173	0.9940179461615155	0.1994	0.04000000000000001	4.9849999999999985
covid19_twitter	ss_covid19_twitter	ss_covid_political	0.928167947188746	0.9900497512437811	0.199	0.04000000000000001	4.975
covid19_twitter	ss_covid19_twitter	ss_election2020	0.8803331527402761	0.9811788013868251	0.1981	0.04000000000000001	4.952499999999999
covid19_twitter	ss_covid19_twitter	ss_ukr_rus_suspended	0.9520265197170072	0.9920318725099602	0.1992	0.04000000000000001	4.979999999999999
covid19_twitter	ss_covid19_twitter	ss_twibot20	0.9637595762782558	0.9930244145490782	0.1993	0.04000000000000001	4.982499999999999
covid19_twitter	ss_covid19_twitter	ss_cp_hk_twitter	0.961996474144514	0.9900497512437811	0.199	0.04000000000000001	4.975
covid19_twitter	ss_covid19_twitter	ss_facebook_page_reference	0.8643274434548434	0.9841269841269841	0.1984	0.04000000000000001	4.959999999999999
covid19_twitter	ss_midterm	ss_covid_political	0.9525958750161337	0.9910403185664509	0.1991	0.04000000000000001	4.977499999999999
covid19_twitter	ss_midterm	ss_election2020	0.9167098854377118	0.9831432821021319	0.1983	0.04000000000000001	4.9575
covid19_twitter	ss_midterm	ss_ukr_rus_suspended	0.9535764585845015	0.9930244145490782	0.1993	0.04000000000000001	4.982499999999999
covid19_twitter	ss_midterm	ss_twibot20	0.9638198757765812	0.9940179461615155	0.1994	0.04000000000000001	4.9849999999999985
covid19_twitter	ss_midterm	ss_cp_hk_twitter	0.9604661936234131	0.9900497512437811	0.199	0.04000000000000001	4.975
covid19_twitter	ss_midterm	ss_facebook_page_reference	0.8648121086915501	0.9851116625310173	0.1985	0.04000000000000001	4.9624999999999995
covid19_twitter	ss_covid_political	ss_election2020	0.9550019471579747	0.9890601690701144	0.1989	0.04000000000000001	4.972499999999999
covid19_twitter	ss_covid_political	ss_ukr_rus_suspended	0.9323544489447412	0.9890601690701144	0.1989	0.04000000000000001	4.972499999999999
covid19_twitter	ss_covid_political	ss_twibot20	0.968305756576292	0.9940179461615155	0.1994	0.04000000000000001	4.9849999999999985
covid19_twitter	ss_covid_political	ss_cp_hk_twitter	0.8872172928437826	0.9860973187686196	0.1986	0.04000000000000001	4.964999999999999
covid19_twitter	ss_covid_political	ss_facebook_page_reference	0.8820885458637356	0.9841269841269841	0.1984	0.04000000000000001	4.959999999999999
covid19_twitter	ss_election2020	ss_ukr_rus_suspended	0.8991048378421939	0.9811788013868251	0.1981	0.04000000000000001	4.952499999999999
covid19_twitter	ss_election2020	ss_twibot20	0.9088090341382238	0.9860973187686196	0.1986	0.04000000000000001	4.964999999999999
covid19_twitter	ss_election2020	ss_cp_hk_twitter	0.8623112410468373	0.9811788013868251	0.1981	0.04000000000000001	4.952499999999999
covid19_twitter	ss_election2020	ss_facebook_page_reference	0.8326616247708619	0.9792182088075211	0.1979	0.04000000000000001	4.947499999999999
covid19_twitter	ss_ukr_rus_suspended	ss_twibot20	0.9453277875632481	0.9890601690701144	0.1989	0.04000000000000001	4.972499999999999
covid19_twitter	ss_ukr_rus_suspended	ss_cp_hk_twitter	0.9186751423980544	0.9880715705765407	0.1988	0.04000000000000001	4.969999999999999
covid19_twitter	ss_ukr_rus_suspended	ss_facebook_page_reference	0.8784381237452049	0.9821605550049554	0.1982	0.04000000000000001	4.954999999999998
covid19_twitter	ss_twibot20	ss_cp_hk_twitter	0.9105318082749163	0.9870839542970691	0.1987	0.04000000000000001	4.9674999999999985
covid19_twitter	ss_twibot20	ss_facebook_page_reference	0.9203750644849623	0.9880715705765407	0.1988	0.04000000000000001	4.969999999999999
covid19_twitter	ss_cp_hk_twitter	ss_facebook_page_reference	0.8035841940749534	0.9811788013868251	0.1981	0.04000000000000001	4.952499999999999
covid_political	ss_ukr_rus_twitter	ss_covid19_twitter	0.9820319943641044	0.8544274455261938	0.1843	0.04000000000000001	4.607499999999999
covid_political	ss_ukr_rus_twitter	ss_midterm	0.9300516185568374	0.7513134851138353	0.1716	0.04000000000000001	4.289999999999999
covid_political	ss_ukr_rus_twitter	ss_covid_political	0.871906203799372	0.6576875259013676	0.1587	0.04000000000000001	3.9674999999999994
covid_political	ss_ukr_rus_twitter	ss_election2020	0.7446248547256518	0.5594541910331384	0.1435	0.04000000000000001	3.587499999999999
covid_political	ss_ukr_rus_twitter	ss_ukr_rus_suspended	0.925446610219124	0.7233950883239982	0.1679	0.04000000000000001	4.197499999999999
covid_political	ss_ukr_rus_twitter	ss_twibot20	0.9276947209676457	0.7189514396218307	0.1673	0.04000000000000001	4.182499999999999
covid_political	ss_ukr_rus_twitter	ss_cp_hk_twitter	0.9524691021826928	0.7644464049404499	0.1733	0.04000000000000001	4.3325
covid_political	ss_ukr_rus_twitter	ss_facebook_page_reference	0.8157584962491631	0.5290519877675841	0.1384	0.04000000000000001	3.459999999999999
covid_political	ss_covid19_twitter	ss_midterm	0.9330136429373326	0.7429193899782135	0.1705	0.04000000000000001	4.262499999999999
covid_political	ss_covid19_twitter	ss_covid_political	0.8891417372174195	0.659062629614268	0.1589	0.04000000000000001	3.9724999999999997
covid_political	ss_covid19_twitter	ss_election2020	0.7606524555870885	0.5570260801868431	0.1431	0.04000000000000001	3.5774999999999992
