model_id,checkpoint_nm,checkpoint_sha256_nm,checkpoint_step_nm,training_revision_nm,sources_nm,training_seed_nm,checkpoint_cls,checkpoint_sha256_cls,checkpoint_step_cls,training_revision_cls,sources_cls,training_seed_cls
paper_mech_mix_p000_step10000_s0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0
paper_mech_mix_p000_step10000_s1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_10000.ckpt,93229f098150ecd1533201641fde3924a49a776e53fd89591263d791bb46a5fe,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_10000.ckpt,93229f098150ecd1533201641fde3924a49a776e53fd89591263d791bb46a5fe,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1
paper_mech_mix_p000_step10000_s2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_10000.ckpt,c94c4cd24208ca323ff6310c7e94bec078c44fbc46cc63df9db28bae9c27876d,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_10000.ckpt,c94c4cd24208ca323ff6310c7e94bec078c44fbc46cc63df9db28bae9c27876d,10000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2
paper_mech_mix_p000_step2000_s0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0
paper_mech_mix_p000_step2000_s1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1
paper_mech_mix_p000_step2000_s2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_2000.ckpt,9eff3d38fac0de740550c00e4e5248cf77cd186d7be45739cbe985dff632b276,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_2000.ckpt,9eff3d38fac0de740550c00e4e5248cf77cd186d7be45739cbe985dff632b276,2000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2
paper_mech_mix_p000_step4000_s0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_4000.ckpt,a7901ef7b767d11a6726cb66dad86e4f4a35b0ea5d69339f018a8cf1d5a56ab9,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_4000.ckpt,a7901ef7b767d11a6726cb66dad86e4f4a35b0ea5d69339f018a8cf1d5a56ab9,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0
paper_mech_mix_p000_step4000_s1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_4000.ckpt,f287e366d2e03635a3534ee8199b346a72c782d09ba5436a08ca7261c7032ca4,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_4000.ckpt,f287e366d2e03635a3534ee8199b346a72c782d09ba5436a08ca7261c7032ca4,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1
paper_mech_mix_p000_step4000_s2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_4000.ckpt,be0396defb7b2de7a97192f318da348d96b24d7c096ba05b7e2cc17dd5fd4246,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s2_20260908_081721_012/checkpoint/state_dict_4000.ckpt,be0396defb7b2de7a97192f318da348d96b24d7c096ba05b7e2cc17dd5fd4246,4000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2
paper_mech_mix_p000_step6000_s0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_6000.ckpt,b856d61cf248081c360bd2c12afb863b116f71b2b618533106be3970b474c22d,6000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_6000.ckpt,b856d61cf248081c360bd2c12afb863b116f71b2b618533106be3970b474c22d,6000,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",0
