task,training_seed,dataset,roc_auc_challenger,roc_auc_reference,challenger,reference,delta
nm,0,covid,0.9537626356914124,0.9485170513734048,mix_p010,mix_p000,0.00524558431800759
nm,0,covid_political,0.8406583684614335,0.8248021745133673,mix_p010,mix_p000,0.015856193948066144
nm,0,cp_hk,0.7276758315919459,0.7077394496435405,mix_p010,mix_p000,0.019936381948405413
nm,0,election2020,0.8434472895216668,0.8427322028697223,mix_p010,mix_p000,0.0007150866519445298
nm,0,facebook_page_reference,0.8658784927992986,0.8540772468194195,mix_p010,mix_p000,0.011801245979879083
nm,0,midterm,0.8596541343064144,0.8463518907283913,mix_p010,mix_p000,0.01330224357802301
nm,0,twibot20,0.9046965540140524,0.8997305820728171,mix_p010,mix_p000,0.00496597194123527
nm,0,ukr_rus,0.8990959229140445,0.8945761265425847,mix_p010,mix_p000,0.004519796371459828
nm,0,ukr_rus_suspended,0.8792280898697074,0.8791836179535965,mix_p010,mix_p000,4.4471916110899734e-05
nm,1,covid,0.9543485022139275,0.9537043470075762,mix_p010,mix_p000,0.0006441552063513045
nm,1,covid_political,0.8278829893846623,0.8560132313048701,mix_p010,mix_p000,-0.028130241920207744
nm,1,cp_hk,0.722547293120417,0.7146759880000148,mix_p010,mix_p000,0.007871305120402239
nm,1,election2020,0.8443279363643165,0.8452364785917875,mix_p010,mix_p000,-0.0009085422274710542
nm,1,facebook_page_reference,0.8526435884936102,0.8591737379972965,mix_p010,mix_p000,-0.0065301495036862445
nm,1,midterm,0.8568591783786643,0.8568117215715605,mix_p010,mix_p000,4.745680710382949e-05
nm,1,twibot20,0.9014660717427045,0.9005168688708338,mix_p010,mix_p000,0.0009492028718707246
nm,1,ukr_rus,0.8968894145954615,0.8954299085441677,mix_p010,mix_p000,0.0014595060512937463
nm,1,ukr_rus_suspended,0.8865829044374927,0.8901001012188264,mix_p010,mix_p000,-0.0035171967813337757
nm,2,covid,0.9542620545146109,0.9565401789785801,mix_p010,mix_p000,-0.0022781244639692444
nm,2,covid_political,0.8405646932536158,0.8476910907646705,mix_p010,mix_p000,-0.007126397511054705
nm,2,cp_hk,0.7127880141652864,0.7144652261131111,mix_p010,mix_p000,-0.001677211947824775
nm,2,election2020,0.8417081276575724,0.8446451206316894,mix_p010,mix_p000,-0.002936992974116981
nm,2,facebook_page_reference,0.8763846313816376,0.8653354167938232,mix_p010,mix_p000,0.011049214587814382
nm,2,midterm,0.8560251526448919,0.8577681503076663,mix_p010,mix_p000,-0.0017429976627744148
nm,2,twibot20,0.9014794037259857,0.9051896061020336,mix_p010,mix_p000,-0.003710202376047911
nm,2,ukr_rus,0.9058874367297381,0.9009854138582601,mix_p010,mix_p000,0.004902022871478007
nm,2,ukr_rus_suspended,0.8863180285212638,0.8896042759391084,mix_p010,mix_p000,-0.0032862474178445567
classification,0,covid_political,0.9044746116355614,0.9049662837275751,mix_p010,mix_p000,-0.0004916720920137285
classification,0,election2020,0.9852294921875,0.9901123046875,mix_p010,mix_p000,-0.0048828125
classification,0,facebook_page_reference,0.7796211242675781,0.7807769775390625,mix_p010,mix_p000,-0.001155853271484375
classification,0,twibot20,0.6517475975884333,0.6078959570990669,mix_p010,mix_p000,0.043851640489366406
classification,0,ukr_rus_suspended,0.504638671875,0.5252685546875,mix_p010,mix_p000,-0.0206298828125
classification,1,covid_political,0.9023872658058448,0.9374937834563078,mix_p010,mix_p000,-0.03510651765046302
classification,1,election2020,0.982513427734375,0.98797607421875,mix_p010,mix_p000,-0.005462646484375
classification,1,facebook_page_reference,0.7880439758300781,0.780792236328125,mix_p010,mix_p000,0.007251739501953125
classification,1,twibot20,0.6164875030517578,0.6245155334472656,mix_p010,mix_p000,-0.008028030395507812
classification,1,ukr_rus_suspended,0.5047607421875,0.50872802734375,mix_p010,mix_p000,-0.00396728515625
classification,2,covid_political,0.9131045871310765,0.9357590851960358,mix_p010,mix_p000,-0.02265449806495934
classification,2,election2020,0.98663330078125,0.99041748046875,mix_p010,mix_p000,-0.0037841796875
classification,2,facebook_page_reference,0.7782783508300781,0.7879409790039062,mix_p010,mix_p000,-0.009662628173828125
classification,2,twibot20,0.6405834621853299,0.647330813937717,mix_p010,mix_p000,-0.006747351752387054
classification,2,ukr_rus_suspended,0.49896240234375,0.4464111328125,mix_p010,mix_p000,0.05255126953125
nm,0,covid,0.9493501744051088,0.9485170513734048,mix_p025,mix_p000,0.0008331230317040195
nm,0,covid_political,0.8419618392812792,0.8248021745133673,mix_p025,mix_p000,0.017159664767911864
nm,0,cp_hk,0.7213755247236667,0.7077394496435405,mix_p025,mix_p000,0.013636075080126209
nm,0,election2020,0.8411346092991445,0.8427322028697223,mix_p025,mix_p000,-0.00159759357057776
nm,0,facebook_page_reference,0.8652604256553214,0.8540772468194195,mix_p025,mix_p000,0.011183178835901808
nm,0,midterm,0.8587466031655496,0.8463518907283913,mix_p025,mix_p000,0.012394712437158284
nm,0,twibot20,0.9018533991671158,0.8997305820728171,mix_p025,mix_p000,0.0021228170942987346
nm,0,ukr_rus,0.8964325784266681,0.8945761265425847,mix_p025,mix_p000,0.0018564518840834543
nm,0,ukr_rus_suspended,0.8750112935044299,0.8791836179535965,mix_p025,mix_p000,-0.004172324449166598
nm,1,covid,0.9544688009667671,0.9537043470075762,mix_p025,mix_p000,0.0007644539591908917
nm,1,covid_political,0.8407653946986144,0.8560132313048701,mix_p025,mix_p000,-0.015247836606255616
nm,1,cp_hk,0.7254215055498583,0.7146759880000148,mix_p025,mix_p000,0.010745517549843542
nm,1,election2020,0.8456413240268313,0.8452364785917875,mix_p025,mix_p000,0.0004048454350438213
nm,1,facebook_page_reference,0.8597817397665704,0.8591737379972965,mix_p025,mix_p000,0.0006080017692738915
nm,1,midterm,0.8687997176729401,0.8568117215715605,mix_p025,mix_p000,0.011987996101379572
nm,1,twibot20,0.9024407537504173,0.9005168688708338,mix_p025,mix_p000,0.001923884879583504
nm,1,ukr_rus,0.8931896612561981,0.8954299085441677,mix_p025,mix_p000,-0.0022402472879695656
nm,1,ukr_rus_suspended,0.8881160666202678,0.8901001012188264,mix_p025,mix_p000,-0.0019840345985586705
nm,2,covid,0.9504102634287428,0.9565401789785801,mix_p025,mix_p000,-0.006129915549837328
nm,2,covid_political,0.8369534671991722,0.8476910907646705,mix_p025,mix_p000,-0.010737623565498344
nm,2,cp_hk,0.7134509788162408,0.7144652261131111,mix_p025,mix_p000,-0.0010142472968703853
nm,2,election2020,0.8441357172768693,0.8446451206316894,mix_p025,mix_p000,-0.0005094033548200816
nm,2,facebook_page_reference,0.8584111823432747,0.8653354167938232,mix_p025,mix_p000,-0.006924234450548461
nm,2,midterm,0.8599778753587569,0.8577681503076663,mix_p025,mix_p000,0.0022097250510906274
nm,2,twibot20,0.900418282514331,0.9051896061020336,mix_p025,mix_p000,-0.004771323587702603
nm,2,ukr_rus,0.8937924897533723,0.9009854138582601,mix_p025,mix_p000,-0.00719292410488781
nm,2,ukr_rus_suspended,0.8799287375362439,0.8896042759391084,mix_p025,mix_p000,-0.009675538402864503
classification,0,covid_political,0.9261302241572628,0.9049662837275751,mix_p025,mix_p000,0.02116394042968761
classification,0,election2020,0.98699951171875,0.9901123046875,mix_p025,mix_p000,-0.00311279296875
classification,0,facebook_page_reference,0.7691268920898438,0.7807769775390625,mix_p025,mix_p000,-0.01165008544921875
classification,0,twibot20,0.6328553093804253,0.6078959570990669,mix_p025,mix_p000,0.024959352281358482
classification,0,ukr_rus_suspended,0.4935302734375,0.5252685546875,mix_p025,mix_p000,-0.03173828125
classification,1,covid_political,0.9143778483072916,0.9374937834563078,mix_p025,mix_p000,-0.02311593514901622
classification,1,election2020,0.989990234375,0.98797607421875,mix_p025,mix_p000,0.00201416015625
classification,1,facebook_page_reference,0.7979164123535156,0.780792236328125,mix_p025,mix_p000,0.017124176025390625
classification,1,twibot20,0.653048621283637,0.6245155334472656,mix_p025,mix_p000,0.02853308783637143
classification,1,ukr_rus_suspended,0.519287109375,0.50872802734375,mix_p025,mix_p000,0.01055908203125
classification,2,covid_political,0.9128570556640624,0.9357590851960358,mix_p025,mix_p000,-0.0229020295319734
classification,2,election2020,0.9884033203125,0.99041748046875,mix_p025,mix_p000,-0.00201416015625
classification,2,facebook_page_reference,0.79327392578125,0.7879409790039062,mix_p025,mix_p000,0.00533294677734375
classification,2,twibot20,0.6355355580647786,0.647330813937717,mix_p025,mix_p000,-0.011795255872938393
classification,2,ukr_rus_suspended,0.4932861328125,0.4464111328125,mix_p025,mix_p000,0.046875
nm,0,covid,0.957067066910623,0.9485170513734048,mix_p050,mix_p000,0.008550015537218236
nm,0,covid_political,0.8469569522759011,0.8248021745133673,mix_p050,mix_p000,0.022154777762533717
nm,0,cp_hk,0.7319174371916671,0.7077394496435405,mix_p050,mix_p000,0.02417798754812661
nm,0,election2020,0.8443541922788511,0.8427322028697223,mix_p050,mix_p000,0.0016219894091288323
nm,0,facebook_page_reference,0.8686620905481537,0.8540772468194195,mix_p050,mix_p000,0.014584843728734143
nm,0,midterm,0.8698211038249664,0.8463518907283913,mix_p050,mix_p000,0.023469213096575015
nm,0,twibot20,0.9038169925240265,0.8997305820728171,mix_p050,mix_p000,0.004086410451209388
nm,0,ukr_rus,0.9048097965361058,0.8945761265425847,mix_p050,mix_p000,0.010233669993521155
nm,0,ukr_rus_suspended,0.8988512617418135,0.8791836179535965,mix_p050,mix_p000,0.01966764378821706
nm,1,covid,0.9554482325740244,0.9537043470075762,mix_p050,mix_p000,0.0017438855664482222
nm,1,covid_political,0.8343082167636389,0.8560132313048701,mix_p050,mix_p000,-0.021705014541231193
nm,1,cp_hk,0.7289025627333543,0.7146759880000148,mix_p050,mix_p000,0.014226574733339548
nm,1,election2020,0.8452216025056509,0.8452364785917875,mix_p050,mix_p000,-1.4876086136594857e-05
nm,1,facebook_page_reference,0.8709414543776677,0.8591737379972965,mix_p050,mix_p000,0.011767716380371218
nm,1,midterm,0.8706212250665685,0.8568117215715605,mix_p050,mix_p000,0.01380950349500798
nm,1,twibot20,0.9030270842300065,0.9005168688708338,mix_p050,mix_p000,0.0025102153591727294
nm,1,ukr_rus,0.8992008050282796,0.8954299085441677,mix_p050,mix_p000,0.0037708964841118853
nm,1,ukr_rus_suspended,0.8902762821350974,0.8901001012188264,mix_p050,mix_p000,0.00017618091627091825
nm,2,covid,0.9523124568763819,0.9565401789785801,mix_p050,mix_p000,-0.004227722102198239
nm,2,covid_political,0.821290069338919,0.8476910907646705,mix_p050,mix_p000,-0.026401021425751514
nm,2,cp_hk,0.7203242896617144,0.7144652261131111,mix_p050,mix_p000,0.005859063548603216
nm,2,election2020,0.8429533577513421,0.8446451206316894,mix_p050,mix_p000,-0.0016917628803473361
nm,2,facebook_page_reference,0.864812034162982,0.8653354167938232,mix_p050,mix_p000,-0.0005233826308411738
nm,2,midterm,0.8654546797960655,0.8577681503076663,mix_p050,mix_p000,0.0076865294883992075
nm,2,twibot20,0.9014026100608127,0.9051896061020336,mix_p050,mix_p000,-0.0037869960412209025
nm,2,ukr_rus,0.8996017482088898,0.9009854138582601,mix_p050,mix_p000,-0.0013836656493703137
nm,2,ukr_rus_suspended,0.8973167194717232,0.8896042759391084,mix_p050,mix_p000,0.007712443532614799
classification,0,covid_political,0.9104156494140624,0.9049662837275751,mix_p050,mix_p000,0.00544936568648724
classification,0,election2020,0.9888916015625,0.9901123046875,mix_p050,mix_p000,-0.001220703125
classification,0,facebook_page_reference,0.7485694885253906,0.7807769775390625,mix_p050,mix_p000,-0.032207489013671875
classification,0,twibot20,0.6402422587076824,0.6078959570990669,mix_p050,mix_p000,0.03234630160861551
classification,0,ukr_rus_suspended,0.51470947265625,0.5252685546875,mix_p050,mix_p000,-0.01055908203125
classification,1,covid_political,0.8957409328884549,0.9374937834563078,mix_p050,mix_p000,-0.04175285056785294
classification,1,election2020,0.9930419921875,0.98797607421875,mix_p050,mix_p000,0.00506591796875
classification,1,facebook_page_reference,0.7591438293457031,0.780792236328125,mix_p050,mix_p000,-0.021648406982421875
classification,1,twibot20,0.608870612250434,0.6245155334472656,mix_p050,mix_p000,-0.015644921196831585
classification,1,ukr_rus_suspended,0.52252197265625,0.50872802734375,mix_p050,mix_p000,0.0137939453125
classification,2,covid_political,0.8895842940719039,0.9357590851960358,mix_p050,mix_p000,-0.04617479112413192
classification,2,election2020,0.99029541015625,0.99041748046875,mix_p050,mix_p000,-0.0001220703125
classification,2,facebook_page_reference,0.7709121704101562,0.7879409790039062,mix_p050,mix_p000,-0.01702880859375
classification,2,twibot20,0.6380367279052734,0.647330813937717,mix_p050,mix_p000,-0.009294086032443527
classification,2,ukr_rus_suspended,0.49945068359375,0.4464111328125,mix_p050,mix_p000,0.05303955078125
nm,0,covid,0.9528973451976117,0.9485170513734048,mix_p100,mix_p000,0.0043802938242069045
nm,0,covid_political,0.8532094210043721,0.8248021745133673,mix_p100,mix_p000,0.02840724649100479
nm,0,cp_hk,0.7404936934339587,0.7077394496435405,mix_p100,mix_p000,0.032754243790418136
nm,0,election2020,0.8468789799460048,0.8427322028697223,mix_p100,mix_p000,0.004146777076282526
nm,0,facebook_page_reference,0.871984295735414,0.8540772468194195,mix_p100,mix_p000,0.017907048915994483
nm,0,midterm,0.8696275649399593,0.8463518907283913,mix_p100,mix_p000,0.023275674211567954
nm,0,twibot20,0.8994733911821211,0.8997305820728171,mix_p100,mix_p000,-0.00025719089069597967
nm,0,ukr_rus,0.9003602318380071,0.8945761265425847,mix_p100,mix_p000,0.005784105295422393
nm,0,ukr_rus_suspended,0.8955940697384975,0.8791836179535965,mix_p100,mix_p000,0.01641045178490108
nm,1,covid,0.953634563396717,0.9537043470075762,mix_p100,mix_p000,-6.97836108591865e-05
nm,1,covid_political,0.8386262904638533,0.8560132313048701,mix_p100,mix_p000,-0.017386940841016774
nm,1,cp_hk,0.742666645433711,0.7146759880000148,mix_p100,mix_p000,0.02799065743369622
nm,1,election2020,0.8466507115583309,0.8452364785917875,mix_p100,mix_p000,0.0014142329665434161
nm,1,facebook_page_reference,0.8652152484860913,0.8591737379972965,mix_p100,mix_p000,0.006041510488794866
nm,1,midterm,0.870810186314857,0.8568117215715605,mix_p100,mix_p000,0.013998464743296468
nm,1,twibot20,0.9014637738808816,0.9005168688708338,mix_p100,mix_p000,0.0009469050100477938
nm,1,ukr_rus,0.9047287836842153,0.8954299085441677,mix_p100,mix_p000,0.009298875140047569
nm,1,ukr_rus_suspended,0.8953380525797263,0.8901001012188264,mix_p100,mix_p000,0.005237951360899884
nm,2,covid,0.9526317495039139,0.9565401789785801,mix_p100,mix_p000,-0.003908429474666186
nm,2,covid_political,0.845322079631104,0.8476910907646705,mix_p100,mix_p000,-0.0023690111335665787
