task,arm,cross_graph_prob,emb_dim,checkpoint_step,mean,min,max
classification,mix_p000,0.0,256,2000,0.7629057848895037,0.7588015662299261,0.7659213595920139
classification,mix_p000,0.0,256,4000,0.7700605698573737,0.7636146121554905,0.77481241579409
classification,mix_p000,0.0,256,6000,0.7693125924946349,0.7614473130967883,0.7840281875045211
classification,mix_p000,0.0,256,8000,0.7693785679193191,0.7640573572229455,0.7750633381031178
classification,mix_p000,0.0,256,10000,0.7637590149302541,0.7615718982837818,0.7679011309588397
classification,mix_p010,0.1,256,2000,0.7695228529565128,0.7657383247658058,0.7742644557246455
classification,mix_p010,0.1,256,4000,0.7644260689064307,0.7631432568585431,0.7656965891520182
classification,mix_p010,0.1,256,6000,0.7589160636619287,0.7583104310212312,0.7592697002269604
classification,mix_p010,0.1,256,8000,0.7625543712097921,0.7559173725269459,0.7700036508065683
classification,mix_p010,0.1,256,10000,0.7624977676956742,0.7588385829219112,0.7651422995108146
classification,mix_p025,0.25,256,2000,0.7622159510482976,0.7567449640344691,0.7671081401683665
classification,mix_p025,0.25,256,4000,0.7672328195454162,0.7627037613480179,0.7749751620822483
classification,mix_p025,0.25,256,6000,0.759160402086046,0.7534388506854022,0.7640204818160445
classification,mix_p025,0.25,256,8000,0.7678585664725598,0.7597562860559535,0.775613205521195
classification,mix_p025,0.25,256,10000,0.7671078952742212,0.7617284421567564,0.7749240451388888
classification,mix_p050,0.5,256,2000,0.7577578791865597,0.7522465176052517,0.7614665137396919
classification,mix_p050,0.5,256,4000,0.7660356074203679,0.7584003448486328,0.7709421934904875
classification,mix_p050,0.5,256,6000,0.771370334389769,0.7680365244547527,0.7756765294958043
classification,mix_p050,0.5,256,8000,0.7662157788688754,0.7627354939778646,0.7687268575032553
classification,mix_p050,0.5,256,10000,0.7580284730887707,0.7558638678656684,0.7605656941731771
classification,mix_p100,1.0,256,2000,0.7663144712094908,0.7652515693947122,0.7670080255579066
classification,mix_p100,1.0,256,4000,0.7687758127848308,0.7634628578468605,0.7729533301459418
classification,mix_p100,1.0,256,6000,0.7702652260109231,0.762044949001736,0.7746695341887297
classification,mix_p100,1.0,256,8000,0.7643857791100018,0.7524334377712674,0.7755534419307002
classification,mix_p100,1.0,256,10000,0.7626908761483652,0.7588967923764829,0.7679047195999711
nm,mix_p000,0.0,256,2000,0.8566006346122413,0.8537427742971466,0.858272962201753
nm,mix_p000,0.0,256,4000,0.8621408498759165,0.8606793234174736,0.8647537265396362
nm,mix_p000,0.0,256,6000,0.8625316539435958,0.8608769069229506,0.864188938487992
nm,mix_p000,0.0,256,8000,0.8639519634628458,0.8615337971069803,0.8678885245079586
nm,mix_p000,0.0,256,10000,0.8611702668560267,0.8553011491685383,0.8646916088321048
nm,mix_p010,0.1,256,2000,0.8506668193028704,0.8467023006496454,0.8550945188046111
nm,mix_p010,0.1,256,4000,0.859489820175041,0.8589338707893439,0.85988466523464
nm,mix_p010,0.1,256,6000,0.8606372073032644,0.8594027578145608,0.8626955630983277
nm,mix_p010,0.1,256,8000,0.8621093503055596,0.8601306130755145,0.8632591291405688
nm,mix_p010,0.1,256,10000,0.8627060274257717,0.8603942087479174,0.8639352825105114
nm,mix_p025,0.25,256,2000,0.8516444097229042,0.8504880409131105,0.8534062985563948
nm,mix_p025,0.25,256,4000,0.8587353092551281,0.8578965822551138,0.8593058150694592
nm,mix_p025,0.25,256,6000,0.860961219436212,0.85843098417857,0.863366729591998
nm,mix_p025,0.25,256,8000,0.8609038876949243,0.8595645269823866,0.8628651734208391
nm,mix_p025,0.25,256,10000,0.8617492743023613,0.8597198882474449,0.8642916627009405
nm,mix_p050,0.5,256,2000,0.855711797974677,0.8542129980193244,0.8567769480086531
nm,mix_p050,0.5,256,4000,0.8614249003344568,0.8570478995184332,0.8647448947298725
nm,mix_p050,0.5,256,6000,0.8653636191945829,0.863741438705498,0.8663490907138031
nm,mix_p050,0.5,256,8000,0.8652559046696582,0.8624501631786692,0.8680513761813918
nm,mix_p050,0.5,256,10000,0.8662841601694528,0.8628297739254256,0.8695840993146786
nm,mix_p100,1.0,256,2000,0.8582876483903839,0.8579584837416578,0.8589115976982798
nm,mix_p100,1.0,256,4000,0.8640333288118859,0.8604531686272505,0.8661200094801561
nm,mix_p100,1.0,256,6000,0.8674175176736192,0.8670704508954385,0.8679726368470515
nm,mix_p100,1.0,256,8000,0.8670852544613217,0.8650419888520758,0.8694121074859209
nm,mix_p100,1.0,256,10000,0.8688781699052309,0.8677841487363228,0.8700576658906607
nm,wide_p000,0.0,512,2000,0.8518946954675206,0.850264818595287,0.8544264140256977
nm,wide_p000,0.0,512,4000,0.8572340836317908,0.85196684707018,0.8628433076662427
nm,wide_p000,0.0,512,6000,0.8606773400570596,0.8591185468519024,0.8616525721580437
nm,wide_p000,0.0,512,8000,0.8634188403520954,0.8622116727086014,0.8651039767691611
nm,wide_p000,0.0,512,10000,0.865636110118015,0.8654394189059963,0.865824738331377
