task,arm,cross_graph_prob,emb_dim,checkpoint_step,training_seed,roc_auc
classification,mix_p000,0.0,256,2000,0,0.7588015662299261
classification,mix_p000,0.0,256,2000,1,0.7639944288465712
classification,mix_p000,0.0,256,2000,2,0.7659213595920139
classification,mix_p000,0.0,256,4000,0,0.77481241579409
classification,mix_p000,0.0,256,4000,1,0.7717546816225405
classification,mix_p000,0.0,256,4000,2,0.7636146121554905
classification,mix_p000,0.0,256,6000,0,0.7624622768825955
classification,mix_p000,0.0,256,6000,1,0.7840281875045211
classification,mix_p000,0.0,256,6000,2,0.7614473130967883
classification,mix_p000,0.0,256,8000,0,0.7690150084318939
classification,mix_p000,0.0,256,8000,1,0.7750633381031178
classification,mix_p000,0.0,256,8000,2,0.7640573572229455
classification,mix_p000,0.0,256,10000,0,0.7618040155481409
classification,mix_p000,0.0,256,10000,1,0.7679011309588397
classification,mix_p000,0.0,256,10000,2,0.7615718982837818
classification,mix_p010,0.1,256,2000,0,0.7742644557246455
classification,mix_p010,0.1,256,2000,1,0.7657383247658058
classification,mix_p010,0.1,256,2000,2,0.7685657783790871
classification,mix_p010,0.1,256,4000,0,0.7644383607087312
classification,mix_p010,0.1,256,4000,1,0.7631432568585431
classification,mix_p010,0.1,256,4000,2,0.7656965891520182
classification,mix_p010,0.1,256,6000,0,0.759168059737594
classification,mix_p010,0.1,256,6000,1,0.7583104310212312
classification,mix_p010,0.1,256,6000,2,0.7592697002269604
classification,mix_p010,0.1,256,8000,0,0.7617420902958623
classification,mix_p010,0.1,256,8000,1,0.7559173725269459
classification,mix_p010,0.1,256,8000,2,0.7700036508065683
classification,mix_p010,0.1,256,10000,0,0.7651422995108146
classification,mix_p010,0.1,256,10000,1,0.7588385829219112
classification,mix_p010,0.1,256,10000,2,0.7635124206542969
classification,mix_p025,0.25,256,2000,0,0.7671081401683665
classification,mix_p025,0.25,256,2000,1,0.7567449640344691
classification,mix_p025,0.25,256,2000,2,0.7627947489420572
classification,mix_p025,0.25,256,4000,0,0.7627037613480179
classification,mix_p025,0.25,256,4000,1,0.7749751620822483
classification,mix_p025,0.25,256,4000,2,0.7640195352059823
classification,mix_p025,0.25,256,6000,0,0.7600218737566913
classification,mix_p025,0.25,256,6000,1,0.7640204818160445
classification,mix_p025,0.25,256,6000,2,0.7534388506854022
classification,mix_p025,0.25,256,8000,0,0.768206207840531
classification,mix_p025,0.25,256,8000,1,0.7597562860559535
classification,mix_p025,0.25,256,8000,2,0.775613205521195
classification,mix_p025,0.25,256,10000,0,0.7617284421567564
classification,mix_p025,0.25,256,10000,1,0.7749240451388888
classification,mix_p025,0.25,256,10000,2,0.7646711985270181
classification,mix_p050,0.5,256,2000,0,0.7595606062147352
classification,mix_p050,0.5,256,2000,1,0.7614665137396919
classification,mix_p050,0.5,256,2000,2,0.7522465176052517
classification,mix_p050,0.5,256,4000,0,0.7687642839219835
classification,mix_p050,0.5,256,4000,1,0.7709421934904875
classification,mix_p050,0.5,256,4000,2,0.7584003448486328
classification,mix_p050,0.5,256,6000,0,0.7756765294958043
classification,mix_p050,0.5,256,6000,1,0.77039794921875
classification,mix_p050,0.5,256,6000,2,0.7680365244547527
classification,mix_p050,0.5,256,8000,0,0.7687268575032553
classification,mix_p050,0.5,256,8000,1,0.7627354939778646
classification,mix_p050,0.5,256,8000,2,0.7671849851255064
classification,mix_p050,0.5,256,10000,0,0.7605656941731771
classification,mix_p050,0.5,256,10000,1,0.7558638678656684
classification,mix_p050,0.5,256,10000,2,0.7576558572274668
classification,mix_p100,1.0,256,2000,0,0.7666838186758536
classification,mix_p100,1.0,256,2000,1,0.7670080255579066
classification,mix_p100,1.0,256,2000,2,0.7652515693947122
classification,mix_p100,1.0,256,4000,0,0.7634628578468605
classification,mix_p100,1.0,256,4000,1,0.7729533301459418
classification,mix_p100,1.0,256,4000,2,0.7699112503616898
classification,mix_p100,1.0,256,6000,0,0.762044949001736
classification,mix_p100,1.0,256,6000,1,0.7740811948423032
classification,mix_p100,1.0,256,6000,2,0.7746695341887297
classification,mix_p100,1.0,256,8000,0,0.7755534419307002
classification,mix_p100,1.0,256,8000,1,0.7524334377712674
classification,mix_p100,1.0,256,8000,2,0.7651704576280383
classification,mix_p100,1.0,256,10000,0,0.7679047195999711
classification,mix_p100,1.0,256,10000,1,0.7612711164686414
classification,mix_p100,1.0,256,10000,2,0.7588967923764829
nm,mix_p000,0.0,256,2000,0,0.8537427742971466
nm,mix_p000,0.0,256,2000,1,0.858272962201753
nm,mix_p000,0.0,256,2000,2,0.8577861673378244
nm,mix_p000,0.0,256,4000,0,0.8606793234174736
nm,mix_p000,0.0,256,4000,1,0.8609894996706401
nm,mix_p000,0.0,256,4000,2,0.8647537265396362
nm,mix_p000,0.0,256,6000,0,0.864188938487992
nm,mix_p000,0.0,256,6000,1,0.8608769069229506
nm,mix_p000,0.0,256,6000,2,0.8625291164198445
nm,mix_p000,0.0,256,8000,0,0.8615337971069803
nm,mix_p000,0.0,256,8000,1,0.8678885245079586
nm,mix_p000,0.0,256,8000,2,0.8624335687735984
nm,mix_p000,0.0,256,10000,0,0.8553011491685383
nm,mix_p000,0.0,256,10000,1,0.8635180425674371
nm,mix_p000,0.0,256,10000,2,0.8646916088321048
nm,mix_p010,0.1,256,2000,0,0.8550945188046111
nm,mix_p010,0.1,256,2000,1,0.8467023006496454
nm,mix_p010,0.1,256,2000,2,0.8502036384543544
nm,mix_p010,0.1,256,4000,0,0.85988466523464
nm,mix_p010,0.1,256,4000,1,0.8589338707893439
nm,mix_p010,0.1,256,4000,2,0.8596509245011389
nm,mix_p010,0.1,256,6000,0,0.8594027578145608
nm,mix_p010,0.1,256,6000,1,0.8626955630983277
nm,mix_p010,0.1,256,6000,2,0.8598133009969047
nm,mix_p010,0.1,256,8000,0,0.8632591291405688
nm,mix_p010,0.1,256,8000,1,0.8629383087005956
