protocol,model_id,family,arm,seed,dataset,sources,checkpoint,checkpoint_step,checkpoint_sha256,training_revision,training_exp_name,training_config,evaluation_revision,fingerprint,invocation_id,roc_auc,accuracy,loss,episodes,seconds,task,training_seed,cross_graph_prob,emb_dim
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,covid,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,a506c72e8441291488a86de3b57decb68e69aad337455c533fa443d31c991a2d,1788923250631045979_1909668,0.9485170513734048,0.5274088541666667,1.6940924901282415,512,16.7479465007782,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,80ff3be516bcf9fbf3765b171391e11c2774f216c2dc1f9229730bb14c6a9430,1788923250631045979_1909668,0.8248021745133673,0.16502278645833332,3.2757448949851096,512,8.834289073944092,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,4278f7c2844ec542d84faf69d80ce4fd71b19ea034cc5f19e587646af6f8c3f1,1788923250631045979_1909668,0.7077394496435405,0.111962890625,3.184244655072689,512,15.828668117523193,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,election2020,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,9e6666da8f62d35b8f64a93892644fac7f3e118ed06f9a35f0f92cb62b165194,1788923250631045979_1909668,0.8427322028697223,0.15203450520833334,2.543884674087167,512,18.976500749588013,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,facebook_page_reference,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,2b2147b016aa8bcdfcced44d992756567bcbe4a0f6a41126e6c9ec72d69b5c60,1788923250631045979_1909668,0.8540772468194195,0.30929361979166664,3.31257545738481,512,5.666715383529663,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,midterm,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,d73156bc7f6f84b398accbb21acf038e3e6178e1692c34abb3a03ac1c363ad39,1788923250631045979_1909668,0.8463518907283913,0.22254231770833333,2.984480606392026,512,12.061271667480469,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,d942b5c2f89723cb8461531e7a9b4e584607bd0b29d424149521619cbdf422f2,1788923250631045979_1909668,0.8997305820728171,0.2923665364583333,2.218488986371085,512,18.1766414642334,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,ukr_rus,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,7f6d097f7cd770b4fd740f9bdd1f27513c6cfcc14080370c271e1577d84b9991,1788923250631045979_1909668,0.8945761265425847,0.38357747395833336,2.1885502440854907,512,17.6380512714386,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s0,paper_mechanism,mix_p000,0,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_10000.ckpt,10000,0424029b302f7cd45677454874fe28691897d3e2000cb5843c70e77567554bfb,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s0_20260908_081721_000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,ce75f3dd7de99f8703ec3c9f26b92a2680172c76f7d488490cac90f3c549b090,1788923250631045979_1909668,0.8791836179535965,0.27044270833333334,2.6389296990819275,512,8.151143550872803,nm,0,0.0,256
paper_mechanism_fixed_nm_v1,paper_mech_mix_p000_step10000_s1,paper_mechanism,mix_p000,1,covid,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_10000.ckpt,10000,93229f098150ecd1533201641fde3924a49a776e53fd89591263d791bb46a5fe,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,paper_mech_mix_p000_s1_20260908_081721_006,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/configs/train_mix_p000.yaml,b499097b4cd533f44bdae88cd69240e15c9633e8,a506c72e8441291488a86de3b57decb68e69aad337455c533fa443d31c991a2d,1788923250631045979_1909668,0.9537043470075762,0.5326009114583333,1.5959087549708784,512,16.77202606201172,nm,1,0.0,256
