architecture,model_id,n_sources,sources,covid_political,election2020,ukr_rus_suspended,twibot20,mean_roc_auc
prodigy,ss_ukr_rus,1,ukr_rus,0.6267875388816552,0.5313720703125,0.50732421875,0.6929662492540148,0.5896125192995425
prodigy,ss_covid,1,covid,0.617950439453125,0.54083251953125,0.551513671875,0.5693049960666233,0.5699004067314996
prodigy,ss_midterm,1,midterm,0.5403075041594328,0.50299072265625,0.49755859375,0.6689487033420138,0.5524513809769241
prodigy,ss_covid_political,1,covid_political,0.8650509869610822,0.98468017578125,0.49688720703125,0.7134075164794922,0.7650064715632686
prodigy,ss_election2020,1,election2020,0.6178054809570312,0.50830078125,0.4859619140625,0.6999549865722656,0.5780057907104492
prodigy,ss_ukr_rus_suspended,1,ukr_rus_suspended,0.5560410111038774,0.49700927734375,0.51092529296875,0.6997981601291233,0.5659434353863751
prodigy,ss_twibot20,1,twibot20,0.7366796422887731,0.705322265625,0.49005126953125,0.6917220221625434,0.6559437999018917
prodigy,ss_cp_hk,1,cp_hk,0.5545561048719618,0.50341796875,0.49188232421875,0.6194180382622613,0.5423186090257432
prodigy,ss_facebook_page_reference,1,facebook_page_reference,0.5305831344039351,0.50860595703125,0.4879150390625,0.6629920535617404,0.5475240460148564
prodigy,ordA_r2,2,"ukr_rus,covid",0.6410143816912616,0.52294921875,0.51837158203125,0.6369732750786675,0.5798271143877948
prodigy,ordA_r3,3,"ukr_rus,covid,midterm",0.6550162986472802,0.5455322265625,0.51116943359375,0.6963975694444444,0.6020288820619937
prodigy,ordA_r4,4,"ukr_rus,covid,midterm,covid_political",0.5695687753182871,0.5338134765625,0.49542236328125,0.6228266821967231,0.55540782433969
prodigy,ordA_r5,5,"ukr_rus,covid,midterm,covid_political,election2020",0.6578747784649883,0.511474609375,0.47662353515625,0.6713782416449653,0.5793377911603009
prodigy,ordA_r6,6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0.6169184932002316,0.5147705078125,0.476806640625,0.6840858459472656,0.5731453718962494
prodigy,ordA_r7,7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0.6184805410879629,0.6102294921875,0.490478515625,0.6417744954427084,0.5902407610857928
prodigy,ordA_r8,8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0.6496514214409722,0.52056884765625,0.48126220703125,0.675248040093316,0.5816826290554471
prodigy,all9,9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0.557586669921875,0.54034423828125,0.4935302734375,0.6513676113552518,0.5607071982489692
prodigy,ordB_r2,2,"ukr_rus_suspended,election2020",0.6016967208297165,0.514404296875,0.489013671875,0.7039142184787327,0.5772572270146122
prodigy,ordB_r3,3,"ukr_rus_suspended,election2020,ukr_rus",0.5553447582103588,0.541015625,0.497802734375,0.657215330335829,0.562844611980297
prodigy,ordB_r4,4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0.5848931206597222,0.5108642578125,0.488525390625,0.6710925632052951,0.5638438330756294
prodigy,ordB_r5,5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0.5675882410120081,0.51995849609375,0.49432373046875,0.6743715074327257,0.5640604937518084
prodigy,ordB_r6,6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0.5167646054868344,0.507568359375,0.4913330078125,0.62497435675727,0.5351600823579011
prodigy,ordB_r7,7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0.538807056568287,0.521728515625,0.49493408203125,0.6383758121066623,0.5484613665827998
prodigy,ordB_r8,8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0.577847233525029,0.50506591796875,0.47613525390625,0.6659295823838975,0.5562444969459817
