architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1
prodigy,ss_twibot20,twibot20,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.7366796422887731,0.7034505208333334,0.5474416294088426
prodigy,ss_twibot20,twibot20,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.705322265625,0.5,0.6666666666666666
prodigy,ss_twibot20,twibot20,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49005126953125,0.515625,0.48760330578512395
prodigy,ss_twibot20,twibot20,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6917220221625434,0.6455078125,0.7027027027027027
prodigy,ss_cp_hk,cp_hk,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5545561048719618,0.4970703125,0.38519697572622363
prodigy,ss_cp_hk,cp_hk,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.50341796875,0.5078125,0.5935483870967742
prodigy,ss_cp_hk,cp_hk,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49188232421875,0.5078125,0.4166666666666667
prodigy,ss_cp_hk,cp_hk,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6194180382622613,0.5367838541666666,0.6742961776150149
prodigy,ss_facebook_page_reference,facebook_page_reference,0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5305831344039351,0.4869791666666667,0.3609083536090835
prodigy,ss_facebook_page_reference,facebook_page_reference,0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.50860595703125,0.5,0.4838709677419355
prodigy,ss_facebook_page_reference,facebook_page_reference,0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4879150390625,0.48828125,0.4425531914893617
