dataset,target,spearman,spearman_fulldata,shots,n
midterm,followers_count,0.2596882473243102,nan,10,333430
midterm,friends_count,0.2068435728020192,nan,10,333430
midterm,statuses_count,0.05455696578234027,nan,10,333430
midterm,favourites_count,0.05823990907381031,nan,10,333430
midterm,listed_count,0.12311465065976664,nan,10,333430
midterm,account_age_days,0.03982547274700223,nan,10,333430
ukr_rus_twitter,followers_count,0.2089881157573343,nan,10,10273623
ukr_rus_twitter,friends_count,0.14079605329361988,nan,10,10273623
ukr_rus_twitter,statuses_count,0.12517774676068288,nan,10,10273623
ukr_rus_twitter,favourites_count,0.11045778827415628,nan,10,10273623
ukr_rus_twitter,listed_count,0.14168107269965813,nan,10,10273623
ukr_rus_twitter,account_age_days,0.009547556459966917,nan,10,10273623
covid19_twitter,followers_count,0.11880290308141155,nan,10,23012850
covid19_twitter,friends_count,0.08708333038587229,nan,10,23012850
covid19_twitter,statuses_count,0.05593000252228213,nan,10,23012850
covid19_twitter,favourites_count,0.03135045342133047,nan,10,23012850
covid19_twitter,listed_count,0.12875871018635415,nan,10,23012850
covid19_twitter,account_age_days,0.0105348376270705,nan,10,23012850
twibot20,followers_count,0.15974002045009628,nan,10,162988
twibot20,friends_count,0.09598869742749169,nan,10,162988
twibot20,statuses_count,0.11838851982559481,nan,10,162988
twibot20,listed_count,0.18160825451037085,nan,10,162988
twibot20,account_age_days,0.0370561878962762,nan,10,162988
