model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
task_transfer_covid_nm,twibot20,10,followers_count,regression,test,eval_task_transfer_covid_nm_to_twibot20_reg_10shot_followers_count_09_07_2026_03_50_43,-0.211019878558017,8.412915391571591,7.831623077392578,-6.707854747772217,70.77714538574219
task_transfer_covid_nm,twibot20,10,statuses_count,regression,test,eval_task_transfer_covid_nm_to_twibot20_reg_10shot_statuses_count_09_07_2026_03_50_58,-0.19503787262104327,8.540231525221932,8.185842514038086,-11.757309913635254,72.93555450439453
task_transfer_covid_nm,twibot20,10,account_age_days,regression,test,eval_task_transfer_covid_nm_to_twibot20_reg_10shot_account_age_days_09_07_2026_03_51_11,0.010401201148753952,7.860701401648513,7.776577949523926,-46.9737548828125,61.790626525878906
task_transfer_covid_fp,twibot20,10,followers_count,regression,test,eval_task_transfer_covid_fp_to_twibot20_reg_10shot_followers_count_09_07_2026_03_51_26,-0.38319359483210746,8.129507839044017,7.535058498382568,-6.19728946685791,66.08889770507812
task_transfer_covid_fp,twibot20,10,statuses_count,regression,test,eval_task_transfer_covid_fp_to_twibot20_reg_10shot_statuses_count_09_07_2026_03_51_39,-0.32009678625705357,8.24648325554502,7.887100696563721,-10.894806861877441,68.00448608398438
task_transfer_covid_fp,twibot20,10,account_age_days,regression,test,eval_task_transfer_covid_fp_to_twibot20_reg_10shot_account_age_days_09_07_2026_03_51_52,-0.16852746137426455,7.558170308714097,7.471251487731934,-43.35212707519531,57.125938415527344
B0_step20000,twibot20,10,followers_count,regression,test,eval_B0_step20000_to_twibot20_reg_10shot_followers_count_09_07_2026_08_11_32,0.0006803434528762373,8.27168106872096,7.695994853973389,-6.451231479644775,68.42070770263672
B0_step20000,twibot20,10,statuses_count,regression,test,eval_B0_step20000_to_twibot20_reg_10shot_statuses_count_09_07_2026_08_11_32,-0.07095914826454038,8.399644717014542,8.046249389648438,-11.340753555297852,70.55403137207031
B0_step20000,twibot20,10,account_age_days,regression,test,eval_B0_step20000_to_twibot20_reg_10shot_account_age_days_09_07_2026_08_11_32,0.01951259030706017,7.716942950164511,7.631190776824951,-45.23508834838867,59.55120849609375
B0_step40000,twibot20,10,followers_count,regression,test,eval_B0_step40000_to_twibot20_reg_10shot_followers_count_09_07_2026_08_11_46,0.12138048626290861,8.308978489270281,7.744817733764648,-6.518579006195068,69.03912353515625
