predictor,kind,mean_target_spearman_roc_auc_ovr_macro,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_same_sign_as_mean,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
feature_homophily_random,absolute_gap,-0.4841269841269842,-0.43915343915343924,-0.46560846560846575,-0.4550264550264551,0.0131,9,9,2,0.2222222222222222,0.04789536603210635,3.6666666666666665
in_degree_gini,absolute_gap,-0.48148148148148157,-0.4947089947089947,-0.45767195767195773,-0.4365079365079365,0.0092,7,9,0,0.0,0.06676396467473567,4.444444444444445
edge_bio_coverage,absolute_gap,-0.47730669368014705,-0.4573303669339549,-0.4493620809021712,-0.42956053367999614,0.0003,8,9,0,0.0,0.07047720378690597,4.444444444444445
feature_norm_mean,absolute_gap,-0.4047619047619049,-0.35449735449735453,-0.38888888888888895,-0.4444444444444444,0.0294,9,9,0,0.0,0.07390754833379769,5.0
out_degree_gini,absolute_gap,-0.34391534391534395,-0.3174603174603175,-0.34391534391534395,-0.30952380952380953,0.0721,8,9,0,0.0,0.07640582037865228,4.888888888888889
missing_bio_rate,absolute_gap,-0.3206023647376118,-0.3272240658751873,-0.2926577519596357,-0.24907845902321274,0.0342,8,9,0,0.0,0.07137246442988052,4.555555555555555
largest_wcc_frac,absolute_gap,-0.3121693121693122,-0.3042328042328042,-0.291005291005291,-0.29629629629629634,0.0392,6,9,2,0.2222222222222222,0.05452863917852166,3.6666666666666665
isolated_fraction,absolute_gap,-0.25706856126331074,-0.26996443203331866,-0.24494534513908894,-0.3108339942375503,0.1957,7,9,4,0.4444444444444444,0.030740857570919378,2.888888888888889
reciprocity,absolute_gap,-0.19832134828188666,-0.1490697129111481,-0.18900647735589468,-0.2433584494459834,0.4095,6,9,2,0.2222222222222222,0.028995671283442617,3.0
avg_clustering_approx,absolute_gap,-0.13492063492063494,-0.08730158730158728,-0.12962962962962965,-0.19841269841269843,0.5901,7,9,0,0.0,0.07541858412043087,5.111111111111111
feature_effective_dim,absolute_gap,-0.05026455026455021,-0.02380952380952381,-0.04497354497354497,-0.11111111111111113,0.8067,4,9,2,0.2222222222222222,0.06486990924285493,5.0
out_degree_mean,absolute_gap,-0.04232804232804233,-0.03703703703703703,-0.018518518518518507,-0.06878306878306878,0.8736,5,9,1,0.1111111111111111,0.0683485907968332,4.111111111111111
in_degree_mean,absolute_gap,-0.04232804232804233,-0.03703703703703703,-0.018518518518518507,-0.06878306878306878,0.8736,5,9,1,0.1111111111111111,0.0683485907968332,4.111111111111111
degree_assortativity,absolute_gap,-0.007936507936507945,-0.01587301587301588,0.01322751322751323,-0.010582010582010606,0.9762,6,9,1,0.1111111111111111,0.06604413920739899,4.333333333333333
density,absolute_gap,0.04497354497354499,0.10582010582010587,0.04232804232804233,-0.029100529100529113,0.869,5,9,0,0.0,0.10903771886829619,5.777777777777778
largest_scc_frac,absolute_gap,0.06878306878306881,0.07142857142857144,0.0873015873015873,-0.015873015873015858,0.7485,5,9,0,0.0,0.08838756623396012,5.333333333333333
out_degree_max,absolute_gap,0.082010582010582,0.15873015873015875,0.08465608465608465,0.03968253968253969,0.6955,5,9,1,0.1111111111111111,0.08874299904801783,5.111111111111111
dirichlet_energy,absolute_gap,0.0978835978835979,0.13756613756613761,0.0978835978835979,0.08994708994708996,0.6703,5,9,1,0.1111111111111111,0.08730898203368685,4.777777777777778
feature_homophily,absolute_gap,0.0978835978835979,0.13756613756613761,0.0978835978835979,0.08994708994708996,0.6703,5,9,1,0.1111111111111111,0.08730898203368685,4.777777777777778
in_degree_max,absolute_gap,0.1402116402116402,0.13227513227513224,0.11640211640211638,0.19841269841269848,0.5,6,9,3,0.3333333333333333,0.05138939664738388,3.111111111111111
n_edges,absolute_gap,0.2619047619047619,0.27777777777777785,0.2671957671957672,0.2671957671957672,0.176,6,9,1,0.1111111111111111,0.02883879574576352,2.888888888888889
n_strongly_connected,absolute_gap,0.2936507936507937,0.29100529100529104,0.2645502645502646,0.3148148148148149,0.2102,8,9,2,0.2222222222222222,0.01639205940026536,2.2222222222222223
n_nodes,absolute_gap,0.31746031746031744,0.3148148148148149,0.28835978835978837,0.33862433862433866,0.1663,8,9,2,0.2222222222222222,0.01639205940026536,2.2222222222222223
n_weakly_connected,absolute_gap,0.3703703703703704,0.37037037037037046,0.3756613756613757,0.39682539682539686,0.1008,7,9,2,0.2222222222222222,0.02837250668122547,2.5555555555555554
