predictor,kind,mean_target_spearman_roc_auc_ovr_macro,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_same_sign_as_mean,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
feature_effective_dim,source,0.7354497354497356,0.7195767195767195,0.7275132275132276,0.7089947089947091,0.0103,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
in_degree_max,source,0.7063492063492064,0.6878306878306879,0.6851851851851853,0.7486772486772488,0.0173,9,9,5,0.5555555555555556,0.0023324193524116733,1.5555555555555556
n_strongly_connected,source,0.6772486772486773,0.6666666666666669,0.6534391534391536,0.7566137566137567,0.0242,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
n_nodes,source,0.6772486772486773,0.6666666666666669,0.6534391534391536,0.7566137566137567,0.0242,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
degree_assortativity,source,0.6481481481481484,0.6296296296296297,0.6693121693121695,0.6375661375661377,0.0329,9,9,3,0.3333333333333333,0.028537719429376576,2.2222222222222223
n_edges,source,0.6111111111111112,0.6613756613756615,0.6058201058201059,0.5820105820105821,0.0433,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
largest_scc_frac,source,0.5952380952380953,0.5846560846560848,0.5767195767195769,0.544973544973545,0.0554,9,9,0,0.0,0.08559545762694198,5.222222222222222
largest_wcc_frac,source,0.5264550264550265,0.5846560846560847,0.5291005291005292,0.4841269841269842,0.0959,9,9,1,0.1111111111111111,0.10880070679133978,5.666666666666667
in_degree_gini,source,0.48148148148148157,0.4417989417989419,0.4470899470899472,0.5661375661375662,0.1444,9,9,0,0.0,0.08330250475040239,5.444444444444445
missing_bio_rate,source,0.43523287611431166,0.4019972580453304,0.4019654799500545,0.5067567818287106,0.1866,7,9,0,0.0,0.08330250475040239,5.444444444444445
reciprocity,source,0.3685550823570559,0.3326421835472961,0.36722438651048567,0.3288407645792404,0.255,8,9,0,0.0,0.08559545762694198,5.222222222222222
dirichlet_energy,source,0.3624338624338625,0.32010582010582017,0.36243386243386244,0.35714285714285715,0.2704,8,9,5,0.5555555555555556,0.0023324193524116733,1.5555555555555556
in_degree_mean,source,0.3597883597883598,0.4285714285714286,0.3597883597883598,0.253968253968254,0.2747,9,9,1,0.1111111111111111,0.10880070679133978,5.666666666666667
out_degree_mean,source,0.3597883597883598,0.4285714285714286,0.3597883597883598,0.253968253968254,0.2747,9,9,1,0.1111111111111111,0.10880070679133978,5.666666666666667
n_weakly_connected,source,0.23280423280423287,0.2010582010582011,0.22222222222222227,0.24603174603174605,0.4869,8,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
feature_norm_mean,source,0.11904761904761904,0.07671957671957672,0.09523809523809525,0.1428571428571429,0.7353,6,9,0,0.0,0.0930089333555758,5.555555555555555
out_degree_max,source,-0.1560846560846561,-0.10052910052910054,-0.1507936507936508,-0.17724867724867732,0.6428,7,9,3,0.3333333333333333,0.028537719429376576,2.2222222222222223
feature_homophily_random,source,-0.22751322751322756,-0.17989417989417988,-0.23809523809523814,-0.28571428571428575,0.5038,7,9,0,0.0,0.08490404213373075,5.333333333333333
edge_bio_coverage,source,-0.3078038557963227,-0.2878593071454063,-0.27985924301834664,-0.32893609886506797,0.3573,6,9,0,0.0,0.08720566119067766,5.777777777777778
out_degree_gini,source,-0.35714285714285715,-0.33333333333333337,-0.34920634920634924,-0.4497354497354498,0.2819,8,9,0,0.0,0.06336691946412913,4.444444444444445
feature_homophily,source,-0.3624338624338625,-0.32010582010582017,-0.36243386243386244,-0.35714285714285715,0.2704,8,9,5,0.5555555555555556,0.0023324193524116733,1.5555555555555556
density,source,-0.4285714285714286,-0.3968253968253969,-0.41005291005291017,-0.5079365079365079,0.1908,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
isolated_fraction,source,-0.454070823281915,-0.4669666940519229,-0.4661940394061368,-0.48358982400771094,0.1552,9,9,3,0.3333333333333333,0.006000421279640918,1.8888888888888888
avg_clustering_approx,source,-0.5291005291005292,-0.4973544973544974,-0.5238095238095238,-0.5925925925925927,0.0979,9,9,2,0.2222222222222222,0.014945706964909353,2.111111111111111
