model,available_targets,expected_targets,complete,mean_transfer_auc_pct,chosen_by_source_validation
kd_w010_fixed,6,6,True,95.69346853741497,False
kd_w010_selected,6,6,True,95.97971343537415,True
kd_w030_fixed,6,6,True,95.77788945578232,False
kd_w030_selected,6,6,True,95.820893707483,False
kd_w050_fixed,6,6,True,95.80882908163267,False
kd_w050_selected,6,6,True,95.90404846938775,False
kd_w100_fixed,6,6,True,95.53270153061224,False
kd_w100_selected,6,6,True,95.70925510204081,False
previous_kd_extended_selected,6,6,True,95.70925510204081,False
previous_kd_fixed,6,6,True,95.53270153061224,False
previous_ukraine_only_selected,6,6,True,95.69229591836734,False
previous_ukraine_exposure,6,6,True,95.6088537414966,False
previous_ukraine_updates,6,6,True,95.6317619047619,False
Ukraine singleton,6,6,True,95.76420238095238,False
