arm,weight,additional_step,logical_step,checkpoint,ukraine_validation_auc_pct,ukraine_validation_bce,ukraine_delta_singleton_pp,ukraine_hard_label_training_bce,retains_ukraine,ukraine_supervised_updates,ukraine_kd_updates,ukraine_positive_examples,ukraine_negative_examples,ukraine_supervised_positive_examples,ukraine_supervised_negative_examples,ukraine_kd_positive_examples,ukraine_kd_negative_examples,facebook_validation_auc_pct,facebook_validation_bce,facebook_delta_singleton_pp,facebook_hard_label_training_bce,retains_facebook,facebook_supervised_updates,facebook_kd_updates,facebook_positive_examples,facebook_negative_examples,facebook_supervised_positive_examples,facebook_supervised_negative_examples,facebook_kd_positive_examples,facebook_kd_negative_examples,retains_both,run_id,selection,start_fallback,chosen_by_source_validation
kd_w010,0.1,60000,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_060000.pt,98.94985709190368,0.07906905189156534,-0.024519443511972216,0.07409958988428118,False,50000,0,51176314,255881570,51176314,255881570,0,0,95.5010495662689,0.1815231628715992,0.11651625633238849,0.14950849711894987,True,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,False,kd_w010_fixed,fixed,False,False
kd_w010,0.1,36000,76000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w010/checkpoints/additional_036000.pt,98.95838432312011,0.08644238635897639,-0.015992212295545816,0.083293791487813,False,38000,0,38894691,194473455,38894691,194473455,0,0,95.66935935020446,0.18416239619255062,0.2848260402679492,0.15863365083932876,True,5000,33000,38523722,192618610,5069279,25346395,33454443,167272215,False,kd_w010_selected,selected,False,True
kd_w030,0.3,60000,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w030/checkpoints/additional_060000.pt,98.9245285987854,0.08040838167071342,-0.049847936630254,0.07661672234535219,False,50000,0,51176314,255881570,51176314,255881570,0,0,95.78988111019136,0.1750827305018902,0.4053478002548405,0.13735706955194474,True,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,False,kd_w030_fixed,fixed,False,False
kd_w030,0.3,52000,92000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w030/checkpoints/additional_052000.pt,98.93655223846436,0.0795316331088543,-0.0378242969512943,0.07558767274022102,False,46000,0,47083047,235415235,47083047,235415235,0,0,96.02059159278869,0.17124244570732117,0.636058282852181,0.1345352590084076,True,5000,41000,46633519,233167595,5069279,25346395,41564240,207821200,False,kd_w030_selected,selected,False,False
kd_w050,0.5,60000,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w050/checkpoints/additional_060000.pt,98.90742135047913,0.08156790100038051,-0.06695518493653463,0.07826348952949048,False,50000,0,51176314,255881570,51176314,255881570,0,0,95.91392002105712,0.17282127067446706,0.5293867111206052,0.133526386320591,True,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,False,kd_w050_fixed,fixed,False,False
kd_w050,0.5,52000,92000,/dataMeR1/phil/gfm/mixture-scaling/state/async_kd_weights_s0/node_neighbors/lp/kd_w050/checkpoints/additional_052000.pt,98.92815954685211,0.08258514404296874,-0.04621698856354106,0.07937081456184389,False,46000,0,47083047,235415235,47083047,235415235,0,0,96.09342980384827,0.171062733232975,0.7088964939117481,0.13403026834130283,True,5000,41000,46633519,233167595,5069279,25346395,41564240,207821200,False,kd_w050_selected,selected,False,False
kd_w100,1.0,60000,100000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_060000.pt,98.83364694118498,0.08421843759715558,-0.14072959423067077,0.08088664077222348,False,50000,0,51176314,255881570,51176314,255881570,0,0,95.95266935825347,0.17206161171197892,0.5681360483169584,0.12639937549829483,True,5000,45000,50688709,253443545,5069279,25346395,45619430,228097150,False,kd_w100_fixed,fixed,False,False
kd_w100,1.0,52000,92000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_052000.pt,98.86328427791595,0.08184475786983965,-0.11109225749970086,0.07894492670893669,False,46000,0,47083047,235415235,47083047,235415235,0,0,96.09082586765291,0.16943589150905605,0.7062925577163925,0.1260596461594105,True,5000,41000,46633519,233167595,5069279,25346395,41564240,207821200,False,kd_w100_selected,selected,False,False
