mixture_size	donor_codes	donors	heldout_targets	prefix
1	ukr	ukr_rus	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k1_ukr
1	cov	covid	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k1_cov
1	mid	midterm	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k1_mid
1	cp	covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k1_cp
1	elec	election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k1_elec
1	susp	ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k1_susp
1	bot	twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k1_bot
1	hk	cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k1_hk
2	ukr,cov	ukr_rus,covid	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_ukr-cov
2	ukr,mid	ukr_rus,midterm	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_ukr-mid
2	ukr,cp	ukr_rus,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_ukr-cp
2	ukr,elec	ukr_rus,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k2_ukr-elec
2	ukr,susp	ukr_rus,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k2_ukr-susp
2	ukr,bot	ukr_rus,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k2_ukr-bot
2	ukr,hk	ukr_rus,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_ukr-hk
2	cov,mid	covid,midterm	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_cov-mid
2	cov,cp	covid,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_cov-cp
2	cov,elec	covid,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k2_cov-elec
2	cov,susp	covid,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k2_cov-susp
2	cov,bot	covid,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k2_cov-bot
2	cov,hk	covid,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_cov-hk
2	mid,cp	midterm,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_mid-cp
2	mid,elec	midterm,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k2_mid-elec
2	mid,susp	midterm,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k2_mid-susp
2	mid,bot	midterm,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k2_mid-bot
2	mid,hk	midterm,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_mid-hk
2	cp,elec	covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k2_cp-elec
2	cp,susp	covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k2_cp-susp
2	cp,bot	covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k2_cp-bot
2	cp,hk	covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k2_cp-hk
2	elec,susp	election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k2_elec-susp
2	elec,bot	election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k2_elec-bot
2	elec,hk	election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k2_elec-hk
2	susp,bot	ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k2_susp-bot
2	susp,hk	ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k2_susp-hk
2	bot,hk	twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k2_bot-hk
3	ukr,cov,mid	ukr_rus,covid,midterm	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cov-mid
3	ukr,cov,cp	ukr_rus,covid,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cov-cp
3	ukr,cov,elec	ukr_rus,covid,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cov-elec
3	ukr,cov,susp	ukr_rus,covid,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k3_ukr-cov-susp
3	ukr,cov,bot	ukr_rus,covid,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-cov-bot
3	ukr,cov,hk	ukr_rus,covid,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cov-hk
3	ukr,mid,cp	ukr_rus,midterm,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-mid-cp
3	ukr,mid,elec	ukr_rus,midterm,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-mid-elec
3	ukr,mid,susp	ukr_rus,midterm,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k3_ukr-mid-susp
3	ukr,mid,bot	ukr_rus,midterm,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-mid-bot
3	ukr,mid,hk	ukr_rus,midterm,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-mid-hk
3	ukr,cp,elec	ukr_rus,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cp-elec
3	ukr,cp,susp	ukr_rus,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k3_ukr-cp-susp
3	ukr,cp,bot	ukr_rus,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-cp-bot
3	ukr,cp,hk	ukr_rus,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-cp-hk
3	ukr,elec,susp	ukr_rus,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k3_ukr-elec-susp
3	ukr,elec,bot	ukr_rus,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k3_ukr-elec-bot
3	ukr,elec,hk	ukr_rus,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_ukr-elec-hk
3	ukr,susp,bot	ukr_rus,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k3_ukr-susp-bot
3	ukr,susp,hk	ukr_rus,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k3_ukr-susp-hk
3	ukr,bot,hk	ukr_rus,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_ukr-bot-hk
3	cov,mid,cp	covid,midterm,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-mid-cp
3	cov,mid,elec	covid,midterm,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-mid-elec
3	cov,mid,susp	covid,midterm,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k3_cov-mid-susp
3	cov,mid,bot	covid,midterm,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_cov-mid-bot
3	cov,mid,hk	covid,midterm,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-mid-hk
3	cov,cp,elec	covid,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-cp-elec
3	cov,cp,susp	covid,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k3_cov-cp-susp
3	cov,cp,bot	covid,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k3_cov-cp-bot
