predictor,kind,mean_target_spearman_accuracy,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_expected_direction,targets_with_correlation,priority_score,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
neighbor_mean_projected_frechet,pairwise_distance,-0.7751322751322751,-0.7936507936507938,-0.7486772486772488,-0.7698412698412699,0.0003,9,9,0.7748997354497354,9,6,0.6666666666666666,0.017080198688271604,2.6666666666666665
proxy_a_distance,pairwise_distance,-0.7631441076205205,-0.7763875098956716,-0.7313662977792128,-0.7578213242342393,0.0003,9,9,0.7629151643882344,9,6,0.6666666666666666,0.012026789158950621,2.2222222222222223
center_plus_neighbor_mean_projected_frechet,pairwise_distance,-0.7116402116402117,-0.7063492063492064,-0.6613756613756615,-0.7407407407407409,0.0029,9,9,0.7095764550264552,9,5,0.5555555555555556,0.015147569444444453,2.6666666666666665
center_plus_neighbor_mean_proxy_a_distance,pairwise_distance,-0.6707381994445671,-0.6760450937832105,-0.6442990620371787,-0.6960055314817648,0.0016,8,9,0.6696650183254558,9,6,0.6666666666666666,0.005265600887345684,2.111111111111111
center_plus_neighbor_mean_mmd2,pairwise_distance,-0.6613756613756615,-0.6613756613756614,-0.6216931216931219,-0.6878306878306879,0.0042,9,9,0.6585978835978837,9,4,0.4444444444444444,0.016238064236111113,2.7777777777777777
feat_frechet,pairwise_distance,-0.6481481481481483,-0.6640211640211642,-0.6296296296296298,-0.6587301587301587,0.0028,8,9,0.6463333333333334,9,6,0.6666666666666666,0.00865523726851853,2.111111111111111
embedding_topic_js_distance,pairwise_distance,-0.6481481481481483,-0.6507936507936508,-0.6005291005291006,-0.6640211640211642,0.0075,9,9,0.6432870370370372,9,5,0.5555555555555556,0.00688536844135803,2.3333333333333335
raw_center_mmd2,pairwise_distance,-0.6296296296296298,-0.6005291005291006,-0.5820105820105821,-0.6481481481481483,0.0107,9,9,0.6228925925925927,9,5,0.5555555555555556,0.015744357638888897,2.4444444444444446
raw_center_projected_frechet,pairwise_distance,-0.634920634920635,-0.6084656084656086,-0.5634920634920636,-0.6534391534391536,0.0201,9,9,0.6221587301587302,9,5,0.5555555555555556,0.00688536844135803,2.3333333333333335
center_plus_neighbor_mean_skew_l1,pairwise_distance,-0.6322751322751323,-0.6005291005291006,-0.6190476190476191,-0.6455026455026455,0.0181,8,9,0.6208309523809524,9,6,0.6666666666666666,0.017128423996913573,2.3333333333333335
feat_mmd2,pairwise_distance,-0.6084656084656085,-0.6322751322751324,-0.6137566137566138,-0.626984126984127,0.007,8,9,0.6042063492063492,9,5,0.5555555555555556,0.029193793402777793,3.111111111111111
feat_centroid_cosdist,pairwise_distance,-0.6031746031746033,-0.6216931216931217,-0.6031746031746033,-0.6243386243386244,0.0069,8,9,0.5990126984126984,9,5,0.5555555555555556,0.012645881558641985,2.4444444444444446
neighbor_mean_mmd2,pairwise_distance,-0.5952380952380953,-0.5925925925925926,-0.5634920634920636,-0.6428571428571429,0.0092,8,9,0.5897619047619048,9,4,0.4444444444444444,0.019375723379629624,3.111111111111111
raw_center_proxy_a_distance,pairwise_distance,-0.5958418790483366,-0.6143921756621311,-0.5587730639160238,-0.6170059002123579,0.0115,8,9,0.5889896974392808,9,5,0.5555555555555556,0.02039689429012346,2.4444444444444446
neighbor_mean_skew_l1,pairwise_distance,-0.5370370370370371,-0.5185185185185186,-0.537037037037037,-0.5264550264550265,0.0321,7,9,0.5197981481481482,9,5,0.5555555555555556,0.021128713348765427,3.111111111111111
raw_center_skew_l1,pairwise_distance,-0.5158730158730159,-0.4920634920634921,-0.4947089947089948,-0.5687830687830688,0.0136,8,9,0.5088571428571429,9,4,0.4444444444444444,0.018514901620370377,2.888888888888889
neighbor_mean_proxy_a_distance,pairwise_distance,-0.5132275132275133,-0.5264550264550265,-0.4894179894179895,-0.5370370370370371,0.0211,7,9,0.5023984126984127,9,4,0.4444444444444444,0.021181158371913585,3.3333333333333335
indegree_ks,pairwise_distance,-0.48148148148148157,-0.5264550264550265,-0.470899470899471,-0.4788359788359789,0.0201,9,9,0.4718037037037038,9,4,0.4444444444444444,0.042819854359567894,3.111111111111111
neighbor_mean_centroid_cosdist,pairwise_distance,-0.3677248677248678,-0.37830687830687837,-0.37830687830687837,-0.40740740740740744,0.005,7,9,0.3658862433862434,9,5,0.5555555555555556,0.028268470293209877,3.5555555555555554
center_plus_neighbor_mean_centroid_cosdist,pairwise_distance,-0.32010582010582017,-0.32804232804232814,-0.3412698412698413,-0.3624338624338625,0.0015,6,9,0.31962566137566145,9,5,0.5555555555555556,0.02551480516975309,3.2222222222222223
raw_center_centroid_cosdist,pairwise_distance,-0.261904761904762,-0.261904761904762,-0.2777777777777778,-0.3095238095238096,0.0055,5,9,0.2604642857142858,9,4,0.4444444444444444,0.01888563368055556,3.0
local_structure_proxy_a_distance,pairwise_distance,-0.3242091309789965,-0.3374048661112339,-0.29382557317481095,-0.33214563891550447,0.225,8,9,0.2512620765087223,9,4,0.4444444444444444,0.044759114583333336,2.888888888888889
center_plus_neighbor_mean_skew_wasserstein,pairwise_distance,-0.29629629629629634,-0.28571428571428575,-0.24074074074074078,-0.30952380952380953,0.2094,6,9,0.23425185185185188,9,4,0.4444444444444444,0.0373679832175926,3.2222222222222223
local_structure_centroid_cosdist,pairwise_distance,-0.21164021164021168,-0.19047619047619052,-0.2407407407407408,-0.2777777777777779,0.2837,8,9,0.15159788359788362,9,3,0.3333333333333333,0.0872094425154321,4.333333333333333
neighbor_mean_skew_wasserstein,pairwise_distance,-0.20899470899470898,-0.21693121693121695,-0.1507936507936508,-0.21164021164021168,0.3126,6,9,0.14366296296296296,9,4,0.4444444444444444,0.03739932966820988,3.3333333333333335
outdegree_ks,pairwise_distance,-0.20899470899470898,-0.21164021164021166,-0.20899470899470904,-0.20634920634920637,0.3659,6,9,0.13252354497354496,9,2,0.2222222222222222,0.055176384066358025,4.555555555555555
raw_center_skew_wasserstein,pairwise_distance,-0.21693121693121695,-0.18253968253968259,-0.16402116402116404,-0.2354497354497355,0.3896,8,9,0.13241481481481485,9,2,0.2222222222222222,0.04542643229166668,3.7777777777777777
local_structure_mmd2,pairwise_distance,-0.1481481481481482,-0.16931216931216933,-0.11640211640211644,-0.18253968253968259,0.5398,6,9,0.06817777777777781,9,3,0.3333333333333333,0.049289279513888895,3.888888888888889
user_jaccard,pairwise_similarity,-0.10210624577216336,-0.07207499701564474,-0.05105312288608166,-0.06907187213999288,0.0001,3,6,0.06806402343172409,8,5,0.625,0.02043660481770834,2.75
local_structure_projected_frechet,pairwise_distance,-0.14550264550264552,-0.11640211640211641,-0.11640211640211644,-0.18783068783068788,0.539,5,9,0.06707671957671958,9,2,0.2222222222222222,0.07056327160493825,3.888888888888889
user_source_containment,pairwise_similarity,-0.060809834708934085,-0.03667411908210486,-0.00038750817565021595,-0.02165849470384551,0.0001,3,6,0.04053583581697546,8,3,0.375,0.07269897460937501,3.625
user_target_containment,pairwise_similarity,-0.04562813539825328,-0.0456281353982533,0.01143123723913216,-0.05463751002520889,0.0001,3,6,0.030415715056475633,8,5,0.625,0.019323052300347227,2.625
