predictor,kind,mean_target_spearman_accuracy,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_same_sign_as_mean,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
feature_norm_mean,absolute_gap,-0.5,-0.4841269841269842,-0.43915343915343924,-0.4841269841269842,0.0025,8,9,0,0.0,0.09372106481481485,4.555555555555555
in_degree_gini,absolute_gap,-0.4894179894179895,-0.5264550264550265,-0.46560846560846564,-0.4867724867724868,0.0101,7,9,0,0.0,0.08830475983796299,4.333333333333333
edge_bio_coverage,absolute_gap,-0.4666770159552227,-0.48261358801879034,-0.4029625057962283,-0.4586769518281631,0.0001,8,9,0,0.0,0.09333767361111112,4.555555555555555
feature_homophily_random,absolute_gap,-0.46031746031746035,-0.45767195767195773,-0.4841269841269842,-0.47619047619047616,0.0254,7,9,3,0.3333333333333333,0.05718195408950619,3.5555555555555554
out_degree_gini,absolute_gap,-0.34920634920634924,-0.35978835978835977,-0.3492063492063492,-0.31216931216931226,0.0705,7,9,1,0.1111111111111111,0.10081922743055555,4.555555555555555
missing_bio_rate,absolute_gap,-0.30208384621909323,-0.3525867321982124,-0.2649038077533148,-0.28885633299158,0.0456,6,9,0,0.0,0.09619984567901235,4.444444444444445
reciprocity,absolute_gap,-0.29935889833540097,-0.24896723568974727,-0.2595333572241199,-0.30205206812381735,0.1905,6,9,4,0.4444444444444444,0.030913025655864197,2.7777777777777777
largest_wcc_frac,absolute_gap,-0.2857142857142858,-0.2804232804232805,-0.2751322751322752,-0.3068783068783069,0.0615,6,9,2,0.2222222222222222,0.051852454668209876,3.6666666666666665
isolated_fraction,absolute_gap,-0.2740399187964611,-0.3113182358580631,-0.26494750670329476,-0.26212891620645123,0.174,7,9,3,0.3333333333333333,0.021781563464506173,3.111111111111111
avg_clustering_approx,absolute_gap,-0.2486772486772487,-0.2724867724867725,-0.19841269841269843,-0.2751322751322751,0.3005,6,9,0,0.0,0.09138274016203705,4.333333333333333
in_degree_mean,absolute_gap,-0.14021164021164023,-0.09788359788359785,-0.10582010582010587,-0.1772486772486773,0.5987,5,9,1,0.1111111111111111,0.08804916570216048,4.222222222222222
out_degree_mean,absolute_gap,-0.14021164021164023,-0.09788359788359785,-0.10582010582010587,-0.1772486772486773,0.5987,5,9,1,0.1111111111111111,0.08804916570216048,4.222222222222222
feature_effective_dim,absolute_gap,-0.13756613756613756,-0.126984126984127,-0.09523809523809527,-0.18518518518518523,0.4925,5,9,2,0.2222222222222222,0.05543860918209878,4.111111111111111
density,absolute_gap,-0.06878306878306878,-0.03439153439153437,-0.052910052910052935,-0.11111111111111113,0.8065,5,9,3,0.3333333333333333,0.04969316647376544,3.6666666666666665
largest_scc_frac,absolute_gap,-0.03703703703703704,-0.002645502645502661,0.0026455026455026423,-0.06613756613756612,0.8618,4,9,2,0.2222222222222222,0.05176564911265433,4.111111111111111
degree_assortativity,absolute_gap,-0.005291005291005285,-0.021164021164021187,0.021164021164021177,-0.010582010582010594,0.9864,5,9,1,0.1111111111111111,0.06784999517746915,4.666666666666667
dirichlet_energy,absolute_gap,0.03703703703703704,0.03968253968253969,0.06084656084656085,0.0026455026455026362,0.875,5,9,1,0.1111111111111111,0.12028899016203703,5.111111111111111
feature_homophily,absolute_gap,0.03703703703703704,0.03968253968253969,0.06084656084656085,0.0026455026455026362,0.875,5,9,1,0.1111111111111111,0.12028899016203703,5.111111111111111
out_degree_max,absolute_gap,0.08994708994708996,0.08730158730158731,0.0767195767195767,0.06084656084656084,0.6688,3,9,1,0.1111111111111111,0.10996576003086421,5.666666666666667
in_degree_max,absolute_gap,0.246031746031746,0.2063492063492064,0.253968253968254,0.22486772486772486,0.2364,7,9,3,0.3333333333333333,0.07835949556327161,3.111111111111111
n_edges,absolute_gap,0.33862433862433866,0.3227513227513229,0.38359788359788366,0.31746031746031744,0.0753,7,9,3,0.3333333333333333,0.047932339891975304,2.0
n_strongly_connected,absolute_gap,0.4074074074074074,0.37566137566137575,0.41005291005291006,0.3835978835978836,0.0679,8,9,4,0.4444444444444444,0.03493320794753087,1.8888888888888888
n_weakly_connected,absolute_gap,0.4179894179894181,0.4047619047619048,0.44179894179894186,0.3862433862433863,0.0617,7,9,4,0.4444444444444444,0.052445023148148154,2.2222222222222223
n_nodes,absolute_gap,0.4312169312169312,0.39947089947089953,0.4338624338624339,0.40740740740740744,0.0474,8,9,4,0.4444444444444444,0.03493320794753087,1.8888888888888888
