method,targets,mean_accuracy,mean_auc,mean_accuracy_gain,targets_improved,targets_non_degraded
fixed_best,5,0.74765625,0.781467593157733,0.0,0,5
learned_stage_consensus,5,0.7602213541666667,0.792844475640191,0.012565104166666674,3,4
raw_agreement,5,0.726171875,0.7932358494511357,-0.021484375,1,1
support_loo,5,0.7204427083333333,0.75968342533818,-0.027213541666666674,1,2
support_loo_u1_agreement,5,0.7531901041666667,0.7758373401783131,0.005533854166666652,3,4
u1_agreement,5,0.75859375,0.7811294273093894,0.0109375,3,4
