graph,node_id,degree,sampled_neighbors,projection_split,raw_center_pc1,raw_center_pc2,raw_center_pc3,neighbor_mean_pc1,neighbor_mean_pc2,neighbor_mean_pc3,center_plus_neighbor_mean_pc1,center_plus_neighbor_mean_pc2,center_plus_neighbor_mean_pc3,raw_center_lda1,raw_center_lda2,raw_center_lda3,neighbor_mean_lda1,neighbor_mean_lda2,neighbor_mean_lda3,center_plus_neighbor_mean_lda1,center_plus_neighbor_mean_lda2,center_plus_neighbor_mean_lda3
covid19_twitter,7694540,3,3,train,-0.07045532763004303,0.021123148500919342,0.05240168422460556,0.12155240774154663,0.04846702516078949,-0.004112619906663895,0.11673790216445923,-0.0897647961974144,-0.01927565038204193,-0.704340934753418,1.2778983116149902,0.5056155920028687,-1.6614876985549927,0.577678918838501,1.6051088571548462,-1.3730915784835815,1.0668730735778809,2.5152711868286133
covid19_twitter,16492837,1,1,train,-0.020287923514842987,0.21175333857536316,-0.05462215095758438,0.018269836902618408,0.1900266706943512,0.1786588579416275,-0.043889760971069336,-0.16801993548870087,-0.23970633745193481,-1.4300271272659302,0.016026973724365234,-1.0751386880874634,-3.3938724994659424,0.6983962059020996,0.644533634185791,-3.5017905235290527,0.32613301277160645,0.789313554763794
covid19_twitter,21930716,79,79,train,-0.17254523932933807,-0.006265074014663696,-0.013792894780635834,-0.02577298879623413,0.05763234943151474,0.049708396196365356,-0.029223740100860596,-0.16729505360126495,0.05621209740638733,-1.291367530822754,0.10691022872924805,0.6333348751068115,-0.7771998643875122,0.5409047603607178,0.27643078565597534,-1.0237780809402466,1.2301809787750244,0.7822676301002502
covid19_twitter,11715389,1,1,train,-0.2079099863767624,0.09427720308303833,0.10883934795856476,0.02827322483062744,0.21656808257102966,0.003035174682736397,0.019022703170776367,-0.2944085896015167,-0.07996205985546112,-1.1704907417297363,0.4541308879852295,-2.1320419311523438,-2.3959732055664062,0.1642293930053711,0.4761711061000824,-2.340273857116699,-0.2640414237976074,-0.06382870674133301
covid19_twitter,15711026,1,1,train,-0.2044263482093811,0.0037857741117477417,-0.02334418147802353,0.04280513525009155,0.18288791179656982,0.029276767745614052,0.046034932136535645,-0.27752670645713806,0.008451871573925018,-0.32585713267326355,0.7851803302764893,0.1964573860168457,-1.6389954090118408,0.5272979736328125,0.862360954284668,-1.0663816928863525,0.5519088506698608,1.2310850620269775
covid19_twitter,12975284,4,4,train,-0.17918378114700317,-0.05816732347011566,-0.16752102971076965,-0.00619274377822876,0.22600799798965454,-0.0067336540669202805,0.0017461180686950684,-0.26759910583496094,0.092420794069767,-1.313060998916626,1.6613693237304688,-2.36501407623291,-1.7146944999694824,-0.12416183948516846,0.8992190361022949,-1.5519909858703613,-0.5912525057792664,1.1899981498718262
covid19_twitter,4927293,2,2,train,-0.13668610155582428,-0.12316872179508209,-0.203896164894104,0.03454232215881348,0.12745127081871033,-0.06408009678125381,0.054503798484802246,-0.16760048270225525,0.14131733775138855,-0.9905364513397217,1.7802188396453857,0.13043785095214844,-1.9403393268585205,-0.4574630856513977,1.8013591766357422,-1.716195821762085,-0.7432023286819458,2.7250375747680664
covid19_twitter,1988073,27,27,train,0.12189354747533798,-0.08674809336662292,0.0608864389359951,0.045033931732177734,0.04471074044704437,-0.021689169108867645,0.06056123971939087,0.06740886718034744,0.02023792266845703,-1.4334356784820557,-1.9966180324554443,0.3907756805419922,-1.6592106819152832,0.5322549343109131,-0.6847922801971436,-1.7347514629364014,0.4795703887939453,-0.7458693981170654
covid19_twitter,5955887,1,1,train,-0.14463873207569122,0.05242934823036194,0.043802451342344284,0.06477677822113037,0.10321950167417526,0.08362989127635956,0.05448192358016968,-0.18597814440727234,-0.04261256754398346,-0.2598590850830078,0.6145139932632446,0.33635950088500977,-0.12412405014038086,0.2982569634914398,0.23778676986694336,0.1780937910079956,0.755812406539917,1.60235595703125
covid19_twitter,17300842,6,6,train,-0.0326855331659317,0.042109206318855286,-0.03108244389295578,0.03361344337463379,0.0645294263958931,0.10576985031366348,0.025831758975982666,-0.07181622833013535,-0.057604625821113586,-0.7309893369674683,0.14977192878723145,0.030977964401245117,-1.7088475227355957,2.514052629470825,1.48155677318573,-1.9462299346923828,2.465528964996338,1.7083706855773926
covid19_twitter,1161600,3,3,test,-0.15715745091438293,-0.08045598864555359,-0.09727088361978531,0.06596547365188599,0.025311551988124847,0.038544781506061554,0.07419687509536743,-0.13206730782985687,0.11663445830345154,-1.3868279457092285,0.6039891242980957,2.128021717071533,-1.6822237968444824,0.15323591232299805,0.7803312540054321,-2.0105175971984863,0.44313764572143555,1.5877656936645508
covid19_twitter,12064958,4,4,test,-0.07397027313709259,0.10178925096988678,0.13737115263938904,0.042584896087646484,0.10885689407587051,-0.028682103380560875,0.024175822734832764,-0.1475934088230133,-0.09615157544612885,-0.47036314010620117,-0.16500651836395264,-0.2600278854370117,-1.3288369178771973,1.581780195236206,-0.5783990621566772,-1.3219953775405884,1.3601908683776855,-0.12885499000549316
covid19_twitter,17986443,9,9,train,0.10789855569601059,0.17373894155025482,0.14672885835170746,-0.04015398025512695,-0.009293142706155777,-0.06515185534954071,-0.06676965951919556,0.0654711127281189,-0.18251556158065796,0.38745468854904175,0.13191023468971252,-0.6243746280670166,-1.2798969745635986,0.4000518321990967,-0.3899402618408203,-1.1735469102859497,0.005052708089351654,0.3766216039657593
covid19_twitter,9276899,1,1,test,-0.0686543732881546,0.12251397967338562,0.05685780942440033,0.009401917457580566,0.1530030071735382,0.02247859723865986,-0.01095736026763916,-0.18156149983406067,-0.13678061962127686,-2.536055088043213,-1.6969327926635742,0.8912744522094727,-1.5199187994003296,0.40017127990722656,2.387556791305542,-2.302541732788086,1.081169605255127,-0.36935269832611084
covid19_twitter,14641078,1,1,train,-0.26613569259643555,0.05494458228349686,0.05498995631933212,0.06313365697860718,0.17900243401527405,-0.10087188333272934,0.05243492126464844,-0.3235751986503601,-0.011156246066093445,-1.0813528299331665,1.4843649864196777,-1.8907749652862549,-1.0764522552490234,1.169600009918213,0.6309974193572998,-0.5115556716918945,1.3830816745758057,1.7453117370605469
covid19_twitter,19534580,1,1,train,-0.22453254461288452,0.02463570237159729,-0.010215334594249725,-0.06504672765731812,0.10558425635099411,0.21287600696086884,-0.06743735074996948,-0.256711483001709,0.00732111930847168,-0.8810788989067078,1.563028335571289,-1.820558786392212,-0.4669322967529297,1.0178251266479492,-0.776160478591919,-0.42814159393310547,1.403265357017517,0.011667251586914062
covid19_twitter,6107924,1,1,test,-0.11459186673164368,-0.013235315680503845,-0.09190308302640915,0.0006189942359924316,0.18993988633155823,0.06041255593299866,-0.007618904113769531,-0.2023647129535675,0.03486934304237366,-1.5075763463974,1.4920213222503662,1.7237977981567383,-0.09690088033676147,-1.1342467069625854,0.9116707444190979,-1.233550786972046,-1.0591676235198975,1.71565842628479
covid19_twitter,20025552,1,1,test,-0.038952089846134186,0.10812313109636307,0.01396457850933075,-0.632709801197052,-0.047998733818531036,-0.030031612142920494,-0.6372758746147156,0.005098067224025726,0.07033060491085052,-1.6588175296783447,0.1876099705696106,-0.8038573265075684,0.3622550964355469,-0.8792130947113037,-2.130187511444092,-0.879493236541748,-1.44584321975708,-1.8399057388305664
