scope,dimension,train_eta_squared,test_univariate_gaussian_balanced_accuracy,chance_balanced_accuracy,test_mean_oriented_ovr_auc,test_max_oriented_ovr_auc,best_predicted_graph,ovr_auc_covid19_twitter,ovr_auc_ukr_rus_twitter,ovr_auc_midterm,ovr_auc_cp_hk_twitter,ovr_auc_twibot20,ovr_auc_election2020,ovr_auc_covid_political,ovr_auc_ukr_rus_suspended
all_graphs,0,0.009410535025752599,0.145,0.125,0.5333618427579365,0.5682611111111111,midterm,0.5493321428571428,0.5116541170634921,0.5682611111111111,0.5495083829365079,0.5229527281746031,0.5303029265873016,0.5114857638888889,0.5233975694444444
all_graphs,1,0.004319318194009282,0.14760416666666668,0.125,0.5203401041666668,0.5633133928571429,cp_hk_twitter,0.5099880456349206,0.5188299107142857,0.5244789186507937,0.5633133928571429,0.5261154265873016,0.5014057043650794,0.5080589781746032,0.5105304563492064
all_graphs,2,0.008481871968613738,0.1446875,0.125,0.5265809275793651,0.5478487103174603,ukr_rus_twitter,0.5084113095238095,0.5478487103174603,0.5231828869047619,0.5310591765873016,0.5434953869047618,0.5197301091269841,0.5120390376984127,0.5268808035714285
all_graphs,3,0.1153005155225305,0.17708333333333334,0.125,0.5903093625992063,0.6884897817460317,election2020,0.6071889880952381,0.6041689484126984,0.508406994047619,0.580537251984127,0.5693422619047619,0.6884897817460317,0.6591755456349206,0.5051651289682539
all_graphs,4,0.0369680360758055,0.16489583333333335,0.125,0.5612893849206348,0.6120810515873016,election2020,0.6055612103174604,0.5570046626984126,0.5436591765873016,0.5266337797619047,0.5559578869047619,0.6120810515873016,0.5643115575396825,0.525105753968254
all_graphs,5,0.03806897954475475,0.16062500000000002,0.125,0.5494732142857143,0.6298111607142858,cp_hk_twitter,0.5121162698412698,0.5388258928571428,0.5421527777777778,0.6298111607142858,0.5016999503968254,0.5664152281746032,0.5876249007936508,0.5171395337301588
all_graphs,6,0.040071077566081754,0.1609375,0.125,0.5591562748015874,0.6073036706349206,election2020,0.5328969246031746,0.558653869047619,0.5558891865079365,0.6016005456349207,0.5770341765873016,0.6073036706349206,0.5121509424603174,0.5277208829365079
all_graphs,7,0.06451339612063423,0.16520833333333335,0.125,0.5711532862103175,0.6552630952380952,election2020,0.5856366071428571,0.5888660714285714,0.5235770833333333,0.6101104662698412,0.5211129464285714,0.6552630952380952,0.5752974702380953,0.5093625496031746
all_graphs,8,0.07160431847019594,0.16989583333333333,0.125,0.5780414558531746,0.6753625992063492,election2020,0.5387103174603174,0.5780474206349207,0.5203169642857143,0.5933156746031746,0.5311745535714285,0.6753625992063492,0.6164862599206349,0.5709178571428571
all_graphs,9,0.009470595654130836,0.14708333333333334,0.125,0.5310080233134921,0.562615376984127,ukr_rus_suspended,0.5255126984126984,0.531574255952381,0.5196635912698413,0.5401144841269842,0.5185208333333333,0.5417531250000001,0.5083098214285714,0.562615376984127
