arm,test_bce,test_auc,best_step,stop_step,validation_bce,bias,scale
raw,0.617730489739719,0.9552167346938776,30000,36000,0.613222748759979,0.0,1.0
bias,0.1078197876136288,0.9822438775510204,18000,24000,0.09921725164080203,-6.827045917510986,1.0
affine,0.10736819139521878,0.9820074489795918,18000,24000,0.10090626693314175,-6.8188395500183105,2.7295045852661133
