target,sources,seed,checkpoint_step,roc_auc_ovr_macro,f1_macro,accuracy,classes,support_nodes,test_nodes,checkpoint
ukr_rus_suspended,"covid_political,election2020",0,100,0.4797220930386775,0.4896831340127946,0.4948775213584317,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-election2020_s0/checkpoints/step_100.pt
ukr_rus_suspended,"covid_political,election2020",0,2500,0.49518424567504105,0.5035288748664277,0.5187883299656139,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-election2020_s0/checkpoints/step_2500.pt
ukr_rus_suspended,"covid_political,election2020",0,300,0.49436505525108465,0.49832872489092284,0.5024992023822185,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-election2020_s0/checkpoints/step_300.pt
ukr_rus_suspended,"covid_political,election2020",0,900,0.4928788828473288,0.4998556845802222,0.5123187635151902,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-election2020_s0/checkpoints/step_900.pt
cora,"covid_political,ukr_rus_suspended",0,100,0.8588934162182014,0.5645311025889609,0.5898407884761183,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_100.pt
cora,"covid_political,ukr_rus_suspended",0,2500,0.9242218082308643,0.6930812287431714,0.7069749810462471,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_2500.pt
cora,"covid_political,ukr_rus_suspended",0,300,0.8426653163355172,0.5207211332005913,0.5519332827899924,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_300.pt
cora,"covid_political,ukr_rus_suspended",0,900,0.8977317694991859,0.5960100358014461,0.6167551175132676,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_900.pt
election2020,"covid_political,ukr_rus_suspended",0,100,0.9656693793558657,0.9128078592862616,0.9129536699107867,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_100.pt
election2020,"covid_political,ukr_rus_suspended",0,2500,0.9818465820590346,0.9738518436242489,0.974021695052717,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_2500.pt
election2020,"covid_political,ukr_rus_suspended",0,300,0.9821738287496449,0.9657310991441479,0.9658987226277372,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_300.pt
election2020,"covid_political,ukr_rus_suspended",0,900,0.9818475806428999,0.9728533816097882,0.9730205798864558,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_900.pt
facebook_page_reference,"covid_political,ukr_rus_suspended",0,100,0.6995004271485573,0.09993698427781991,0.1571291455834801,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_100.pt
facebook_page_reference,"covid_political,ukr_rus_suspended",0,2500,0.7874173515220939,0.17513108311044753,0.20029260201466736,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_2500.pt
facebook_page_reference,"covid_political,ukr_rus_suspended",0,300,0.7655390022205396,0.12260534397510622,0.17657692916981169,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_300.pt
facebook_page_reference,"covid_political,ukr_rus_suspended",0,900,0.797189079345904,0.16286584303610868,0.19986394938171517,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_900.pt
pubmed,"covid_political,ukr_rus_suspended",0,100,0.8524669892095001,0.6944620723857479,0.6972621526895921,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_100.pt
pubmed,"covid_political,ukr_rus_suspended",0,2500,0.8738569692170217,0.7275461538708198,0.7315487377457205,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_2500.pt
pubmed,"covid_political,ukr_rus_suspended",0,300,0.8117453115627655,0.6686900603948719,0.6716615025143495,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_300.pt
pubmed,"covid_political,ukr_rus_suspended",0,900,0.8234176840795974,0.6479595316080139,0.6492101386701884,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_900.pt
twibot20,"covid_political,ukr_rus_suspended",0,100,0.515729635020008,0.5079772629072962,0.5081314585803829,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_100.pt
twibot20,"covid_political,ukr_rus_suspended",0,2500,0.5309968325686721,0.5162325890367624,0.5182957818058614,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_2500.pt
twibot20,"covid_political,ukr_rus_suspended",0,300,0.5059833927297589,0.5028198528420882,0.5129595121124851,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_300.pt
twibot20,"covid_political,ukr_rus_suspended",0,900,0.5384501672408278,0.5175395579966,0.52651194307979,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_covid_political-ukr_rus_suspended_s0/checkpoints/step_900.pt
covid_political,"ukr_rus_suspended,election2020",0,100,0.9238124180783907,0.8469545298225629,0.8821136144026852,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_ukr_rus_suspended-election2020_s0/checkpoints/step_100.pt
covid_political,"ukr_rus_suspended,election2020",0,2500,0.8513410899649441,0.67213435426683,0.6948202207191171,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_ukr_rus_suspended-election2020_s0/checkpoints/step_2500.pt
covid_political,"ukr_rus_suspended,election2020",0,300,0.8156194795516105,0.6759956580211985,0.7184305548492091,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_ukr_rus_suspended-election2020_s0/checkpoints/step_300.pt
covid_political,"ukr_rus_suspended,election2020",0,900,0.7831654631528004,0.6229922208590356,0.6483496923155164,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k2_ukr_rus_suspended-election2020_s0/checkpoints/step_900.pt
ukr_rus_suspended,"covid_political,election2020,twibot20",0,100,0.481273953139672,0.48792601664647683,0.49053493565883227,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-election2020-twibot20_s0/checkpoints/step_100.pt
ukr_rus_suspended,"covid_political,election2020,twibot20",0,2500,0.4991331345372436,0.5051233926393958,0.5291219114467014,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-election2020-twibot20_s0/checkpoints/step_2500.pt
ukr_rus_suspended,"covid_political,election2020,twibot20",0,300,0.4997981984965276,0.49892278767194415,0.5021447055904144,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-election2020-twibot20_s0/checkpoints/step_300.pt
ukr_rus_suspended,"covid_political,election2020,twibot20",0,900,0.49943160427469724,0.5031031908911792,0.5236626608529192,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-election2020-twibot20_s0/checkpoints/step_900.pt
cora,"covid_political,ukr_rus_suspended,election2020",0,100,0.87081509957882,0.5668878434615549,0.5887035633055345,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_100.pt
cora,"covid_political,ukr_rus_suspended,election2020",0,2500,0.8932368568630654,0.6305201064171425,0.6474601971190296,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_2500.pt
cora,"covid_political,ukr_rus_suspended,election2020",0,300,0.8304398511028838,0.4769430909317701,0.513267626990144,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_300.pt
cora,"covid_political,ukr_rus_suspended,election2020",0,900,0.8672892446233164,0.5567983227033236,0.5758150113722517,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_900.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020",0,100,0.7173881790164205,0.10539783646758276,0.18878421067345055,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_100.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020",0,2500,0.7888530637833077,0.172541977586398,0.20511960340312915,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_2500.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020",0,300,0.7273950871523066,0.11263688523747817,0.16980235386206705,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_300.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020",0,900,0.782599306943852,0.14613516372165247,0.1925954916925256,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_900.pt
pubmed,"covid_political,ukr_rus_suspended,election2020",0,100,0.8400486287374105,0.7094489755080674,0.7176817189007975,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_100.pt
pubmed,"covid_political,ukr_rus_suspended,election2020",0,2500,0.8129969707883108,0.6436915489661689,0.6431147457713212,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_2500.pt
pubmed,"covid_political,ukr_rus_suspended,election2020",0,300,0.7373636010189794,0.5300041630342173,0.5334992634733581,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_300.pt
pubmed,"covid_political,ukr_rus_suspended,election2020",0,900,0.7459972203698456,0.5710354296401431,0.5640270229085184,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_900.pt
twibot20,"covid_political,ukr_rus_suspended,election2020",0,100,0.4784748261137692,0.48381336561272004,0.4966118922581738,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_100.pt
twibot20,"covid_political,ukr_rus_suspended,election2020",0,2500,0.5277115127636086,0.511109832076193,0.5249025919024225,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_2500.pt
twibot20,"covid_political,ukr_rus_suspended,election2020",0,300,0.5298028845920371,0.5022773169190304,0.5022869727257326,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_300.pt
twibot20,"covid_political,ukr_rus_suspended,election2020",0,900,0.5396314219958787,0.5172093188474627,0.5202439437574115,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-election2020_s0/checkpoints/step_900.pt
election2020,"covid_political,ukr_rus_suspended,twibot20",0,100,0.915771829989866,0.8331624774007909,0.8343217761557178,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-twibot20_s0/checkpoints/step_100.pt
election2020,"covid_political,ukr_rus_suspended,twibot20",0,2500,0.9821775071307158,0.975954915031172,0.9761126317923763,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-twibot20_s0/checkpoints/step_2500.pt
election2020,"covid_political,ukr_rus_suspended,twibot20",0,300,0.9819933105671288,0.960561537039857,0.9607284063260341,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-twibot20_s0/checkpoints/step_300.pt
election2020,"covid_political,ukr_rus_suspended,twibot20",0,900,0.9822810632820204,0.973935794701242,0.9740977291159773,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_covid_political-ukr_rus_suspended-twibot20_s0/checkpoints/step_900.pt
covid_political,"ukr_rus_suspended,election2020,twibot20",0,100,0.8972780299409465,0.8217496239511985,0.8619615521537913,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_100.pt
covid_political,"ukr_rus_suspended,election2020,twibot20",0,2500,0.7922280808698678,0.6195690637373081,0.642018003356558,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_2500.pt
covid_political,"ukr_rus_suspended,election2020,twibot20",0,300,0.8945524329441789,0.7929175240980744,0.8342063774602044,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_300.pt
covid_political,"ukr_rus_suspended,election2020,twibot20",0,900,0.7541179098955488,0.5984272374618892,0.6249046432385699,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k3_ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_900.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference",0,100,0.47790897666001636,0.48981915118392544,0.5001595235563118,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_100.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference",0,2500,0.49962237780383656,0.5049153242625883,0.5270303803750576,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_2500.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference",0,300,0.4987647143341372,0.5008479683203438,0.5078875536176397,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_300.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference",0,900,0.4982135344520387,0.5039258576110869,0.5271190045730086,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_900.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference",0,100,0.4940476351452246,0.49707103533374475,0.5085549720481112,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-facebook_page_reference_s0/checkpoints/step_100.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference",0,2500,0.5215652309600731,0.5101419173606613,0.5150770794511266,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-facebook_page_reference_s0/checkpoints/step_2500.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference",0,300,0.5426384360113181,0.5185992084910626,0.5209215653057767,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-facebook_page_reference_s0/checkpoints/step_300.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference",0,900,0.5399559788025236,0.5214817313679516,0.523801456886329,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-facebook_page_reference_s0/checkpoints/step_900.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20",0,100,0.8976829083739167,0.6075824890039965,0.6383623957543594,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_100.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20",0,2500,0.9115656673967681,0.6408317997078353,0.6633813495072024,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_2500.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20",0,300,0.8403612576452621,0.4906142517192261,0.5420773313115997,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_300.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20",0,900,0.8777126867392304,0.5680305956340809,0.604245640636846,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_900.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20",0,100,0.763693944370306,0.13260375546188563,0.20573462674606058,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_100.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20",0,2500,0.7925768084425819,0.17671409938597468,0.21226692013083223,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_2500.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20",0,300,0.7376836197791108,0.11180689409822714,0.1643696476661728,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_300.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20",0,900,0.7818185952640546,0.15410192585274227,0.19396531641087286,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_900.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20",0,100,0.8816585596966231,0.7667321650580842,0.7736577436887286,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_100.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20",0,2500,0.8134690338196896,0.6449811595645242,0.6419972570731955,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_2500.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20",0,300,0.7611818835127288,0.5786335073247604,0.5789099405699193,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_300.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20",0,900,0.7561560854416713,0.5681230665585553,0.5648905369025246,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0/checkpoints/step_900.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference",0,100,0.9134975809200869,0.8295879726361621,0.8307861922141119,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference_s0/checkpoints/step_100.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference",0,2500,0.9826330371188774,0.9751811280845557,0.9753396188158961,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference_s0/checkpoints/step_2500.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference",0,300,0.9811003485099689,0.9574041702888392,0.9575856650446066,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference_s0/checkpoints/step_300.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference",0,900,0.9827790797668792,0.9735423523391052,0.9737048864557989,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference_s0/checkpoints/step_900.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",0,100,0.8729540649848573,0.7906866909263184,0.8337232365356253,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_100.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",0,2500,0.7976641273002272,0.6262701373916819,0.6520495346590042,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_2500.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",0,300,0.8929298724721317,0.7953708815471243,0.8360753699842344,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_300.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference",0,900,0.7996531602747458,0.6338936185559128,0.6634033463866145,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0/checkpoints/step_900.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference,cora",0,100,0.4892502158773926,0.498043202037295,0.5143571200680633,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-election2020-twibot20-facebook_page_reference-cora_s0/checkpoints/step_100.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference,cora",0,2500,0.49619606457280985,0.5024785588203042,0.5258959906412847,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-election2020-twibot20-facebook_page_reference-cora_s0/checkpoints/step_2500.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference,cora",0,300,0.48463715384127304,0.49231362464449757,0.49739444858024034,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-election2020-twibot20-facebook_page_reference-cora_s0/checkpoints/step_300.pt
ukr_rus_suspended,"covid_political,election2020,twibot20,facebook_page_reference,cora",0,900,0.4995995128109462,0.5008633227856858,0.5150306639724911,2,20,56418,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-election2020-twibot20-facebook_page_reference-cora_s0/checkpoints/step_900.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora",0,100,0.48611283043923526,0.49101495596678246,0.49712010841944776,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-facebook_page_reference-cora_s0/checkpoints/step_100.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora",0,2500,0.5454357574245968,0.5217679197459862,0.5217685922412333,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-facebook_page_reference-cora_s0/checkpoints/step_2500.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora",0,300,0.53354537847072,0.5145833419440347,0.5146535659833983,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-facebook_page_reference-cora_s0/checkpoints/step_300.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora",0,900,0.5572915607989466,0.5234599656486532,0.5234626461121463,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-facebook_page_reference-cora_s0/checkpoints/step_900.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora",0,100,0.7937959928219246,0.15241887551960245,0.2178673599657078,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-twibot20-cora_s0/checkpoints/step_100.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora",0,2500,0.7907479774981493,0.17117911621439685,0.20566939699756787,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-twibot20-cora_s0/checkpoints/step_2500.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora",0,300,0.7535783247900881,0.11835649211777403,0.18143188616477035,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/ladder_s0/ladder_k5_covid_political-ukr_rus_suspended-election2020-twibot20-cora_s0/checkpoints/step_300.pt
