model	reporting_paper	acc	f1	auc
Lee et al.	TwiBot-20 (2021)	74.56	78.23	
Yang et al.	TwiBot-20 (2021)	81.91	85.46	
Kudugunta et al.	TwiBot-20 (2021)	81.74	75.17	
Wei et al.	TwiBot-20 (2021)	71.26	75.33	
Miller et al.	TwiBot-20 (2021)	48.01	62.66	
Cresci et al.	TwiBot-20 (2021)	47.93	10.72	
Botometer	TwiBot-20 (2021)	55.84	48.92	
Alhosseini et al.	TwiBot-20 (2021)	68.13	73.18	
Lee et al.	BotRGCN (2021)	74.56	78.23	
Yang et al.	BotRGCN (2021)	81.91	85.46	
Kudugunta et al.	BotRGCN (2021)	81.74	75.17	
Wei et al.	BotRGCN (2021)	71.26	75.33	
Miller et al.	BotRGCN (2021)	48.01	62.66	
Cresci et al.	BotRGCN (2021)	47.93	10.72	
Botometer	BotRGCN (2021)	55.84	48.92	
Alhosseini et al.	BotRGCN (2021)	68.13	73.18	
SATAR	BotRGCN (2021)	84.12	86.42	
BotRGCN	BotRGCN (2021)	84.62	87.07	
EvolveBot	BotDGT (2024)	65.83±0.63	69.75±0.50	
Varol et al.	BotDGT (2024)	78.74±0.55	81.08±0.48	
BotBuster	BotDGT (2024)	78.55±0.44	82.12±0.61	
DeeProBot	BotDGT (2024)	73.14±0.01	77.05±0.02	
SGBot	BotDGT (2024)	79.50±0.72	84.15±0.53	
GCN	BotDGT (2024)	83.51±0.56	84.81±0.42	
GAT	BotDGT (2024)	85.04±0.38	86.65±0.61	
BotRGCN	BotDGT (2024)	85.83±0.38	87.44±0.42	
RGT	BotDGT (2024)	86.53±0.47	87.74±0.62	
BotDGT	BotDGT (2024)	87.25±0.51	88.87±0.55	
GCN	SeBot (2024)	77.53±1.73	80.86±0.86	
GAT	SeBot (2024)	83.27±0.56	85.25±0.38	
GraphSAGE	SeBot (2024)	85.44±0.43	86.68±0.61	
FAGCN	SeBot (2024)	85.43±0.40	87.36±0.32	
H2GCN	SeBot (2024)	85.84±0.34	87.57±0.15	
GPRGNN	SeBot (2024)	86.05±0.34	87.50±0.30	
Alhosseini et al.	SeBot (2024)	59.88±0.59	72.07±0.48	
BotRGCN	SeBot (2024)	85.75±0.69	87.25±0.74	
FriendBot	SeBot (2024)	75.89±0.47	79.97±0.34	
RGT	SeBot (2024)	86.57±0.42	88.01±0.42	
DGI	SeBot (2024)	84.93±0.31	87.09±0.36	
GBT	SeBot (2024)	84.74±0.92	86.87±0.79	
GRACE	SeBot (2024)	84.74±0.88	86.90±0.84	
SeBot	SeBot (2024)	87.24±0.10	88.74±0.13	
Lee et al.	DFG-NAS (2024)	74.56	78.23	
Yang et al.	DFG-NAS (2024)	81.91	85.46	
Kudugunta and Ferrara	DFG-NAS (2024)	81.74	75.17	
Wei and Nguyen	DFG-NAS (2024)	71.26	75.33	
Miller et al.	DFG-NAS (2024)	48.01	62.66	
Cresci et al.	DFG-NAS (2024)	47.93	10.72	
Botometer (Davis et al.)	DFG-NAS (2024)	55.84	48.92	
Alhosseini et al.	DFG-NAS (2024)	68.13	73.18	
SATAR	DFG-NAS (2024)	84.12	86.42	
BotRGCN	DFG-NAS (2024)	84.62	87.07	
Ilias et al. multimodal transformer	DFG-NAS (2024)	74.66	76.30	
DFG-NAS	DFG-NAS (2024)	85.68±0.40	87.12±0.30	
GCN	TopoMSG (2026)	73.61±0.63	75.16±0.92	
RGCN	TopoMSG (2026)	85.48±1.31	86.94±1.92	
GAT	TopoMSG (2026)	77.21±0.47	79.46±0.51	
RGT	TopoMSG (2026)	85.53±1.14	86.81±1.48	
NodeFormer	TopoMSG (2026)	86.66±0.15	88.25±0.13	
TopoMSG	TopoMSG (2026)	87.15±0.08	88.64±0.10	
MLP	HW-GNN (2025)	83.89	81.71	
GCN	HW-GNN (2025)	77.52	80.85	
GAT	HW-GNN (2025)	83.33	81.26	
BotRGCN	HW-GNN (2025)	85.86	87.33	
H2GCN	HW-GNN (2025)	88.23	89.14	
GPR-GNN	HW-GNN (2025)	87.47	88.84	
SlimG	HW-GNN (2025)	86.55	87.97	
RGT	HW-GNN (2025)	86.67	88.22	
BSG4Bot	HW-GNN (2025)	89.15	89.89	
BWGNN	HW-GNN (2025)	85.23	87.62	
BernNet	HW-GNN (2025)	87.78	88.43	
JacobiConv	HW-GNN (2025)	84.58	88.01	
TFGNN	HW-GNN (2025)	88.98	89.13	
HW-Beta	HW-GNN (2025)	87.23	88.16	
HW-Jacobi	HW-GNN (2025)	88.80	88.50	
HW-GNN (HW-BernStein)	HW-GNN (2025)	90.37	91.51	
GCN	BotSSCL (2025)	79	81	0.84
GraphSAGE	BotSSCL (2025)	86	87	0.92
GAT	BotSSCL (2025)	82	83	0.87
BGSRD	BotSSCL (2025)	54	70	0.50
Alhosseini et al.	BotSSCL (2025)	67	66	0.59
FriendBot	BotSSCL (2025)	78	81	0.78
EvolveBot	BotSSCL (2025)	66	70	0.65
BotRGCN	BotSSCL (2025)	85	86	0.92
SATAR (0)	BotSSCL (2025)	66	73	0.70
SATAR (1)	BotSSCL (2025)	79	82	0.81
SATAR (2)	BotSSCL (2025)	79	83	0.79
CACL	BotSSCL (2025)	84	87	0.89
SeBot	BotSSCL (2025)	86	87	0.93
BotSSCL (64×128)	BotSSCL (2025)	86	86	0.92
