model	reporting_paper	acc	f1	auc
SGBot	TwiBot-22	75.10±0.10		
Kudugunta et al.	TwiBot-22	65.90±0.00		
Hayawi et al.	TwiBot-22	76.50±0.00		
BotHunter	TwiBot-22	72.80±0.00		
NameBot	TwiBot-22	70.60±0.00		
Abreu et al.	TwiBot-22	70.70±0.10		
Wei et al.	TwiBot-22	70.20±1.20		
BGSRD	TwiBot-22	71.90±1.80		
RoBERTa	TwiBot-22	72.10±0.10		
T5	TwiBot-22	72.10±0.10		
Efthimion et al.	TwiBot-22	74.10±0.00		
Kantepe et al.	TwiBot-22	76.40±2.40		
Miller et al.	TwiBot-22	30.40±0.10		
Varol et al.	TwiBot-22	73.90±0.00		
Kouvela et al.	TwiBot-22	76.40±0.00		
Lee et al.	TwiBot-22	76.30±0.10		
LOBO	TwiBot-22	75.70±0.10		
Moghaddam et al.	TwiBot-22	73.80±0.00	32.10	
Alhosseini et al.	TwiBot-22	47.70±8.70	5.70	
Knauth et al.	TwiBot-22	71.30±0.00	37.10	
Botometer	TwiBot-22	49.90		
Rodríguez-Ruiz et al.	TwiBot-22	49.40±0.00		
EvolveBot	TwiBot-22	71.10±0.10	14.10	
GCN	TwiBot-22	78.40±0.00		
GAT	TwiBot-22	79.50±0.00		
HGT	TwiBot-22	74.90±0.10		
SimpleHGN	TwiBot-22	76.70±0.30		
BotRGCN	TwiBot-22	79.70±0.10	57.50	
RGT	TwiBot-22	76.50±0.40	42.90	
SIRAN	SIRAN	65.67±2.85	71.95±2.04	65.59±2.81
SEGCN	SEGCN	82.71±0.16	59.31±0.12	82.31±0.49
BotDGT	BotDGT	79.33±0.22	58.15±0.74	
BSG4Bot	BSG4Bot	79.93±0.20	59.42±1.30	
HW-GNN (HW-BernStein)	HW-GNN	80.73	61.95	
TopoMSG	TopoMSG	92.70±0.09	66.67±1.01	
CB-MTE	CB-MTE	82.14	80.84	
AdapTGN	AdapTGN		88.92	94.18
SGBot	What Does the Bot Say?	62.30	39.50	
BotPercent	What Does the Bot Say?	73.10	72.60	
RoBERTa	What Does the Bot Say?	63.30	43.20	
Botometer	What Does the Bot Say?	75.50	58.50	
BotBuster	What Does the Bot Say?	62.70	43.90	
LOBO	What Does the Bot Say?	55.20	19.80	
RGT	What Does the Bot Say?	50.90	50.90	
Mistral-7B metadata	What Does the Bot Say?	53.20	20.10	
Mistral-7B text	What Does the Bot Say?	57.90	59.90	
Mistral-7B metadata + text	What Does the Bot Say?	55.60	47.80	
Mistral-7B structure-random	What Does the Bot Say?	60.90	67.80	
Mistral-7B structure-attention	What Does the Bot Say?	60.30	66.20	
Mistral-7B ensemble	What Does the Bot Say?	58.20	53.30	
LLaMA2-70B metadata	What Does the Bot Say?	62.70	71.30	
LLaMA2-70B text	What Does the Bot Say?	57.40	61.70	
LLaMA2-70B metadata + text	What Does the Bot Say?	67.90	73.10	
LLaMA2-70B structure-random	What Does the Bot Say?	63.90	63.70	
LLaMA2-70B structure-attention	What Does the Bot Say?	62.40	62.20	
LLaMA2-70B ensemble	What Does the Bot Say?	66.80	68.50	
ChatGPT metadata	What Does the Bot Say?	65.90	69.80	
ChatGPT text	What Does the Bot Say?	68.80	68.40	
ChatGPT metadata + text	What Does the Bot Say?	65.90	68.10	
ChatGPT structure-random	What Does the Bot Say?	63.80	51.40	
ChatGPT structure-attention	What Does the Bot Say?	63.20	50.00	
ChatGPT ensemble	What Does the Bot Say?	73.50	70.60	
ChatGPT-IT metadata	What Does the Bot Say?	72.40	76.40	
ChatGPT-IT text	What Does the Bot Say?	72.70	76.60	
ChatGPT-IT metadata + text	What Does the Bot Say?	72.10	75.80	
ChatGPT-IT structure-random	What Does the Bot Say?	71.80	76.10	
ChatGPT-IT structure-attention	What Does the Bot Say?	72.70	76.60	
ChatGPT-IT ensemble	What Does the Bot Say?	76.90	79.20	
Majority baseline	MAG-Bot	28.03	0.00	
All-feature XGBoost	MAG-Bot	73.33	83.88	
All-feature logistic regression	MAG-Bot	72.65	83.90	
Single-LLM auditor	MAG-Bot	58.46	67.47	
MAG-Bot	MAG-Bot	70.17	80.28	
