train_task,eval_task,metric,value,run_dir
nm,nm,accuracy,0.9152604167,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,nm,f1,0.915258088,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,nm,roc_auc,0.9873771734,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,nm,loss,0.2120952159,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,nm,aux_loss,0,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,nm,primary,0.9873771734,eval_covid_task_transfer_nm_to_nm_01_07_2026_18_25_53
nm,cl,accuracy,0.934296875,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,cl,f1,0.9343533819,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,cl,roc_auc,0.9991860059,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,cl,loss,0.3031050265,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,cl,aux_loss,0,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,cl,primary,0.9991860059,eval_covid_task_transfer_nm_to_cl_01_07_2026_18_25_53
nm,fp,score,-0.7915150158,eval_covid_task_transfer_nm_to_fp_01_07_2026_18_25_53
nm,fp,score_std,0.3951908599,eval_covid_task_transfer_nm_to_fp_01_07_2026_18_25_53
nm,fp,loss,0.7915149927,eval_covid_task_transfer_nm_to_fp_01_07_2026_18_25_53
nm,fp,aux_loss,0,eval_covid_task_transfer_nm_to_fp_01_07_2026_18_25_53
nm,fp,primary,-0.7915150158,eval_covid_task_transfer_nm_to_fp_01_07_2026_18_25_53
cl,nm,accuracy,0.7299739583,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,nm,f1,0.7299615339,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,nm,roc_auc,0.8358612513,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,nm,loss,17.65811157,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,nm,aux_loss,0,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,nm,primary,0.8358612513,eval_covid_task_transfer_cl_to_nm_01_07_2026_18_27_30
cl,cl,accuracy,0.936796875,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,cl,f1,0.9368948714,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,cl,roc_auc,0.9995053328,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,cl,loss,0.1060831249,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,cl,aux_loss,0,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,cl,primary,0.9995053328,eval_covid_task_transfer_cl_to_cl_01_07_2026_18_27_30
cl,fp,score,-0.2500387191,eval_covid_task_transfer_cl_to_fp_01_07_2026_18_27_30
cl,fp,score_std,0.1078645319,eval_covid_task_transfer_cl_to_fp_01_07_2026_18_27_30
cl,fp,loss,0.2500387132,eval_covid_task_transfer_cl_to_fp_01_07_2026_18_27_30
cl,fp,aux_loss,0,eval_covid_task_transfer_cl_to_fp_01_07_2026_18_27_30
cl,fp,primary,-0.2500387191,eval_covid_task_transfer_cl_to_fp_01_07_2026_18_27_30
fp,nm,accuracy,0.3364322917,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,nm,f1,0.3310037326,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,nm,roc_auc,0.4999840515,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,nm,loss,1.307669282,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,nm,aux_loss,0,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,nm,primary,0.4999840515,eval_covid_task_transfer_fp_to_nm_01_07_2026_18_29_06
fp,cl,accuracy,0.06265625,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,cl,f1,0.05209978152,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,cl,roc_auc,0.4999789233,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,cl,loss,2.990217209,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,cl,aux_loss,0,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,cl,primary,0.4999789233,eval_covid_task_transfer_fp_to_cl_01_07_2026_18_29_06
fp,fp,score,-0.0005656078485,eval_covid_task_transfer_fp_to_fp_01_07_2026_18_29_06
fp,fp,score_std,3.838343514e-05,eval_covid_task_transfer_fp_to_fp_01_07_2026_18_29_06
fp,fp,loss,0.0005656078574,eval_covid_task_transfer_fp_to_fp_01_07_2026_18_29_06
fp,fp,aux_loss,0,eval_covid_task_transfer_fp_to_fp_01_07_2026_18_29_06
fp,fp,primary,-0.0005656078485,eval_covid_task_transfer_fp_to_fp_01_07_2026_18_29_06
