order,rung,added,source_count,sources,best_loss,final_loss,best_epoch,final_epoch,epochs_run,training_seconds,loss_aggregation,history_entries,row_metrics_path
A,1,ukr_rus_twitter,1,ukr_rus_twitter,0.0011024728883057833,0.0012749157613143325,195,199,200,928.0868647098541,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_01/samgpt_nm_ladder_ordA_r01_20260805T105546Z/row_metrics.json
A,2,covid19_twitter,2,ukr_rus_twitter;covid19_twitter,0.000529936864040792,0.0008287593955174088,195,199,200,1142.7619235515594,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_02/samgpt_nm_ladder_ordA_r02_20260805T105653Z/row_metrics.json
A,3,midterm,3,ukr_rus_twitter;covid19_twitter;midterm,0.0006981515422618637,0.0008054349649076661,198,199,200,1353.3115973472595,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_03/samgpt_nm_ladder_ordA_r03_20260805T130738Z/row_metrics.json
A,4,covid_political,4,ukr_rus_twitter;covid19_twitter;midterm;covid_political,0.0007263410298037343,0.0007710280988248996,197,199,200,1430.8435349464417,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_04/samgpt_nm_ladder_ordA_r04_20260805T130738Z/row_metrics.json
A,5,election2020,5,ukr_rus_twitter;covid19_twitter;midterm;covid_political;election2020,0.000749232922680676,0.0008004764298675582,198,199,200,1732.3730809688568,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_05/samgpt_nm_ladder_ordA_r05_20260805T133255Z/row_metrics.json
A,6,ukr_rus_suspended,6,ukr_rus_twitter;covid19_twitter;midterm;covid_political;election2020;ukr_rus_suspended,0.0011982901681525011,0.0012427023175405338,197,199,200,1822.9287221431732,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_06/samgpt_nm_ladder_ordA_r06_20260805T133357Z/row_metrics.json
A,7,twibot20,7,ukr_rus_twitter;covid19_twitter;midterm;covid_political;election2020;ukr_rus_suspended;twibot20,0.0010919043603020587,0.001131261802843905,196,199,200,2241.237411737442,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_07/samgpt_nm_ladder_ordA_r07_20260805T140426Z/row_metrics.json
A,8,cp_hk_twitter,8,ukr_rus_twitter;covid19_twitter;midterm;covid_political;election2020;ukr_rus_suspended;twibot20;cp_hk_twitter,0.00109519793659274,0.0012117258920625318,198,199,200,2478.8891928195953,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_08/samgpt_nm_ladder_ordA_r08_20260805T140701Z/row_metrics.json
A,9,facebook_page_reference,9,ukr_rus_twitter;covid19_twitter;midterm;covid_political;election2020;ukr_rus_suspended;twibot20;cp_hk_twitter;facebook_page_reference,0.001733421056997031,0.0018464637105353177,198,199,200,2679.23375082016,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_A/rung_09/samgpt_nm_ladder_ordA_r09_20260805T144442Z/row_metrics.json
B,1,ukr_rus_suspended,1,ukr_rus_suspended,0.0007798884180374444,0.0008726362721063197,197,199,200,92.46650552749634,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_01/samgpt_nm_ladder_ordB_r01_20260805T110908Z/row_metrics.json
B,2,election2020,2,ukr_rus_suspended;election2020,0.001090422971174121,0.001090422971174121,199,199,200,397.3405225276947,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_02/samgpt_nm_ladder_ordB_r02_20260805T111014Z/row_metrics.json
B,3,ukr_rus_twitter,3,ukr_rus_suspended;election2020;ukr_rus_twitter,0.0013642919948324561,0.0013642919948324561,199,199,200,1319.6665332317352,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_03/samgpt_nm_ladder_ordB_r03_20260805T111242Z/row_metrics.json
B,4,facebook_page_reference,4,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference,0.0014203303726390004,0.0014203303726390004,199,199,200,1520.9535257816315,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_04/samgpt_nm_ladder_ordB_r04_20260805T145053Z/row_metrics.json
B,5,cp_hk_twitter,5,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference;cp_hk_twitter,0.0015937380492687225,0.0017335234791971744,198,199,200,1758.1146247386932,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_05/samgpt_nm_ladder_ordB_r05_20260805T151830Z/row_metrics.json
B,6,covid_political,6,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference;cp_hk_twitter;covid_political,0.0016274387307930738,0.0016274387307930738,199,199,200,1835.4465246200562,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_06/samgpt_nm_ladder_ordB_r06_20260805T153145Z/row_metrics.json
B,7,covid19_twitter,7,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference;cp_hk_twitter;covid_political;covid19_twitter,0.0015450830355153552,0.0015450830355153552,199,199,200,2047.7606739997864,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_07/samgpt_nm_ladder_ordB_r07_20260805T155006Z/row_metrics.json
B,8,midterm,8,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference;cp_hk_twitter;covid_political;covid19_twitter;midterm,0.0014569196646334603,0.0015343700360972434,198,199,200,2260.2208411693573,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_08/samgpt_nm_ladder_ordB_r08_20260805T160454Z/row_metrics.json
B,9,twibot20,9,ukr_rus_suspended;election2020;ukr_rus_twitter;facebook_page_reference;cp_hk_twitter;covid_political;covid19_twitter;midterm;twibot20,0.001299217569693509,0.0013450744736474007,197,199,200,2678.369834423065,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_B/rung_09/samgpt_nm_ladder_ordB_r09_20260805T164513Z/row_metrics.json
C,1,twibot20,1,twibot20,0.0009145512012764812,0.0010129676666110754,195,199,200,419.44232988357544,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_01/samgpt_nm_ladder_ordC_r01_20260805T111848Z/row_metrics.json
C,2,midterm,2,twibot20;midterm,0.0010989145375788212,0.0011024575214833021,197,199,200,632.6483142375946,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_02/samgpt_nm_ladder_ordC_r02_20260805T111918Z/row_metrics.json
C,3,covid19_twitter,3,twibot20;midterm;covid19_twitter,0.0009112234741526967,0.0009112234741526967,199,199,200,845.3572556972504,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_03/samgpt_nm_ladder_ordC_r03_20260805T170059Z/row_metrics.json
C,4,covid_political,4,twibot20;midterm;covid19_twitter;covid_political,0.0008103178079181816,0.0008654362027300522,197,199,200,922.7493190765381,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_04/samgpt_nm_ladder_ordC_r04_20260805T171713Z/row_metrics.json
C,5,cp_hk_twitter,5,twibot20;midterm;covid19_twitter;covid_political;cp_hk_twitter,0.0010435740172397346,0.0010635614686179905,196,199,200,1163.8323838710785,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_05/samgpt_nm_ladder_ordC_r05_20260805T172801Z/row_metrics.json
C,6,facebook_page_reference,6,twibot20;midterm;covid19_twitter;covid_political;cp_hk_twitter;facebook_page_reference,0.001144387594346578,0.001144387594346578,199,199,200,1369.4853327274323,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_06/samgpt_nm_ladder_ordC_r06_20260805T172900Z/row_metrics.json
C,7,ukr_rus_twitter,7,twibot20;midterm;covid19_twitter;covid_political;cp_hk_twitter;facebook_page_reference;ukr_rus_twitter,0.0012551159868183146,0.0012551159868183146,199,199,200,2287.0860447883606,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_07/samgpt_nm_ladder_ordC_r07_20260805T173459Z/row_metrics.json
C,8,election2020,8,twibot20;midterm;covid19_twitter;covid_political;cp_hk_twitter;facebook_page_reference;ukr_rus_twitter;election2020,0.0014287386875366792,0.001453449764085235,193,199,200,2591.2999336719513,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_08/samgpt_nm_ladder_ordC_r08_20260805T173732Z/row_metrics.json
C,9,ukr_rus_suspended,9,twibot20;midterm;covid19_twitter;covid_political;cp_hk_twitter;facebook_page_reference;ukr_rus_twitter;election2020;ukr_rus_suspended,0.0013885025982744992,0.0014133269012543475,195,199,200,2684.5268716812134,mean_of_per_source_bce,200,/scratch2/eibl/facebook_fb_benchmark/logs/samgpt_nm_ladder_9x3/order_C/rung_09/samgpt_nm_ladder_ordC_r09_20260805T174941Z/row_metrics.json
