order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean
A,1,ukr_rus_twitter,1,0.08537222222222222,0.16644444444444445,0.1275888888888889,0.17009444444444444,0.14666666666666667,0.14833333333333334,0.2581777777777778,0.09221666666666667,0.5254833333333333,0.1911530864197531
A,2,covid19_twitter,2,0.08601666666666667,0.16752777777777778,0.12894444444444444,0.17105,0.1458,0.1532,0.25855555555555554,0.09213333333333333,0.534,0.1930253086419753
A,3,midterm,3,0.08587777777777778,0.16537222222222223,0.12791111111111111,0.16928333333333334,0.14366666666666666,0.15286666666666668,0.2550277777777778,0.09231666666666667,0.5363666666666667,0.19207654320987655
A,4,covid_political,4,0.08525,0.16461666666666666,0.12758333333333333,0.16791666666666666,0.1418,0.15506666666666666,0.2499888888888889,0.09266666666666666,0.53845,0.1914820987654321
A,5,election2020,5,0.08581111111111112,0.16645555555555555,0.12863333333333332,0.1695111111111111,0.143,0.1532,0.25475,0.09278333333333333,0.5369333333333334,0.19234197530864197
A,6,ukr_rus_suspended,6,0.08727777777777777,0.16996111111111112,0.13085555555555556,0.1718888888888889,0.14526666666666666,0.1612,0.2597777777777778,0.09266666666666666,0.54825,0.19634938271604938
A,7,twibot20,7,0.08703333333333334,0.16777777777777778,0.12976666666666667,0.16968333333333332,0.1424,0.15793333333333334,0.2564611111111111,0.09266666666666666,0.5410666666666667,0.19386543209876544
A,8,cp_hk_twitter,8,0.08713333333333333,0.16776666666666668,0.1298388888888889,0.17054444444444444,0.1438,0.16,0.2563,0.09231666666666667,0.54385,0.19461666666666666
A,9,facebook_page_reference,9,0.08609444444444445,0.1681388888888889,0.1288111111111111,0.17012777777777777,0.14206666666666667,0.1578,0.25326666666666664,0.09235,0.5378166666666667,0.19294135802469134
B,1,ukr_rus_suspended,1,0.0950388888888889,0.19488333333333333,0.1444111111111111,0.18952222222222223,0.15646666666666667,0.18366666666666667,0.30569444444444444,0.0974,0.5511833333333334,0.21314074074074074
B,2,election2020,2,0.0928,0.1874888888888889,0.13803888888888888,0.18108333333333335,0.15233333333333332,0.17206666666666667,0.29054444444444444,0.09618333333333333,0.5521833333333334,0.20696913580246912
B,3,ukr_rus_twitter,3,0.08996666666666667,0.17938888888888888,0.1355222222222222,0.17777777777777778,0.14906666666666665,0.16673333333333334,0.2771888888888889,0.09435,0.5493,0.20214382716049384
B,4,facebook_page_reference,4,0.08813333333333333,0.17622222222222222,0.13345,0.17700555555555555,0.1454,0.16133333333333333,0.26927222222222225,0.09391666666666666,0.5427333333333333,0.19860740740740743
B,5,cp_hk_twitter,5,0.08771111111111111,0.17392222222222223,0.1318888888888889,0.17646666666666666,0.14666666666666667,0.1604,0.26677222222222224,0.0937,0.5464,0.1982141975308642
B,6,covid_political,6,0.0875,0.1741888888888889,0.1327888888888889,0.17590555555555556,0.14753333333333332,0.16266666666666665,0.26885,0.09398333333333334,0.5480666666666667,0.1990537037037037
B,7,covid19_twitter,7,0.08725,0.17153333333333334,0.13105,0.17442777777777776,0.147,0.16313333333333332,0.26359444444444446,0.09335,0.54725,0.19762098765432098
B,8,midterm,8,0.08733333333333333,0.17277222222222222,0.1317888888888889,0.17535,0.1468,0.1618,0.26502777777777775,0.09305,0.5474833333333333,0.19793395061728394
B,9,twibot20,9,0.08591666666666667,0.16682777777777777,0.12827222222222223,0.16937777777777777,0.13986666666666667,0.15686666666666665,0.24973333333333333,0.09215,0.5377666666666666,0.19186419753086417
C,1,twibot20,1,0.08471666666666666,0.16067777777777778,0.12552777777777777,0.16832222222222223,0.14026666666666668,0.15693333333333334,0.2419111111111111,0.09248333333333333,0.5349833333333334,0.18953580246913582
C,2,midterm,2,0.08482777777777778,0.1627222222222222,0.12649444444444444,0.1677,0.139,0.15053333333333332,0.24177222222222222,0.09153333333333333,0.5274666666666666,0.18800555555555556
C,3,covid19_twitter,3,0.08543333333333333,0.16466666666666666,0.12675,0.1667722222222222,0.14086666666666667,0.1512,0.24899444444444443,0.09098333333333333,0.53185,0.1897240740740741
C,4,covid_political,4,0.08511666666666666,0.1620888888888889,0.12669444444444444,0.16602777777777777,0.13986666666666667,0.1528,0.2432,0.0923,0.5339833333333334,0.18911975308641976
C,5,cp_hk_twitter,5,0.0847,0.16224444444444444,0.12657222222222222,0.16712777777777776,0.14166666666666666,0.1516,0.24463333333333334,0.09091666666666667,0.5344833333333333,0.18932716049382714
C,6,facebook_page_reference,6,0.08538333333333334,0.16408333333333333,0.12752222222222223,0.1683,0.14173333333333332,0.15593333333333334,0.24773333333333333,0.09261666666666667,0.5301,0.1903783950617284
C,7,ukr_rus_twitter,7,0.085,0.16327777777777777,0.12796666666666667,0.16872222222222222,0.14006666666666667,0.15333333333333332,0.2472111111111111,0.09226666666666666,0.5286333333333333,0.1896086419753086
C,8,election2020,8,0.08487777777777777,0.1643388888888889,0.12861666666666666,0.1695222222222222,0.14213333333333333,0.15406666666666666,0.24929444444444446,0.09248333333333333,0.5264333333333333,0.1901962962962963
C,9,ukr_rus_suspended,9,0.08636111111111111,0.1682722222222222,0.12960555555555556,0.17037777777777777,0.142,0.1584,0.25360555555555553,0.09246666666666667,0.5413833333333333,0.19360802469135802
