order,rung,added,source_count,source,best_epoch_source_loss,final_epoch_source_loss
A,1,ukr_rus_twitter,1,ukr_rus_twitter,0.0011024728883057833,0.0012749157613143325
A,2,covid19_twitter,2,covid19_twitter,0.00017369822307955474,0.00021497929992619902
A,2,covid19_twitter,2,ukr_rus_twitter,0.0008861755486577749,0.001442539505660534
A,3,midterm,3,covid19_twitter,0.00025709482724778354,0.00017960334662348032
A,3,midterm,3,midterm,0.0008369387942366302,0.0012150818947702646
A,3,midterm,3,ukr_rus_twitter,0.0010004210053011775,0.0010216196533292532
A,4,covid_political,4,covid_political,0.000463575852336362,0.0005160288419574499
A,4,covid_political,4,covid19_twitter,0.0001619802205823362,0.00015802201232872903
A,4,covid_political,4,midterm,0.0010635309154167771,0.001130306744016707
A,4,covid_political,4,ukr_rus_twitter,0.0012162771308794618,0.0012797547969967127
A,5,election2020,5,covid_political,0.0006461291923187673,0.0006420284626074135
A,5,election2020,5,covid19_twitter,0.00014234863920137286,0.00014571934298146516
A,5,election2020,5,election2020,0.00016859383322298527,0.00027367283473722637
A,5,election2020,5,midterm,0.0013545824913308024,0.0014530564658343792
A,5,election2020,5,ukr_rus_twitter,0.001434510457329452,0.0014879050431773067
A,6,ukr_rus_suspended,6,covid_political,0.0007016701274551451,0.0008876664214767516
A,6,ukr_rus_suspended,6,covid19_twitter,0.00032752592233009636,0.0005250521353445947
A,6,ukr_rus_suspended,6,election2020,0.0003113681741524488,0.00032405214733444154
A,6,ukr_rus_suspended,6,midterm,0.001295478898100555,0.0012592474231496453
A,6,ukr_rus_suspended,6,ukr_rus_suspended,0.0027874454390257597,0.0027994299307465553
A,6,ukr_rus_suspended,6,ukr_rus_twitter,0.0017662524478510022,0.0016607658471912146
A,7,twibot20,7,covid_political,0.0006685136468149722,0.0006404151790775359
A,7,twibot20,7,covid19_twitter,0.0004134772752877325,0.0003570331318769604
A,7,twibot20,7,election2020,0.00029868556885048747,0.00023412943119183183
A,7,twibot20,7,midterm,0.0008413439500145614,0.001179636805318296
A,7,twibot20,7,twibot20,0.0013407958904281259,0.0012925274204462767
A,7,twibot20,7,ukr_rus_suspended,0.002398599172011018,0.002502145478501916
A,7,twibot20,7,ukr_rus_twitter,0.0016819150187075138,0.0017129451734945178
A,8,cp_hk_twitter,8,covid_political,0.0007420268375426531,0.0008408363210037351
A,8,cp_hk_twitter,8,covid19_twitter,0.00021126460342202336,0.00046381194260902703
A,8,cp_hk_twitter,8,cp_hk_twitter,0.0007061915239319205,0.0007818436133675277
A,8,cp_hk_twitter,8,election2020,0.00019048224203288555,0.000374960305634886
A,8,cp_hk_twitter,8,midterm,0.0009670709259808064,0.0011634096736088395
A,8,cp_hk_twitter,8,twibot20,0.0013676759554073215,0.0014239702140912414
A,8,cp_hk_twitter,8,ukr_rus_suspended,0.002844655653461814,0.002903082175180316
A,8,cp_hk_twitter,8,ukr_rus_twitter,0.0017322157509624958,0.0017418928910046816
A,9,facebook_page_reference,9,covid_political,0.0007907993858680129,0.0007872256683185697
A,9,facebook_page_reference,9,covid19_twitter,0.0004807997029274702,0.0014104056172072887
A,9,facebook_page_reference,9,cp_hk_twitter,0.001219644327647984,0.0009507472859695554
A,9,facebook_page_reference,9,election2020,0.0005324057419784367,0.0005954551161266863
A,9,facebook_page_reference,9,facebook_page_reference,0.0027475361712276936,0.002766337711364031
A,9,facebook_page_reference,9,midterm,0.0013774455292150378,0.0010906236711889505
A,9,facebook_page_reference,9,twibot20,0.0019751570653170347,0.0022748273331671953
A,9,facebook_page_reference,9,ukr_rus_suspended,0.004213077016174793,0.004249073565006256
A,9,facebook_page_reference,9,ukr_rus_twitter,0.0022639245726168156,0.002493477426469326
B,1,ukr_rus_suspended,1,ukr_rus_suspended,0.0007798884180374444,0.0008726362721063197
B,2,election2020,2,election2020,0.00046846631448715925,0.00046846631448715925
B,2,election2020,2,ukr_rus_suspended,0.0017123796278610826,0.0017123796278610826
B,3,ukr_rus_twitter,3,election2020,0.00030466896714642644,0.00030466896714642644
B,3,ukr_rus_twitter,3,ukr_rus_suspended,0.0020295442081987858,0.0020295442081987858
B,3,ukr_rus_twitter,3,ukr_rus_twitter,0.0017586625181138515,0.0017586625181138515
B,4,facebook_page_reference,4,election2020,0.00044310069642961025,0.00044310069642961025
B,4,facebook_page_reference,4,facebook_page_reference,0.0014032154576852918,0.0014032154576852918
B,4,facebook_page_reference,4,ukr_rus_suspended,0.0019682487472891808,0.0019682487472891808
B,4,facebook_page_reference,4,ukr_rus_twitter,0.0018667565891519189,0.0018667565891519189
B,5,cp_hk_twitter,5,cp_hk_twitter,0.0011451657628640532,0.0011180730070918798
B,5,cp_hk_twitter,5,election2020,0.0005535652162507176,0.000485614116769284
B,5,cp_hk_twitter,5,facebook_page_reference,0.001975392457097769,0.0016704861773177981
B,5,cp_hk_twitter,5,ukr_rus_suspended,0.002665010979399085,0.002984174992889166
B,5,cp_hk_twitter,5,ukr_rus_twitter,0.001629555830731988,0.0024092691019177437
B,6,covid_political,6,covid_political,0.0006941747851669788,0.0006941747851669788
B,6,covid_political,6,cp_hk_twitter,0.0010929432464763522,0.0010929432464763522
B,6,covid_political,6,election2020,0.000821152760181576,0.000821152760181576
B,6,covid_political,6,facebook_page_reference,0.0022203181870281696,0.0022203181870281696
B,6,covid_political,6,ukr_rus_suspended,0.0027954336255788803,0.0027954336255788803
B,6,covid_political,6,ukr_rus_twitter,0.0021406097803264856,0.0021406097803264856
B,7,covid19_twitter,7,covid_political,0.0006098492885939777,0.0006098492885939777
B,7,covid19_twitter,7,covid19_twitter,0.0007710761274211109,0.0007710761274211109
B,7,covid19_twitter,7,cp_hk_twitter,0.0010825174394994974,0.0010825174394994974
B,7,covid19_twitter,7,election2020,0.0006289044977165759,0.0006289044977165759
B,7,covid19_twitter,7,facebook_page_reference,0.0025541074573993683,0.0025541074573993683
B,7,covid19_twitter,7,ukr_rus_suspended,0.003051800187677145,0.003051800187677145
B,7,covid19_twitter,7,ukr_rus_twitter,0.0021173262502998114,0.0021173262502998114
B,8,midterm,8,covid_political,0.0007903948426246643,0.0007188192685134709
B,8,midterm,8,covid19_twitter,0.00039542606100440025,0.0004180612741038203
B,8,midterm,8,cp_hk_twitter,0.0008922979468479753,0.0010737581178545952
B,8,midterm,8,election2020,0.0005111881764605641,0.0005875771748833358
B,8,midterm,8,facebook_page_reference,0.0024418095126748085,0.0025224091950803995
B,8,midterm,8,midterm,0.001351455575786531,0.0015570070827379823
B,8,midterm,8,ukr_rus_suspended,0.0032648006454110146,0.003366841934621334
B,8,midterm,8,ukr_rus_twitter,0.0020079845562577248,0.0020304862409830093
B,9,twibot20,9,covid_political,0.0005832535680383444,0.0004776956338901073
B,9,twibot20,9,covid19_twitter,0.0004727365158032626,0.0006137791788205504
B,9,twibot20,9,cp_hk_twitter,0.0007409777026623487,0.000991450040601194
B,9,twibot20,9,election2020,0.00036403528065420687,0.0004686812171712518
B,9,twibot20,9,facebook_page_reference,0.002088455716148019,0.0024183455388993025
B,9,twibot20,9,midterm,0.0008919317624531686,0.0009135931613855064
B,9,twibot20,9,twibot20,0.0016690200427547097,0.0014645402552559972
B,9,twibot20,9,ukr_rus_suspended,0.0030419225804507732,0.0029959403909742832
B,9,twibot20,9,ukr_rus_twitter,0.0018406249582767487,0.001761644845828414
C,1,twibot20,1,twibot20,0.0009145512012764812,0.0010129676666110754
C,2,midterm,2,midterm,0.0012053161626681685,0.0012173638679087162
C,2,midterm,2,twibot20,0.000992512796074152,0.0009875512914732099
C,3,covid19_twitter,3,covid19_twitter,0.00015249849820975214,0.00015249849820975214
C,3,covid19_twitter,3,midterm,0.0012335695791989565,0.0012335695791989565
C,3,covid19_twitter,3,twibot20,0.0013476023450493813,0.0013476023450493813
C,4,covid_political,4,covid_political,0.0004121907113585621,0.0005888429586775601
C,4,covid_political,4,covid19_twitter,0.0001869464322226122,0.00034135335590690374
C,4,covid_political,4,midterm,0.0013397402362897992,0.0012567193480208516
C,4,covid_political,4,twibot20,0.001302393851801753,0.0012748291483148932
C,5,cp_hk_twitter,5,covid_political,0.0008425915148109198,0.0008609847282059491
C,5,cp_hk_twitter,5,covid19_twitter,0.0002457253576721996,0.000338768440997228
C,5,cp_hk_twitter,5,cp_hk_twitter,0.0014403656823560596,0.0012594093568623066
C,5,cp_hk_twitter,5,midterm,0.0012615913292393088,0.0014389058342203498
C,5,cp_hk_twitter,5,twibot20,0.001427596202120185,0.0014197389828041196
C,6,facebook_page_reference,6,covid_political,0.00035090986057184637,0.00035090986057184637
C,6,facebook_page_reference,6,covid19_twitter,0.00015711828018538654,0.00015711828018538654
C,6,facebook_page_reference,6,cp_hk_twitter,0.0010092981392517686,0.0010092981392517686
C,6,facebook_page_reference,6,facebook_page_reference,0.003095252439379692,0.003095252439379692
C,6,facebook_page_reference,6,midterm,0.0011161395814269781,0.0011161395814269781
C,6,facebook_page_reference,6,twibot20,0.0011376072652637959,0.0011376072652637959
C,7,ukr_rus_twitter,7,covid_political,0.0004319888539612293,0.0004319888539612293
C,7,ukr_rus_twitter,7,covid19_twitter,0.00017634373216424137,0.00017634373216424137
C,7,ukr_rus_twitter,7,cp_hk_twitter,0.0006654684548266232,0.0006654684548266232
C,7,ukr_rus_twitter,7,facebook_page_reference,0.0037852399982511997,0.0037852399982511997
C,7,ukr_rus_twitter,7,midterm,0.0010944720124825835,0.0010944720124825835
C,7,ukr_rus_twitter,7,twibot20,0.0010834900895133615,0.0010834900895133615
C,7,ukr_rus_twitter,7,ukr_rus_twitter,0.001548808766528964,0.001548808766528964
C,8,election2020,8,covid_political,0.0005997451371513307,0.000635214673820883
C,8,election2020,8,covid19_twitter,0.0002875332720577717,0.0003773810458369553
C,8,election2020,8,cp_hk_twitter,0.0010439459001645446,0.001139677013270557
C,8,election2020,8,election2020,0.0003223777166567743,0.0003085735079366714
