order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean,execution_source
A,1,ukr_rus_twitter,1,0.0853722222222222,0.1664444444444444,0.1275888888888889,0.1700944444444444,0.1466666666666666,0.1483333333333333,0.2581777777777778,0.0922166666666666,0.5254833333333333,0.1911530864197531,CARC-V100
A,2,covid19_twitter,2,0.0860166666666666,0.1675277777777777,0.1289444444444444,0.17105,0.1458,0.1532,0.2585555555555555,0.0921333333333333,0.534,0.1930253086419753,CARC-V100
A,3,midterm,3,0.0858777777777777,0.1653722222222222,0.1279111111111111,0.1692833333333333,0.1436666666666666,0.1528666666666666,0.2550277777777778,0.0923166666666666,0.5363666666666667,0.1920765432098765,CARC-V100
A,4,covid_political,4,0.08525,0.1646166666666666,0.1275833333333333,0.1679166666666666,0.1418,0.1550666666666666,0.2499888888888889,0.0926666666666666,0.53845,0.1914820987654321,CARC-V100
A,5,election2020,5,0.0858111111111111,0.1664555555555555,0.1286333333333333,0.1695111111111111,0.143,0.1532,0.25475,0.0927833333333333,0.5369333333333334,0.1923419753086419,CARC-V100
A,6,ukr_rus_suspended,6,0.0872777777777777,0.1699611111111111,0.1308555555555555,0.1718888888888889,0.1452666666666666,0.1612,0.2597777777777778,0.0926666666666666,0.54825,0.1963493827160493,CARC-V100
A,7,twibot20,7,0.0870333333333333,0.1677777777777777,0.1297666666666666,0.1696833333333333,0.1424,0.1579333333333333,0.2564611111111111,0.0926666666666666,0.5410666666666667,0.1938654320987654,CARC-V100
A,8,cp_hk_twitter,8,0.0871333333333333,0.1677666666666666,0.1298388888888889,0.1705444444444444,0.1438,0.16,0.2563,0.0923166666666666,0.54385,0.1946166666666666,CARC-V100
A,9,facebook_page_reference,9,0.0860944444444444,0.1681388888888889,0.1288111111111111,0.1701277777777777,0.1420666666666666,0.1578,0.2532666666666666,0.09235,0.5378166666666667,0.1929413580246913,CARC-V100
B,1,ukr_rus_suspended,1,0.0950388888888889,0.1948833333333333,0.1444111111111111,0.1895222222222222,0.1564666666666666,0.1836666666666666,0.3056944444444444,0.0974,0.5511833333333334,0.2131407407407407,CARC-V100
B,2,election2020,2,0.0928,0.1874888888888889,0.1380388888888888,0.1810833333333333,0.1523333333333333,0.1720666666666666,0.2905444444444444,0.0961833333333333,0.5521833333333334,0.2069691358024691,CARC-V100
B,3,ukr_rus_twitter,3,0.0899666666666666,0.1793888888888888,0.1355222222222222,0.1777777777777777,0.1490666666666666,0.1667333333333333,0.2771888888888889,0.09435,0.5493,0.2021438271604938,CARC-V100
B,4,facebook_page_reference,4,0.0881333333333333,0.1762222222222222,0.13345,0.1770055555555555,0.1454,0.1613333333333333,0.2692722222222222,0.0939166666666666,0.5427333333333333,0.1986074074074074,CARC-V100
B,5,cp_hk_twitter,5,0.0877111111111111,0.1739222222222222,0.1318888888888889,0.1764666666666666,0.1466666666666666,0.1604,0.2667722222222222,0.0937,0.5464,0.1982141975308642,CARC-V100
B,6,covid_political,6,0.0875,0.1741888888888889,0.1327888888888889,0.1759055555555555,0.1475333333333333,0.1626666666666666,0.26885,0.0939833333333333,0.5480666666666667,0.1990537037037037,CARC-V100
B,7,covid19_twitter,7,0.0871888888888888,0.1719666666666666,0.1313611111111111,0.1745388888888888,0.1474666666666666,0.1616666666666666,0.2638888888888889,0.09325,0.5471166666666667,0.1976049382716049,Tucker-H100
B,8,midterm,8,0.0875722222222222,0.1730333333333333,0.1321333333333333,0.1748,0.1468,0.1618666666666666,0.2663833333333333,0.0931833333333333,0.5491833333333334,0.1983283950617284,Tucker-H100
B,9,twibot20,9,0.0860944444444444,0.1672666666666666,0.1290444444444444,0.1701111111111111,0.1412,0.1569333333333333,0.2516888888888889,0.0923333333333333,0.5403833333333333,0.1927839506172839,Tucker-H100
C,1,twibot20,1,0.0847166666666666,0.1606777777777777,0.1255277777777777,0.1683222222222222,0.1402666666666666,0.1569333333333333,0.2419111111111111,0.0924833333333333,0.5349833333333334,0.1895358024691358,CARC-V100
C,2,midterm,2,0.0848277777777777,0.1627222222222222,0.1264944444444444,0.1677,0.139,0.1505333333333333,0.2417722222222222,0.0915333333333333,0.5274666666666666,0.1880055555555555,CARC-V100
