case,state,action,validation_source,update_scale,bce_delta,auc_delta_pp,bce_harmed,auc_harmed
0,initial,A_task,A,0.1,-9.009558707472457e-05,0.0008526265621158375,0,1
0,initial,A_task,A,0.25,-0.00020474009215826352,0.00199471414088905,0,1
0,initial,A_task,A,0.5,-0.00034187436103814007,0.0035996943712132377,0,1
0,initial,A_task,A,1.0,-0.0004167536739259431,0.005800104141234725,1,1
0,initial,A_task,B,0.1,-0.0003824744373559162,0.0175544738769517,2,0
0,initial,A_task,B,0.25,-0.0009567674249409974,0.04378009438514849,2,0
0,initial,A_task,B,0.5,-0.0019160546362399374,0.08695765435695607,2,0
0,initial,A_task,B,1.0,-0.0038405118510126124,0.17139012217521757,2,0
0,initial,B_task,A,0.1,-0.0006853783968835375,0.007719019055359088,0,0
0,initial,B_task,A,0.25,-0.00076905484311275,0.017149773240082662,0,0
0,initial,B_task,A,0.5,0.001671644719317525,0.02748276293277335,8,0
0,initial,B_task,A,1.0,0.017098228121176326,0.029293435811993077,8,0
0,initial,B_task,B,0.1,-0.013036660477518863,0.06575306653976148,0,0
0,initial,B_task,B,0.25,-0.03118180278688659,0.15111535787581812,0,0
0,initial,B_task,B,0.5,-0.05712900459766378,0.2565763175487512,0,0
0,initial,B_task,B,1.0,-0.0887907685711979,0.32757171988487405,0,0
0,initial,momentum_only,A,0.1,5.5048242211350185e-05,-0.000631165504461,1,1
0,initial,momentum_only,A,0.25,0.000142253562808,-0.0016610383987369,1,1
0,initial,momentum_only,A,0.5,0.0002992983907461,-0.0034996271133569,1,1
0,initial,momentum_only,A,1.0,0.000657494738698,-0.0076734781265241,1,1
0,initial,momentum_only,B,0.1,0.0008985087275504,-0.000643968582159,1,1
0,initial,momentum_only,B,0.25,0.0022490799427032,-0.0016959905624447,1,1
0,initial,momentum_only,B,0.5,0.0045066803693772,-0.0037193059921336,1,1
0,initial,momentum_only,B,1.0,0.0090426608920098,-0.0088575363159204,1,1
0,rank0_best,A_task,A,0.1,-0.00010442640632385657,-0.0035447329282816626,0,8
0,rank0_best,A_task,A,0.25,-0.000182248186320025,-0.0091113656759303,0,8
0,rank0_best,A_task,A,0.5,-0.00010383957996961296,-0.018969696760182064,3,8
0,rank0_best,A_task,A,1.0,0.000834795879200075,-0.04088019728661349,6,8
0,rank0_best,A_task,B,0.1,0.00021702246740455455,-0.00418540239333905,8,8
0,rank0_best,A_task,B,0.25,0.0005965628661215,-0.010919281840319987,8,8
0,rank0_best,A_task,B,0.5,0.0013704578392207249,-0.0233376026153586,8,8
0,rank0_best,A_task,B,1.0,0.0034310287795960375,-0.0527236163616176,8,8
