index,source,target,accuracy_mean,accuracy_sample_std
0,covid19_twitter,covid19_twitter,0.5800021701388889,0.0043191454675911385
1,covid19_twitter,covid_political,0.14339735243055554,0.002880920677706248
2,covid19_twitter,cp_hk_twitter,0.11699218749999997,0.001612149937735155
3,covid19_twitter,election2020,0.14597981770833332,0.002533422220912661
4,covid19_twitter,facebook_page_reference,0.2797254774305555,0.007815234800559961
5,covid19_twitter,midterm,0.21364474826388888,0.002303869721369474
6,covid19_twitter,twibot20,0.3100423177083333,0.001159946341314856
7,covid19_twitter,ukr_rus_suspended,0.18156467013888888,0.0021955368713702933
8,covid19_twitter,ukr_rus_twitter,0.38440212673611107,0.0009174453048579684
9,covid_political,covid19_twitter,0.14775390624999996,0.0025098373989953533
10,covid_political,covid_political,0.19198676215277774,0.0012549802679362439
11,covid_political,cp_hk_twitter,0.06354709201388883,0.004280763984725583
12,covid_political,election2020,0.11302625868055549,0.0016080641306552741
13,covid_political,facebook_page_reference,0.09745008680555554,0.002754083882708584
14,covid_political,midterm,0.10240342881944443,0.012182411515453361
15,covid_political,twibot20,0.13382703993055547,0.007199556371577267
16,covid_political,ukr_rus_suspended,0.08433159722222217,0.003905481333514967
17,covid_political,ukr_rus_twitter,0.10388454861111107,0.003009718400754931
18,cp_hk_twitter,covid19_twitter,0.26639539930555556,0.005017308194923828
19,cp_hk_twitter,covid_political,0.1076768663194444,0.005570600588886929
20,cp_hk_twitter,cp_hk_twitter,0.18136935763888884,0.002376766536850088
21,cp_hk_twitter,election2020,0.10814344618055549,0.004432236408746337
22,cp_hk_twitter,facebook_page_reference,0.1775553385416666,0.011433012757844217
23,cp_hk_twitter,midterm,0.1658040364583333,0.003950084993330633
24,cp_hk_twitter,twibot20,0.1662651909722222,0.007962966404732593
25,cp_hk_twitter,ukr_rus_suspended,0.11167534722222221,0.005981535734270239
26,cp_hk_twitter,ukr_rus_twitter,0.18013780381944441,0.004780679166797689
27,election2020,covid19_twitter,0.1379069010416666,0.018488659186393367
28,election2020,covid_political,0.13217773437499997,0.00046522154713400275
29,election2020,cp_hk_twitter,0.06781141493055554,0.004558870556727074
30,election2020,election2020,0.23433702256944441,0.0012614019796963897
31,election2020,facebook_page_reference,0.0964680989583333,0.013944768814900642
32,election2020,midterm,0.12379557291666664,0.005469428126358848
33,election2020,twibot20,0.1451768663194444,0.007237703977453315
34,election2020,ukr_rus_suspended,0.09324001736111105,0.005102722932597778
35,election2020,ukr_rus_twitter,0.10657552083333331,0.009467509161483043
36,facebook_page_reference,covid19_twitter,0.32183159722222227,0.011808403768593328
37,facebook_page_reference,covid_political,0.11546766493055549,0.0028304562141207136
38,facebook_page_reference,cp_hk_twitter,0.08014322916666664,0.0027897629201192077
39,facebook_page_reference,election2020,0.1209581163194444,0.0023272083667423343
40,facebook_page_reference,facebook_page_reference,0.2679524739583333,0.006160239883034674
41,facebook_page_reference,midterm,0.14312608506944438,0.007212404849328746
42,facebook_page_reference,twibot20,0.18751085069444443,0.006359004557077458
43,facebook_page_reference,ukr_rus_suspended,0.12096896701388887,0.005334975956577263
44,facebook_page_reference,ukr_rus_twitter,0.24109157986111107,0.010111160392315108
45,midterm,covid19_twitter,0.3302354600694444,0.018259472556792385
46,midterm,covid_political,0.14039713541666662,0.0022679833309241833
47,midterm,cp_hk_twitter,0.10024414062499999,0.0024545544389759388
48,midterm,election2020,0.13754340277777774,0.002880506859121181
49,midterm,facebook_page_reference,0.1803548177083333,0.0057870655765536435
50,midterm,midterm,0.2551106770833333,0.004022751372102523
