train,test,metric,value
covid19_twitter,covid19_twitter,accuracy,0.5800021701388889
covid19_twitter,covid_political,accuracy,0.14339735243055554
covid19_twitter,cp_hk_twitter,accuracy,0.11699218749999997
covid19_twitter,election2020,accuracy,0.14597981770833332
covid19_twitter,facebook_page_reference,accuracy,0.2797254774305555
covid19_twitter,midterm,accuracy,0.21364474826388888
covid19_twitter,twibot20,accuracy,0.3100423177083333
covid19_twitter,ukr_rus_suspended,accuracy,0.18156467013888888
covid19_twitter,ukr_rus_twitter,accuracy,0.38440212673611107
covid_political,covid19_twitter,accuracy,0.14775390624999996
covid_political,covid_political,accuracy,0.19198676215277774
covid_political,cp_hk_twitter,accuracy,0.06354709201388883
covid_political,election2020,accuracy,0.11302625868055549
covid_political,facebook_page_reference,accuracy,0.09745008680555554
covid_political,midterm,accuracy,0.10240342881944443
covid_political,twibot20,accuracy,0.13382703993055547
covid_political,ukr_rus_suspended,accuracy,0.08433159722222217
covid_political,ukr_rus_twitter,accuracy,0.10388454861111107
cp_hk_twitter,covid19_twitter,accuracy,0.26639539930555556
cp_hk_twitter,covid_political,accuracy,0.1076768663194444
cp_hk_twitter,cp_hk_twitter,accuracy,0.18136935763888884
cp_hk_twitter,election2020,accuracy,0.10814344618055549
cp_hk_twitter,facebook_page_reference,accuracy,0.1775553385416666
cp_hk_twitter,midterm,accuracy,0.1658040364583333
cp_hk_twitter,twibot20,accuracy,0.1662651909722222
cp_hk_twitter,ukr_rus_suspended,accuracy,0.11167534722222221
cp_hk_twitter,ukr_rus_twitter,accuracy,0.18013780381944441
election2020,covid19_twitter,accuracy,0.1379069010416666
election2020,covid_political,accuracy,0.13217773437499997
election2020,cp_hk_twitter,accuracy,0.06781141493055554
election2020,election2020,accuracy,0.23433702256944441
election2020,facebook_page_reference,accuracy,0.0964680989583333
election2020,midterm,accuracy,0.12379557291666664
election2020,twibot20,accuracy,0.1451768663194444
election2020,ukr_rus_suspended,accuracy,0.09324001736111105
election2020,ukr_rus_twitter,accuracy,0.10657552083333331
facebook_page_reference,covid19_twitter,accuracy,0.32183159722222227
facebook_page_reference,covid_political,accuracy,0.11546766493055549
facebook_page_reference,cp_hk_twitter,accuracy,0.08014322916666664
facebook_page_reference,election2020,accuracy,0.1209581163194444
facebook_page_reference,facebook_page_reference,accuracy,0.2679524739583333
facebook_page_reference,midterm,accuracy,0.14312608506944438
facebook_page_reference,twibot20,accuracy,0.18751085069444443
facebook_page_reference,ukr_rus_suspended,accuracy,0.12096896701388887
facebook_page_reference,ukr_rus_twitter,accuracy,0.24109157986111107
midterm,covid19_twitter,accuracy,0.3302354600694444
midterm,covid_political,accuracy,0.14039713541666662
midterm,cp_hk_twitter,accuracy,0.10024414062499999
midterm,election2020,accuracy,0.13754340277777774
midterm,facebook_page_reference,accuracy,0.1803548177083333
midterm,midterm,accuracy,0.2551106770833333
midterm,twibot20,accuracy,0.22049696180555553
midterm,ukr_rus_suspended,accuracy,0.12336697048611112
midterm,ukr_rus_twitter,accuracy,0.21655273437499997
twibot20,covid19_twitter,accuracy,0.4823350694444444
twibot20,covid_political,accuracy,0.14337565104166664
twibot20,cp_hk_twitter,accuracy,0.1084038628472222
twibot20,election2020,accuracy,0.14838867187499996
twibot20,facebook_page_reference,accuracy,0.24938151041666665
twibot20,midterm,accuracy,0.20888129340277772
twibot20,twibot20,accuracy,0.33267686631944443
twibot20,ukr_rus_suspended,accuracy,0.15379774305555552
twibot20,ukr_rus_twitter,accuracy,0.3147352430555555
ukr_rus_suspended,covid19_twitter,accuracy,0.2955132378472222
ukr_rus_suspended,covid_political,accuracy,0.10739474826388888
ukr_rus_suspended,cp_hk_twitter,accuracy,0.1008680555555555
ukr_rus_suspended,election2020,accuracy,0.10435112847222221
ukr_rus_suspended,facebook_page_reference,accuracy,0.17558593749999996
ukr_rus_suspended,midterm,accuracy,0.13374565972222216
ukr_rus_suspended,twibot20,accuracy,0.1571614583333333
ukr_rus_suspended,ukr_rus_suspended,accuracy,0.366943359375
ukr_rus_suspended,ukr_rus_twitter,accuracy,0.2270290798611111
ukr_rus_twitter,covid19_twitter,accuracy,0.5557020399305556
ukr_rus_twitter,covid_political,accuracy,0.1404893663194444
ukr_rus_twitter,cp_hk_twitter,accuracy,0.1154459635416666
ukr_rus_twitter,election2020,accuracy,0.14588758680555555
ukr_rus_twitter,facebook_page_reference,accuracy,0.3110405815972222
ukr_rus_twitter,midterm,accuracy,0.214453125
ukr_rus_twitter,twibot20,accuracy,0.30022786458333334
ukr_rus_twitter,ukr_rus_suspended,accuracy,0.20124240451388883
ukr_rus_twitter,ukr_rus_twitter,accuracy,0.44064127604166664
