dataset,platform,graph_nodes,exact_id_scope,comparable_ids,bio_hash_nodes,bio_hash_fraction
ukraine,twitter,10400775,full_graph_global_twitter_id,10400775,7973536,0.7666290252409075
covid,twitter,23012850,full_graph_global_twitter_id,23012850,18493966,0.8036364900479515
midterm,twitter,341908,full_graph_global_twitter_id,341908,274361,0.8024410075224915
covid-political,twitter,78672,not_measurable_row_indices_only,,78672,1.0
ukraine-suspended,twitter,72295,partial_global_twitter_id_array,56440,60011,0.83008506812366
election2020-political,twitter,78932,not_measurable_row_indices_only,,78932,1.0
twibot20,twitter,162990,not_measurable_dataset_internal_namespace,,144274,0.8851708693784894
hongkong,twitter,333800,not_measurable_hashed_dataset_namespace,,256798,0.7693169562612343
facebook-page-reference,facebook,150000,incompatible_platform,,,
