dataset_a,dataset_b,status,scope_a,scope_b,ids_a,ids_b,intersection,fraction_a,fraction_b,fraction_smaller,jaccard,note
ukraine,covid,exact,full_graph_global_twitter_id,full_graph_global_twitter_id,10400775,23012850,4294139,0.4128672142220171,0.18659744447124108,0.4128672142220171,0.14746616750034666,comparable platform-global Twitter user IDs
ukraine,midterm,exact,full_graph_global_twitter_id,full_graph_global_twitter_id,10400775,341908,213437,0.020521259233085995,0.624252722954713,0.624252722954713,0.020270872197306437,comparable platform-global Twitter user IDs
ukraine,covid-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,10400775,,,,,,,not_measurable_row_indices_only
ukraine,ukraine-suspended,partial_exact,full_graph_global_twitter_id,partial_global_twitter_id_array,10400775,56440,55446,0.005330948895635181,0.982388377037562,0.982388377037562,0.0053304394665945765,Ukraine-Suspended stable IDs cover only a graph subset
ukraine,election2020-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,10400775,,,,,,,not_measurable_row_indices_only
ukraine,twibot20,not_measurable,full_graph_global_twitter_id,not_measurable_dataset_internal_namespace,10400775,,,,,,,not_measurable_dataset_internal_namespace
ukraine,hongkong,not_measurable,full_graph_global_twitter_id,not_measurable_hashed_dataset_namespace,10400775,,,,,,,not_measurable_hashed_dataset_namespace
ukraine,facebook-page-reference,incompatible_platform,full_graph_global_twitter_id,incompatible_platform,10400775,,,,,,,different platform identifier namespaces
covid,midterm,exact,full_graph_global_twitter_id,full_graph_global_twitter_id,23012850,341908,185539,0.008062408610841334,0.5426576739941739,0.5426576739941739,0.008007995435668332,comparable platform-global Twitter user IDs
covid,covid-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,23012850,,,,,,,not_measurable_row_indices_only
covid,ukraine-suspended,partial_exact,full_graph_global_twitter_id,partial_global_twitter_id_array,23012850,56440,32201,0.001399261716823427,0.5705350815024806,0.5705350815024806,0.0013977894516099668,Ukraine-Suspended stable IDs cover only a graph subset
covid,election2020-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,23012850,,,,,,,not_measurable_row_indices_only
covid,twibot20,not_measurable,full_graph_global_twitter_id,not_measurable_dataset_internal_namespace,23012850,,,,,,,not_measurable_dataset_internal_namespace
covid,hongkong,not_measurable,full_graph_global_twitter_id,not_measurable_hashed_dataset_namespace,23012850,,,,,,,not_measurable_hashed_dataset_namespace
covid,facebook-page-reference,incompatible_platform,full_graph_global_twitter_id,incompatible_platform,23012850,,,,,,,different platform identifier namespaces
midterm,covid-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,341908,,,,,,,not_measurable_row_indices_only
midterm,ukraine-suspended,partial_exact,full_graph_global_twitter_id,partial_global_twitter_id_array,341908,56440,7194,0.021040747803502697,0.127462792345854,0.127462792345854,0.01839173317925932,Ukraine-Suspended stable IDs cover only a graph subset
midterm,election2020-political,not_measurable,full_graph_global_twitter_id,not_measurable_row_indices_only,341908,,,,,,,not_measurable_row_indices_only
midterm,twibot20,not_measurable,full_graph_global_twitter_id,not_measurable_dataset_internal_namespace,341908,,,,,,,not_measurable_dataset_internal_namespace
midterm,hongkong,not_measurable,full_graph_global_twitter_id,not_measurable_hashed_dataset_namespace,341908,,,,,,,not_measurable_hashed_dataset_namespace
midterm,facebook-page-reference,incompatible_platform,full_graph_global_twitter_id,incompatible_platform,341908,,,,,,,different platform identifier namespaces
covid-political,ukraine-suspended,not_measurable,not_measurable_row_indices_only,partial_global_twitter_id_array,,56440,,,,,,not_measurable_row_indices_only
covid-political,election2020-political,not_measurable,not_measurable_row_indices_only,not_measurable_row_indices_only,,,,,,,,not_measurable_row_indices_only
covid-political,twibot20,not_measurable,not_measurable_row_indices_only,not_measurable_dataset_internal_namespace,,,,,,,,not_measurable_dataset_internal_namespace; not_measurable_row_indices_only
covid-political,hongkong,not_measurable,not_measurable_row_indices_only,not_measurable_hashed_dataset_namespace,,,,,,,,not_measurable_hashed_dataset_namespace; not_measurable_row_indices_only
covid-political,facebook-page-reference,incompatible_platform,not_measurable_row_indices_only,incompatible_platform,,,,,,,,different platform identifier namespaces
ukraine-suspended,election2020-political,not_measurable,partial_global_twitter_id_array,not_measurable_row_indices_only,56440,,,,,,,not_measurable_row_indices_only
ukraine-suspended,twibot20,not_measurable,partial_global_twitter_id_array,not_measurable_dataset_internal_namespace,56440,,,,,,,not_measurable_dataset_internal_namespace
ukraine-suspended,hongkong,not_measurable,partial_global_twitter_id_array,not_measurable_hashed_dataset_namespace,56440,,,,,,,not_measurable_hashed_dataset_namespace
ukraine-suspended,facebook-page-reference,incompatible_platform,partial_global_twitter_id_array,incompatible_platform,56440,,,,,,,different platform identifier namespaces
election2020-political,twibot20,not_measurable,not_measurable_row_indices_only,not_measurable_dataset_internal_namespace,,,,,,,,not_measurable_dataset_internal_namespace; not_measurable_row_indices_only
election2020-political,hongkong,not_measurable,not_measurable_row_indices_only,not_measurable_hashed_dataset_namespace,,,,,,,,not_measurable_hashed_dataset_namespace; not_measurable_row_indices_only
election2020-political,facebook-page-reference,incompatible_platform,not_measurable_row_indices_only,incompatible_platform,,,,,,,,different platform identifier namespaces
twibot20,hongkong,not_measurable,not_measurable_dataset_internal_namespace,not_measurable_hashed_dataset_namespace,,,,,,,,not_measurable_dataset_internal_namespace; not_measurable_hashed_dataset_namespace
twibot20,facebook-page-reference,incompatible_platform,not_measurable_dataset_internal_namespace,incompatible_platform,,,,,,,,different platform identifier namespaces
hongkong,facebook-page-reference,incompatible_platform,not_measurable_hashed_dataset_namespace,incompatible_platform,,,,,,,,different platform identifier namespaces
