dataset_a,dataset_b,status,shared_nonempty_bio_hashes,nodes_a_with_shared_hash,nodes_b_with_shared_hash,unique_long_shared_hashes,note
ukraine,covid,proxy_only,1529364,2019647,2939829,1235004,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,midterm,proxy_only,103906,330632,108585,91590,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,covid-political,proxy_only,458,687,462,411,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,ukraine-suspended,proxy_only,37196,173980,37695,32241,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,election2020-political,proxy_only,246,365,248,225,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,twibot20,proxy_only,15049,196565,16697,11031,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine,hongkong,proxy_only,62658,285393,71649,46965,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,midterm,proxy_only,57172,647591,61772,46204,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,covid-political,proxy_only,1088,1826,1093,989,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,ukraine-suspended,proxy_only,12304,326992,12755,9611,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,election2020-political,proxy_only,634,946,636,591,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,twibot20,proxy_only,49988,583513,51700,43460,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid,hongkong,proxy_only,91797,725193,101513,69686,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
midterm,covid-political,proxy_only,83,83,84,82,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
midterm,ukraine-suspended,proxy_only,3701,5925,4082,2984,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
midterm,election2020-political,proxy_only,87,87,88,86,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
midterm,twibot20,proxy_only,1850,4632,3204,1037,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
midterm,hongkong,proxy_only,4453,7634,7917,2861,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid-political,ukraine-suspended,proxy_only,6,6,6,6,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid-political,election2020-political,proxy_only,16334,16387,16431,16208,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid-political,twibot20,proxy_only,34,34,35,33,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
covid-political,hongkong,proxy_only,25,25,28,23,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine-suspended,election2020-political,proxy_only,17,17,17,17,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine-suspended,twibot20,proxy_only,456,761,1391,172,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
ukraine-suspended,hongkong,proxy_only,1597,1906,3416,1086,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
election2020-political,twibot20,proxy_only,26,27,27,24,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
election2020-political,hongkong,proxy_only,30,31,31,29,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
twibot20,hongkong,proxy_only,1240,2440,3884,459,"exact normalized biography equality; unique-long remains a proxy, not identity proof"
