stream,method,uses_target_query_outcomes,uses_discovery_query_labels,n,accuracy,auc,nll,accuracy_gain_over_fixed_b,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_choose_b
original,fixed_b,False,False,3072,0.6048177083333334,0.6355069478352865,0.665279180873037,0.0,0.0,0.0,1.0
original,fixed_c,False,False,3072,0.5042317708333334,0.5146132575141058,0.6944043347946912,-0.1005859375,-0.12663574218749998,-0.07421875,0.0
original,raw_alignment_tie_b,False,False,3072,0.5709635416666666,0.6137025621202257,0.6719981599205376,-0.03385416666666674,-0.049479166666666664,-0.018229166666666668,0.7779947916666666
original,u1_alignment_tie_b,False,False,3072,0.6240234375,0.6469658745659722,0.6616411253531526,0.01920572916666663,0.009440104166666666,0.028971354166666668,0.9371744791666666
original,learned_stage_consensus_tie_b,False,False,3072,0.6214192708333334,0.6435000101725261,0.6641509294916192,0.0166015625,0.0029296875,0.030598958333333332,0.7158203125
original,calibrated_full_confidence,False,True,3072,0.5849609375,0.6263970269097223,0.6690146432979406,-0.01985677083333337,-0.0322265625,-0.0078125,0.7770182291666666
original,oracle_expert,True,False,3072,0.77734375,0.7699815962049696,0.6223708417453532,0.17252604166666663,0.1572265625,0.18815104166666666,0.8274739583333334
original,raw_joint_ridge_direct,False,False,3072,0.5413411458333334,0.5602660708957249,0.6879668463572394,-0.0634765625,-0.08561197916666667,-0.040690104166666664,
fresh,fixed_b,False,False,3072,0.5856119791666666,0.6158010694715712,0.6757695281555586,0.0,0.0,0.0,1.0
fresh,fixed_c,False,False,3072,0.5120442708333334,0.5180795457628038,0.6939689055395739,-0.07356770833333326,-0.09994303385416665,-0.046875,0.0
fresh,raw_alignment_tie_b,False,False,3072,0.5615234375,0.5939157274034288,0.6826393955243697,-0.02408854166666663,-0.040690104166666664,-0.007161458333333333,0.7819010416666666
fresh,u1_alignment_tie_b,False,False,3072,0.60546875,0.629025353325738,0.6713644243920426,0.01985677083333337,0.010416666666666666,0.029622395833333332,0.9306640625
fresh,learned_stage_consensus_tie_b,False,False,3072,0.6178385416666666,0.6324009365505643,0.6714761809582753,0.0322265625,0.018880208333333332,0.04460449218749988,0.7174479166666666
fresh,calibrated_full_confidence,False,True,3072,0.5777994791666666,0.6113997565375434,0.6777428867781149,-0.0078125,-0.021809895833333332,0.006510416666666667,0.7923177083333334
fresh,oracle_expert,True,False,3072,0.7770182291666666,0.7631518046061198,0.6276154388593166,0.19140625,0.17578125,0.20735677083333334,0.80859375
fresh,raw_joint_ridge_direct,False,False,3072,0.5361328125,0.5390082465277778,0.6932372675131172,-0.04947916666666663,-0.06998697916666667,-0.028971354166666668,
