stream,model,full_model_outcome,n,raw_joint_ridge_accuracy,u1_ridge_accuracy,full_accuracy,encoder_repairs_rate,encoder_breaks_rate,inference_repairs_rate,inference_breaks_rate
original,ss_ukr_rus,all,3072,0.5413411458333334,0.6311848958333334,0.6048177083333334,0.24479166666666666,0.15494791666666666,0.0771484375,0.103515625
original,ss_ukr_rus,both_correct,1019,0.6516192345436702,0.873405299313052,1.0,0.28655544651619236,0.0647693817468106,0.12659470068694798,0.0
original,ss_ukr_rus,b_only,839,0.531585220500596,0.8712753277711561,1.0,0.39213349225268174,0.052443384982121574,0.12872467222884387,0.0
original,ss_ukr_rus,c_only,530,0.5452830188679245,0.2943396226415094,0.0,0.10377358490566038,0.35471698113207545,0.0,0.2943396226415094
original,ss_ukr_rus,both_wrong,684,0.38596491228070173,0.23684210526315788,0.0,0.1111111111111111,0.260233918128655,0.0,0.23684210526315788
original,ss_facebook_page_reference,all,3072,0.5413411458333334,0.6520182291666666,0.5042317708333334,0.2565104166666667,0.14583333333333334,0.15169270833333334,0.2994791666666667
original,ss_facebook_page_reference,both_correct,1019,0.6516192345436702,0.7899901864573111,1.0,0.24828263002944062,0.1099116781157998,0.2100098135426889,0.0
original,ss_facebook_page_reference,b_only,839,0.531585220500596,0.7175208581644815,0.0,0.3063170441001192,0.12038140643623362,0.0,0.7175208581644815
original,ss_facebook_page_reference,c_only,530,0.5452830188679245,0.5245283018867924,1.0,0.19811320754716982,0.2188679245283019,0.47547169811320755,0.0
original,ss_facebook_page_reference,both_wrong,684,0.38596491228070173,0.4649122807017544,0.0,0.25292397660818716,0.1739766081871345,0.0,0.4649122807017544
fresh,ss_ukr_rus,all,3072,0.5361328125,0.6233723958333334,0.5856119791666666,0.23893229166666666,0.15169270833333334,0.07486979166666667,0.11263020833333333
fresh,ss_ukr_rus,both_correct,985,0.6477157360406092,0.8730964467005076,1.0,0.2893401015228426,0.06395939086294417,0.12690355329949238,0.0
fresh,ss_ukr_rus,b_only,814,0.542997542997543,0.871007371007371,1.0,0.36855036855036855,0.04054054054054054,0.128992628992629,0.0
fresh,ss_ukr_rus,c_only,588,0.5068027210884354,0.3078231292517007,0.0,0.11734693877551021,0.3163265306122449,0.0,0.3078231292517007
fresh,ss_ukr_rus,both_wrong,685,0.3927007299270073,0.24087591240875914,0.0,0.11678832116788321,0.2686131386861314,0.0,0.24087591240875914
fresh,ss_facebook_page_reference,all,3072,0.5361328125,0.6233723958333334,0.5120442708333334,0.24479166666666666,0.15755208333333334,0.1708984375,0.2822265625
fresh,ss_facebook_page_reference,both_correct,985,0.6477157360406092,0.7532994923857868,1.0,0.23248730964467004,0.12690355329949238,0.2467005076142132,0.0
fresh,ss_facebook_page_reference,b_only,814,0.542997542997543,0.6977886977886978,0.0,0.2788697788697789,0.12407862407862408,0.0,0.6977886977886978
fresh,ss_facebook_page_reference,c_only,588,0.5068027210884354,0.5204081632653061,1.0,0.2227891156462585,0.20918367346938777,0.47959183673469385,0.0
fresh,ss_facebook_page_reference,both_wrong,685,0.3927007299270073,0.4364963503649635,0.0,0.24087591240875914,0.19708029197080293,0.0,0.4364963503649635
